Unnamed: 0,[km],Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Kfz/24h,Kfz/24h.1,Kfz/24h.2,Kfz/24h.3,Kfz/24h.4,Kfz/24h.5,Kfz/24h.6,Unnamed: 14,Unnamed: 15
A01,15.891,Pressbaum,955,Wien Auhof - Preßbaum,Staatsgrenze Walserberg,Kfz,13161.0,13753.0,12321.0,13317.0,15946.0,12345.0,11490.0,"0,1 % Tage geschätzt",
A01,15.891,Pressbaum,955,Wien Auhof - Preßbaum,Staatsgrenze Walserberg,"Kfz > 3,5t hzG",265.41935483871,350.904761904762,359.5,361.083333333333,319.6,87.6,84.2,Messung,
A01,15.891,Pressbaum,955,Wien Auhof - Preßbaum,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG",12895.9032258065,13402.5238095238,11962.0,12956.0,15626.6,12257.8,11406.2,"0,1 % Tage geschätzt",
A01,15.891,Pressbaum,955,Preßbaum - Wien Auhof,Wien/Auhof,Kfz,13518.0,13710.0,13336.0,13519.0,14468.0,12194.0,14035.0,"0,1 % Tage geschätzt",
A01,15.891,Pressbaum,955,Preßbaum - Wien Auhof,Wien/Auhof,"Kfz > 3,5t hzG",330.354838709677,433.0,417.75,453.583333333333,395.8,151.8,77.8,Messung,
A01,15.891,Pressbaum,955,Preßbaum - Wien Auhof,Wien/Auhof,"Kfz <= 3,5t hzG",13187.9677419355,13277.4761904762,12918.75,13065.5833333333,14073.0,12042.2,13957.8,"0,1 % Tage geschätzt",
A01,15.891,Pressbaum,955,gesamt,gesamt,Kfz,26679.0,27463.0,25657.0,26836.0,30414.0,24539.0,25525.0,"0,1 % Tage geschätzt",
A01,15.891,Pressbaum,955,gesamt,gesamt,"Kfz > 3,5t hzG",595.774193548387,783.904761904762,777.25,814.666666666667,715.4,239.4,162.0,Messung,
A01,15.891,Pressbaum,955,gesamt,gesamt,"Kfz <= 3,5t hzG",26083.8709677419,26680.0,24880.75,26021.5833333333,29699.6,24300.0,25364.0,"0,1 % Tage geschätzt",
A01,26.833,Kn. Steinhäusl,751,Preßbaum - Kn. Steinhäusl,Staatsgrenze Walserberg,Kfz,12363.0,12847.0,11348.0,12345.0,15253.0,11737.0,10953.0,"0,4 % Tage geschätzt",
