Unnamed: 0,[km],Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Kfz/24h,Kfz/24h.1,Kfz/24h.2,Kfz/24h.3,Kfz/24h.4,Kfz/24h.5,Kfz/24h.6,Unnamed: 14,Unnamed: 15
A01,15.891,Pressbaum,955,Wien Auhof - Preßbaum,Staatsgrenze Walserberg,Kfz,13884.0,13872.0,12833.0,13668.0,15574.0,13097.0,14562.0,"86,7% Tage geschätzt",
A01,15.891,Pressbaum,955,Wien Auhof - Preßbaum,Staatsgrenze Walserberg,"Kfz > 3,5t hzG",212.0,285.0,304.0,296.0,233.0,47.0,36.0,Messung,
A01,15.891,Pressbaum,955,Wien Auhof - Preßbaum,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG",13672.0,13587.0,12529.0,13372.0,15341.0,13050.0,14526.0,"86,7% Tage geschätzt",
A01,15.891,Pressbaum,955,Preßbaum - Wien Auhof,Wien/Auhof,Kfz,14031.0,14245.0,14483.0,14148.0,14324.0,12281.0,14528.0,"86,7% Tage geschätzt",
A01,15.891,Pressbaum,955,Preßbaum - Wien Auhof,Wien/Auhof,"Kfz > 3,5t hzG",269.0,358.0,363.0,378.0,291.0,86.0,37.0,Messung,
A01,15.891,Pressbaum,955,Preßbaum - Wien Auhof,Wien/Auhof,"Kfz <= 3,5t hzG",13762.0,13887.0,14120.0,13770.0,14033.0,12195.0,14491.0,"86,7% Tage geschätzt",
A01,15.891,Pressbaum,955,gesamt,gesamt,Kfz,27915.0,28117.0,27316.0,27816.0,29898.0,25378.0,29090.0,"86,7% Tage geschätzt",
A01,15.891,Pressbaum,955,gesamt,gesamt,"Kfz > 3,5t hzG",481.0,643.0,667.0,674.0,524.0,133.0,73.0,Messung,
A01,15.891,Pressbaum,955,gesamt,gesamt,"Kfz <= 3,5t hzG",27434.0,27474.0,26649.0,27142.0,29374.0,25245.0,29017.0,"86,7% Tage geschätzt",
A01,26.833,Kn. Steinhäusl,751,Preßbaum - Kn. Steinhäusl,Staatsgrenze Walserberg,Kfz,12471.0,12454.0,11713.0,12043.0,14531.0,12120.0,12822.0,"100,0% Tage geschätzt",
A01,26.833,Kn. Steinhäusl,751,Preßbaum - Kn. Steinhäusl,Staatsgrenze Walserberg,"Kfz > 3,5t hzG",278.0,379.0,414.0,395.0,291.0,49.0,36.0,Messung,
A01,26.833,Kn. Steinhäusl,751,Preßbaum - Kn. Steinhäusl,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG",12193.0,12075.0,11299.0,11648.0,14240.0,12071.0,12786.0,"100,0% Tage geschätzt",
A01,26.833,Kn. Steinhäusl,751,Kn. Steinhäusl - Preßbaum,Wien/Auhof,Kfz,13633.0,13712.0,14118.0,13643.0,13533.0,11510.0,14996.0,"100,0% Tage geschätzt",
A01,26.833,Kn. Steinhäusl,751,Kn. Steinhäusl - Preßbaum,Wien/Auhof,"Kfz > 3,5t hzG",336.0,454.0,476.0,478.0,354.0,89.0,39.0,Messung,
A01,26.833,Kn. Steinhäusl,751,Kn. Steinhäusl - Preßbaum,Wien/Auhof,"Kfz <= 3,5t hzG",13297.0,13258.0,13642.0,13165.0,13179.0,11421.0,14957.0,"100,0% Tage geschätzt",
A01,26.833,Kn. Steinhäusl,751,gesamt,gesamt,Kfz,26104.0,26166.0,25831.0,25686.0,28064.0,23630.0,27818.0,"100,0% Tage geschätzt",
A01,26.833,Kn. Steinhäusl,751,gesamt,gesamt,"Kfz > 3,5t hzG",614.0,833.0,890.0,873.0,645.0,138.0,75.0,Messung,
A01,26.833,Kn. Steinhäusl,751,gesamt,gesamt,"Kfz <= 3,5t hzG",25490.0,25333.0,24941.0,24813.0,27419.0,23492.0,27743.0,"100,0% Tage geschätzt",
A01,33.195,Altlengbach,385,Kn. Steinhäusl - Altlengbach,Staatsgrenze Walserberg,Kfz,36414.0,36530.0,39559.0,35524.0,36772.0,31824.0,39599.0,"3,3% Tage geschätzt",
A01,33.195,Altlengbach,385,Kn. Steinhäusl - Altlengbach,Staatsgrenze Walserberg,"Kfz > 3,5t hzG",4928.0,6526.0,8461.0,6505.0,4660.0,1734.0,771.0,Messung,
A01,33.195,Altlengbach,385,Kn. Steinhäusl - Altlengbach,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG",31486.0,30004.0,31098.0,29019.0,32112.0,30090.0,38828.0,"3,3% Tage geschätzt",
A01,33.195,Altlengbach,385,Altlengbach - Kn. Steinhäusl,Wien/Auhof,Kfz,36746.0,37667.0,33252.0,37499.0,42628.0,34696.0,34517.0,Messung,
A01,33.195,Altlengbach,385,Altlengbach - Kn. Steinhäusl,Wien/Auhof,"Kfz > 3,5t hzG",5036.0,6493.0,5088.0,6839.0,6773.0,2953.0,584.0,Messung,
A01,33.195,Altlengbach,385,Altlengbach - Kn. Steinhäusl,Wien/Auhof,"Kfz <= 3,5t hzG",31710.0,31174.0,28164.0,30660.0,35855.0,31743.0,33933.0,Messung,
A01,33.195,Altlengbach,385,gesamt,gesamt,Kfz,73160.0,74197.0,72811.0,73023.0,79400.0,66520.0,74116.0,"3,3% Tage geschätzt",
A01,33.195,Altlengbach,385,gesamt,gesamt,"Kfz > 3,5t hzG",9964.0,13019.0,13549.0,13344.0,11433.0,4687.0,1355.0,Messung,
A01,33.195,Altlengbach,385,gesamt,gesamt,"Kfz <= 3,5t hzG",63196.0,61178.0,59262.0,59679.0,67967.0,61833.0,72761.0,"3,3% Tage geschätzt",
A01,37.81,HASt St. Christophen,754,Altlengbach - St. Christophen,Staatsgrenze Walserberg,Kfz,33767.0,33699.0,36409.0,32799.0,33913.0,29626.0,37365.0,"20,0% Tage geschätzt",
A01,37.81,HASt St. Christophen,754,Altlengbach - St. Christophen,Staatsgrenze Walserberg,"Kfz > 3,5t hzG",4815.0,6371.0,8304.0,6338.0,4544.0,1727.0,751.0,Messung,
A01,37.81,HASt St. Christophen,754,Altlengbach - St. Christophen,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG",28952.0,27328.0,28105.0,26461.0,29369.0,27899.0,36614.0,"20,0% Tage geschätzt",
A01,37.81,HASt St. Christophen,754,St. Christophen - Altlengbach,Wien/Auhof,Kfz,35880.0,36685.0,32073.0,36470.0,41996.0,34167.0,33870.0,"16,7% Tage geschätzt",
A01,37.81,HASt St. Christophen,754,St. Christophen - Altlengbach,Wien/Auhof,"Kfz > 3,5t hzG",4922.0,6332.0,4927.0,6669.0,6643.0,2938.0,584.0,Messung,
A01,37.81,HASt St. Christophen,754,St. Christophen - Altlengbach,Wien/Auhof,"Kfz <= 3,5t hzG",30958.0,30353.0,27146.0,29801.0,35353.0,31229.0,33286.0,"16,7% Tage geschätzt",
A01,37.81,HASt St. Christophen,754,gesamt,gesamt,Kfz,69647.0,70384.0,68482.0,69269.0,75909.0,63793.0,71235.0,"30,0% Tage geschätzt",
A01,37.81,HASt St. Christophen,754,gesamt,gesamt,"Kfz > 3,5t hzG",9737.0,12703.0,13231.0,13007.0,11187.0,4665.0,1335.0,Messung,
A01,37.81,HASt St. Christophen,754,gesamt,gesamt,"Kfz <= 3,5t hzG",59910.0,57681.0,55251.0,56262.0,64722.0,59128.0,69900.0,"30,0% Tage geschätzt",
A01,44.3,Sichelbach,403,St. Christophen - Böheimkirchen,Staatsgrenze Walserberg,Kfz,34839.0,35067.0,37574.0,34277.0,35128.0,30196.0,37596.0,Messung,
A01,44.3,Sichelbach,403,St. Christophen - Böheimkirchen,Staatsgrenze Walserberg,"Kfz > 3,5t hzG",4941.0,6549.0,8503.0,6524.0,4674.0,1753.0,742.0,Messung,
A01,44.3,Sichelbach,403,St. Christophen - Böheimkirchen,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG",29898.0,28518.0,29071.0,27753.0,30454.0,28443.0,36854.0,Messung,
A01,44.3,Sichelbach,403,Böheimkirchen - St. Christophen,Wien/Auhof,Kfz,35269.0,36246.0,31873.0,36232.0,40665.0,32968.0,33005.0,Messung,
A01,44.3,Sichelbach,403,Böheimkirchen - St. Christophen,Wien/Auhof,"Kfz > 3,5t hzG",5034.0,6490.0,5098.0,6837.0,6756.0,2938.0,594.0,Messung,
A01,44.3,Sichelbach,403,Böheimkirchen - St. Christophen,Wien/Auhof,"Kfz <= 3,5t hzG",30235.0,29756.0,26775.0,29395.0,33909.0,30030.0,32411.0,Messung,
A01,44.3,Sichelbach,403,gesamt,gesamt,Kfz,70108.0,71313.0,69447.0,70509.0,75793.0,63164.0,70601.0,Messung,
A01,44.3,Sichelbach,403,gesamt,gesamt,"Kfz > 3,5t hzG",9975.0,13039.0,13601.0,13361.0,11430.0,4691.0,1336.0,Messung,
A01,44.3,Sichelbach,403,gesamt,gesamt,"Kfz <= 3,5t hzG",60133.0,58274.0,55846.0,57148.0,64363.0,58473.0,69265.0,Messung,
A01,50.285,St. Pölten/A1,409,Böheimkirchen - Kn. St. Pölten,Staatsgrenze Walserberg,Kfz,36708.0,37049.0,39696.0,36185.0,37211.0,31801.0,39202.0,Messung,
A01,50.285,St. Pölten/A1,409,Böheimkirchen - Kn. St. Pölten,Staatsgrenze Walserberg,"Kfz > 3,5t hzG",4959.0,6570.0,8445.0,6569.0,4698.0,1796.0,721.0,Messung,
A01,50.285,St. Pölten/A1,409,Böheimkirchen - Kn. St. Pölten,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG",31749.0,30479.0,31251.0,29616.0,32513.0,30005.0,38481.0,Messung,
A01,50.285,St. Pölten/A1,409,Kn. St. Pölten - Böheimkirchen,Wien/Auhof,Kfz,37415.0,38482.0,33920.0,38382.0,43368.0,35242.0,34675.0,Messung,
A01,50.285,St. Pölten/A1,409,Kn. St. Pölten - Böheimkirchen,Wien/Auhof,"Kfz > 3,5t hzG",5057.0,6525.0,5144.0,6875.0,6767.0,2936.0,590.0,Messung,
A01,50.285,St. Pölten/A1,409,Kn. St. Pölten - Böheimkirchen,Wien/Auhof,"Kfz <= 3,5t hzG",32358.0,31957.0,28776.0,31507.0,36601.0,32306.0,34085.0,Messung,
A01,50.285,St. Pölten/A1,409,gesamt,gesamt,Kfz,74123.0,75531.0,73616.0,74567.0,80579.0,67043.0,73877.0,Messung,
