ID,segment_id,pois_type,type_ID,dir,dist_along_segment,demand_0,demand_1,tc_0,tc_1
0,0,link,,2,0.0,0.0,110598.03078595448,13243.023903864512,13297.612208188497
1,0,ra,1.0,2,239.71582410116363,794.369385680525,19455.73003733887,13269.441574912722,13325.335405015468
2,0,ra,0.0,2,24427.462160297957,134296.58553622375,127030.3742612947,24132.535484801192,21758.535899971448
3,0,ra,2.0,1,68504.60131061138,,51649.635124748864,,5594.606273434111
4,0,ra,3.0,0,79329.13749040988,179686.2081284576,,4553.083889317481,
5,0,ra,4.0,2,104473.71241617021,25966.54477028484,32607.831469514764,4645.32330643337,3250.2162963335736
6,0,ra,5.0,2,133409.21035475997,51923.875897311686,147051.78073061796,9562.729507588061,10252.63871388363
7,0,ra,6.0,2,173065.41379977632,123927.53021628883,133365.76080657516,19234.663494546876,19185.749675920368
8,0,ra,7.0,1,176940.22069628988,,797.6797672231207,,21229.45737990749
9,0,link,0.0,2,194059.96494613093,130254.4637935589,0.0,25638.902393873523,24966.828477803276
10,1,link,0.0,2,0.0,0.0,994.4046625238864,21021.62675530025,20613.642919382877
11,1,ra,8.0,2,8218.215919324155,42893.182856013744,14015.028228182808,20128.71002741653,19731.233570943692
12,1,ra,9.0,0,16747.064047816148,35671.06641012208,,15021.9786197919,
13,1,ra,10.0,2,16911.740762175257,617.7778014671595,4165.445080981956,14994.151703987822,14635.1185026755
14,1,ra,14.0,2,27721.26496153286,34668.98857284308,33220.73564378345,11846.335117703364,11280.481527736596
15,1,ra,13.0,1,29194.630965596883,,35506.213423256566,,11337.261932088282
16,1,ra,12.0,0,29478.47368022978,5212.620274943287,,11885.526535847079,
17,1,ra,15.0,0,33381.72336961185,11636.779511769675,,11960.17018283512,
18,1,ra,16.0,2,34103.260493060356,2158.254291221103,42058.45275170064,11970.385389125157,11490.549937446756
19,1,link,,2,34449.34645750041,1035.7842595208576,0.0,11974.880939958675,11498.072344860364
20,2,link,0.0,2,0.0,0.0,50932.612273198785,33758.81379308793,35170.35515948701
21,2,ra,11.0,1,2598.411645460739,,4.449856334595692,,34398.282138379196
22,2,ra,17.0,0,19826.030918871555,140743.83665569607,,24285.97411997901,
23,2,ra,18.0,1,19924.554475399083,,103201.73242877657,,24186.091143087197
24,2,ra,19.0,0,24376.283905318953,27698.74042697931,,24395.8043620461,
25,2,ra,20.0,0,38424.04808590371,79839.89577149054,,18382.744960495544,
26,2,ra,21.0,1,38987.68062551749,,111349.8124047107,,18491.613365488807
27,2,ra,22.0,2,60686.533174562566,104074.79579116705,121867.35333935526,18323.849406735335,18736.65010737398
28,2,ra,23.0,2,60687.52230976862,4.351830224247759,22637.419724691605,18323.112740357166,18735.790186202183
29,2,link,,2,74788.45855603463,51671.89884022078,0.0,12393.941571693274,11537.658591669302
30,3,link,,2,0.0,0.0,6915.9699,14880.0,12964.0
31,3,ra,24.0,0,291.13911748382634,1082.892,,14880.0,
32,3,ra,25.0,1,391.78966271765654,,1269.66175,,12963.999999999998
33,3,link,1.0,2,2525.7146416492456,8312.526000000002,0.0,14880.000000000002,12964.0
34,4,link,1.0,2,0.0,0.0,63537.01057500214,30037.341974575906,29723.966652893898
35,4,ra,29.0,1,27421.918402146952,,23528.269522244533,,19741.19620746718
36,4,ra,28.0,0,27456.275537656256,172835.1954270283,,20188.77400206591,
37,4,ra,31.0,2,57952.436449648114,136495.1822413465,121920.27452594302,16011.081415437498,8230.965306002568
38,4,ra,30.0,2,57975.56024030675,92.46286485224462,52337.07900555859,16010.688472387346,8211.747942239866
39,4,ra,35.0,2,78476.45534742385,64909.627272565434,53210.90916994969,10925.606078379402,10412.299703297318
40,4,ra,40.0,0,96645.26673532616,49416.51859916345,,10876.999998084551,
41,4,ra,41.0,1,99246.70723666706,,45431.51462061613,,10239.998724530997
42,4,ra,42.0,2,124531.18468963403,56073.617999580594,47.47837499248368,7293.1561007636,8056.292522664386
43,4,ra,45.0,2,160563.71538932095,123734.35475761928,125400.53168811166,14928.999812810407,14570.999969303699
44,4,ra,49.0,2,167022.61670697512,24106.33619212549,170178.54173522763,14929.610924790286,14571.63874617224
45,4,link,2.0,2,182066.45484822014,64502.914307784355,0.0,18661.98985536135,18473.98939337673
46,5,link,1.0,2,0.0,0.0,96095.5523143735,33913.44536880647,34880.33725359744
47,5,ra,26.0,1,10624.424038435742,,97398.68667325983,,36003.524001333615
48,5,ra,27.0,0,12028.538687185457,104453.54427759832,,32653.80091590929,
49,5,ra,32.0,2,39273.39357565199,146770.91132093937,82034.20232513915,16315.891647923901,16811.776330340337
50,5,ra,36.0,1,47330.36386477938,,31894.05520026249,,15728.354223345885
51,5,ra,39.0,0,54808.46507060479,60067.79849386324,,16181.036957810447,
52,5,ra,43.0,1,67696.58292643339,,163772.90971277267,,15425.054197747386
53,5,ra,44.0,0,67916.71774036821,54713.094152936006,,16743.940970134765,
54,5,ra,50.0,1,86150.64463711552,,96625.80205597165,,23926.865751230227
55,5,ra,51.0,0,86198.21188888987,96580.26100481248,,23976.591723992253,
56,5,link,4.0,2,102115.05106186114,96241.47571918213,0.0,24204.99925545633,24090.999483017156
57,6,link,,2,0.0,0.0,82014.72429148362,9370.089853693322,8223.438973746437
58,6,ra,34.0,0,1229.5619294335402,2890.697904014153,,9440.700126436834,
59,6,ra,33.0,0,4398.318016945725,7570.561178381116,,9685.754071387502,
60,6,ra,38.0,1,19100.037855584003,,81681.6991082502,,13533.136089729269
61,6,ra,37.0,0,19123.313502380493,45091.845296298496,,14150.210375121094,
62,6,ra,48.0,2,42213.94659999393,85547.73608614209,51157.230002516786,15986.276215400261,14986.608024975872
63,6,link,3.0,2,60876.22424217983,88847.51512241353,0.0,22912.25382809093,20940.12915497252
64,7,link,,2,0.0,0.0,57815.81846422917,5668.999528653672,6150.729304438899
65,7,ra,46.0,2,6667.955447556553,10984.359080625853,113.43380989245793,8281.792263693602,8468.64769738014
66,7,ra,47.0,2,6721.474926778252,110.9556883403091,11614.246635606965,8309.644744099518,8493.35719891922
67,7,link,2.0,2,25294.541879356693,54409.67436545758,0.0,14962.675134733858,16516.589552950947
68,8,link,2.0,2,0.0,0.0,14288.379331310964,7482.8475416004885,7299.522043042311
69,8,ra,52.0,2,9055.824498122218,13263.694588088356,14023.521794381293,4168.183876582084,5040.022490546272
70,8,link,,2,21173.685305885127,13940.095376387626,0.0,5120.673657931851,4588.2170166362
71,9,link,2.0,2,0.0,0.0,81537.06492795641,16104.883545196823,15713.539590973189
72,9,ra,55.0,2,15445.371783397328,67700.02234950355,65437.14069484738,18116.808648064718,18576.24722961687
73,9,link,7.0,2,33157.12684688381,78558.2491956084,0.0,15291.911788888327,16309.942475414351
74,10,link,3.0,2,0.0,0.0,1095.3517233038656,16070.547455207432,15536.122108731484
75,10,ra,53.0,2,14793.406531478646,49015.43948486998,47484.019809675956,10386.965680851748,10095.326390563263
76,10,link,4.0,2,15227.535521101405,1126.9910082501244,0.0,10382.534499411435,10091.084496285315
77,11,link,3.0,2,0.0,0.0,31745.532845437767,24599.82318293021,23820.230959992503
78,11,ra,54.0,2,6967.487148144968,42540.78193412597,42169.42379624878,24295.434711773953,24519.55846052323
79,11,ra,56.0,1,14053.388239050713,,42127.36083050685,,22284.926619444108
80,11,link,5.0,2,19878.69006465457,72772.38154471369,0.0,21285.35848456856,21634.466675239044
81,12,link,4.0,2,0.0,0.0,39058.110750199725,26537.183481174612,26594.4888508882
82,12,ra,58.0,0,13722.635716121396,84106.44243238925,,22288.895823895953,
83,12,ra,57.0,1,13775.369179933106,,84839.80757992748,,22492.6689728353
84,12,link,5.0,2,20725.095833182608,38996.02198082465,0.0,22273.03927625819,22478.037915882287
85,13,link,4.0,2,0.0,0.0,30134.58726173486,13119.378445562592,12868.232099063045
86,13,ra,59.0,2,36309.89528647439,94438.14929045971,77658.11305380848,7033.004117758563,6941.002229714777
87,13,ra,63.0,1,54986.89266391457,,16537.440233131674,,7362.494657393186
88,13,ra,62.0,0,55258.29185590623,34890.21198232506,,7963.314490087364,
89,13,ra,70.0,2,85720.88488710183,84725.10234162901,82257.36501146725,10623.723419117587,10291.861951000017
90,13,ra,71.0,1,92148.0377185692,,33146.75694251019,,10312.666692975632
91,13,ra,75.0,0,106351.19825280693,55630.66963412746,,10865.413306202281,
92,13,ra,80.0,2,121274.1282993086,39696.505160444576,91088.64237341344,10924.77173173255,10844.541839822334
93,13,link,8.0,2,132616.96921985535,29999.266720655658,0.0,10049.65492309056,10277.18304427881
94,14,link,5.0,2,0.0,0.0,23408.56301894909,47019.266876753034,47478.55577099372
95,14,ra,61.0,0,4629.4826205716145,54369.71862605424,,46935.18990316021,
96,14,ra,60.0,1,4633.73189838993,,55108.1143621735,,47664.75200387175
97,14,link,6.0,2,6596.600389256655,23072.985512551462,0.0,46900.62074452682,47741.070427501014
98,15,link,6.0,2,0.0,0.0,47121.25379541333,44538.30191090561,30669.189430141025
99,15,ra,64.0,1,25738.743223846097,,162889.10604998952,,16721.32745245393
100,15,ra,65.0,0,25740.902218562274,197286.8322729385,,16271.068415411033,
101,15,link,,2,48631.17855592899,45625.31426242709,0.0,5379.561945168664,5618.530039767791
102,16,link,6.0,2,0.0,0.0,70022.38953289964,40135.953102102525,39604.61362769997
103,16,ra,66.0,1,12316.838553333739,,104866.5516526507,,29014.9759926702
104,16,ra,67.0,0,12575.946688510528,114644.69556518148,,29278.008085254503,
105,16,ra,72.0,0,25449.08031583349,91074.88119999625,,28145.02656728497,
106,16,ra,74.0,1,32933.75197391795,,78758.19833965349,,25731.855828829866
107,16,ra,76.0,0,49497.46890143416,159251.717619019,,25418.722177742115,
108,16,ra,77.0,1,49565.51842080065,,90737.08375932332,,25469.36930201462
109,16,ra,82.0,1,67595.96875209869,,118276.92204923417,,26935.549747711895
110,16,ra,83.0,0,68666.07464325256,126427.56593641748,,27462.47510980443,
111,16,ra,86.0,1,81021.89267340553,,104909.42268635287,,27163.152752819547
112,16,ra,89.0,0,92123.37906601596,166348.2025817419,,29187.99844762554,
113,16,ra,90.0,1,92203.5095301381,,140042.11937774133,,28376.998666581203
114,16,ra,94.0,2,106046.11656904333,107490.96933346475,111390.0236365628,35553.82790120941,35570.375545886
115,16,link,12.0,2,113917.81076099534,69987.17889687601,0.0,35564.99998476318,35582.99998278241
116,17,link,,2,0.0,,,,
117,17,link,7.0,2,109.92504458050965,,,,
118,18,link,7.0,2,0.0,0.0,31558.772217154325,13587.999999998794,13361.999999999038
119,18,ra,68.0,0,12318.138045343778,41844.57179886948,,13587.918618998607,
120,18,ra,69.0,1,12346.305678813724,,90503.32553468875,,13361.93226547554
121,18,ra,73.0,2,27186.329383912336,44336.60233646417,33139.997074823244,10354.073130248858,10779.072483450507
122,18,ra,81.0,2,76811.9776614867,128314.83555156017,131863.33991313577,8263.2955761644,8761.433439284106
123,18,ra,84.0,0,91803.7907317536,30498.69431850924,,7912.1978131253545,
124,18,ra,85.0,1,91872.46119703977,,44644.6230950107,,8875.838788593739
125,18,ra,92.0,2,121334.73270596893,77618.50735086747,41242.80357934407,22515.08265535503,24777.854524613613
126,18,link,11.0,2,126075.53174156268,28126.95910991992,0.0,24816.36422563914,28281.638541594737
127,19,link,7.0,2,0.0,0.0,45813.05847500001,9830.0,10058.0
128,19,link,,2,18219.57712193098,44774.54412500001,0.0,9830.0,10058.0
129,20,link,,2,0.0,0.0,39648.670051590845,9701.000199905127,9780.000144838668
130,20,ra,78.0,0,22308.899934453435,55045.270724473674,,10133.998910338905,
131,20,ra,79.0,1,22364.44986396924,,55366.983178359165,,10094.128472638979
132,20,link,8.0,2,37253.22848420508,39856.0994869337,0.0,10983.990050020308,10978.989640796703
133,21,link,8.0,2,0.0,0.0,9289.608399994511,11074.000000000045,10575.00000000006
134,21,ra,87.0,2,29246.642192588224,83230.29327636476,80334.40154125715,11776.999999969368,11511.999999959173
135,21,link,10.0,2,32474.473610155062,9503.45014999588,0.0,11776.999999999924,11511.999999999898
136,22,link,8.0,2,0.0,0.0,63540.09044443341,9293.63667702267,8795.71312529847
137,22,link,9.0,2,25496.14409205573,64966.00764781821,0.0,11229.492180860212,11322.267740578885
138,23,link,,2,0.0,,,,
139,23,link,9.0,2,348.03095811518665,,,,
140,24,link,9.0,2,0.0,0.0,7755.626684396506,12922.607317501452,12863.500827356225
141,24,ra,88.0,0,7001.124876882881,22613.037158930034,,12911.612953719838,
142,24,ra,91.0,1,10447.761196686972,,52823.942444130895,,12797.695040407143
143,24,ra,97.0,0,30840.569189513226,68894.32530662708,,9570.738932827611,
144,24,ra,98.0,1,30857.334061915193,,55783.393136894156,,9946.426208887748
145,24,ra,108.0,2,55766.148613356316,54209.7396336199,58339.92662898446,7870.705730584929,8017.000421022563
146,24,ra,114.0,2,76000.7341358558,52782.690059554225,33562.73374212648,14163.55043686688,14130.470261384906
147,24,link,15.0,2,78175.47480337396,7771.941987532011,0.0,14383.312343962509,14355.359006262079
148,25,link,9.0,2,0.0,0.0,79064.34946630115,9036.997526482091,9407.997018193859
149,25,link,10.0,2,35248.172611532704,78440.20246036658,0.0,9665.34291491844,9341.384995113662
150,26,link,10.0,2,0.0,0.0,135812.66623828077,19727.656489472978,20071.433826475644
151,26,link,11.0,2,24120.776253598797,138177.469995913,0.0,31319.794471237463,29919.23317041516
152,27,link,11.0,2,0.0,0.0,111875.39654407148,33632.332120978645,34814.626431215765
153,27,ra,99.0,0,15398.281487957354,123976.2739945376,,29715.95485159294,
154,27,ra,100.0,1,15788.230047158857,,110690.00072422945,,27462.225943179787
155,27,ra,107.0,2,32030.585088502547,101944.04308777496,111093.95063983182,18775.259985557448,21027.74078658329
156,27,ra,111.0,0,51994.455333056,83317.09259269956,,14923.347877309961,
157,27,ra,110.0,1,52217.78598274018,,91420.7627496502,,16064.78653282132
158,27,ra,113.0,2,80453.83595296173,103794.3606224544,100764.68883140315,13396.479626617025,14719.253066646805
159,27,ra,115.0,0,99290.1862589441,68546.62018866111,,16210.1141141057,
160,27,ra,116.0,2,107271.26953267986,32374.746172825326,127053.16096719762,16266.791514733839,17910.998152764234
161,27,link,15.0,2,128894.5131374644,99300.16963093684,0.0,18725.9999999336,21167.99999991206
162,28,link,11.0,2,0.0,0.0,59767.556016153154,31725.312247825957,30266.96650357134
163,28,ra,93.0,0,3445.559107155475,26819.583821010638,,30439.224167938333,
164,28,ra,95.0,0,21968.345718109766,99181.64366425002,,18498.90877462081,
165,28,ra,96.0,1,22264.116411144965,,120348.81609438776,,17419.186332491074
166,28,link,,2,40879.27967798362,67074.05461575175,0.0,8425.399218263456,7619.583998452962
167,29,link,,2,0.0,,,,
168,29,link,13.0,2,9651.762941400904,,,,
169,30,link,12.0,2,0.0,0.0,34325.5584570876,15334.689159172885,15838.318553614876
170,30,ra,101.0,0,1882.30501330568,7217.50574891628,,15342.168535706442,
171,30,ra,102.0,1,15325.375723611753,,60673.867642582605,,15008.380189154297
172,30,ra,103.0,0,15632.211521401772,53088.47947651989,,14615.10439288337,
173,30,link,13.0,2,27311.590572612233,31702.916384279804,0.0,9143.138576923604,9791.251595649202
174,31,link,12.0,2,0.0,0.0,14621.970784639498,30941.90070843765,30269.361066011556
175,31,ra,106.0,1,10173.779430297054,,90942.90875627009,,29780.034908571717
176,31,ra,105.0,0,10175.429354581127,77996.3014502922,,30402.95414259374,
177,31,ra,109.0,2,22337.148370902334,94060.47968481814,76353.78189547542,31525.727911032645,30877.20633874459
178,31,link,14.0,2,24222.213413881993,14878.700656075725,0.0,31611.05780980601,31155.20360800105
179,32,link,13.0,2,0.0,0.0,124665.60013078306,12223.000000000004,11811.000000000005
180,32,ra,104.0,2,2270.21285318104,6937.163650000078,6703.333050000078,12223.000000000631,11811.000000000642
181,32,link,16.0,2,35413.56901786664,127660.881209991,0.0,17897.0,17575.0
182,33,link,14.0,2,0.0,0.0,72549.11283301303,13297.332945790267,12194.058982416784
