Unnamed: 0,highway,name,asfinag_position,asfinag_type,direction,osm_id,osm_name
0.0,A1,'Parkplatz Großraum’,27.42,2,2,47029834,Großram
1.0,A1,'Steinhäusl',32.7,0,2,187691678,Steinhäusl
2.0,A1,'Kesselhof',44.88,1,1,228287045,Kesselhof
4.0,A1,'St. Pölten',62.9,0,2,47029995,St. Pölten
5.0,A1,'Schallaburg',76.81,1,1,210456429,Schallaburg
8.0,A1,'Ybbs',100.32,0,1,322544067,Ybbs
11.0,A1,'Amstetten',119.36,1,1,69744600,Amstetten
13.0,A1,'Oed',130.52,2,1,895761070,Oed
15.0,A1,'Haag',143.54,0,1,79589948,Haag
18.0,A1,'Enns Süd',156.19,1,1,523633273,Enns Süd
20.0,A1,'Ansfelden Süd',170.93,0,1,35323435,Ansfelden Süd
22.0,A1,'Allhaming Süd',182.59,1,1,322545858,Allhaming Süd
25.0,A1,'Lindach Süd',212.27,0,1,531736196,Lindach Süd
26.0,A1,'Hainbach Süd',230.7,1,1,160829032,Hainbach Süd
28.0,A1,'Straß',243.67,1,1,531252283,Straß
31.0,A1,'Mondsee',259.23,0,2,47030500,Mondsee
33.0,A1,'Vetterbach',270.63,2,1,322888608,
35.0,A1,'Salzburger Vorland',277.55,2,1,530994135,Salzburger Vorland
37.0,A1,'Söllheim',286.46,0,1,67810341,Söllheim
39.0,A1,'Walserberg Süd',300.71,0,1,322551672,Walserberg Süd
42.0,A10,'Untersberg/Ost',4.37,2,1,893773171,
43.0,A10,'Bruderloch',17.53,2,1,191364532,Rastplatz Bruderloch
44.0,A10,'Golling Ost',28.76,0,1,200300459,Raststation Golling Ost
48.0,A10,'Klausgraben Ost’,50.01,2,1,185872906,
49.0,A10,'Eben Süd',59.21,0,2,404477042,Raststation Eben-Süd
50.0,A10,'Eben Nord',59.32,0,2,404477039,Raststation Eben-Nord
52.0,A10,'Tauernalm',79.79,0,2,200145931,Raststation Tauernalm
54.0,A10,'Lanschütz',100.6,1,1,529488602,Lanschütz
56.0,A10,'Ried’,116.47,2,1,579663993,Parkplatz Ried
57.0,A10,'Eisentratten',125.92,0,2,404473862,Raststation Eisentratten
58.0,A10,'Seeboden',141.72,2,1,450117702,
