Unnamed: 0,highway,name,asfinag_position,asfinag_type,direction,osm_id,osm_name,centroid,dist_along_highway
0.0,A1,'Parkplatz Großraum’,27.42,2,2,47029834,Großram,,
1.0,A1,'Steinhäusl',32.7,0,2,187691678,Steinhäusl,,
3.0,A1,'Kirchstetten',44.88,1,0,228284224,Kirchstetten,,
4.0,A1,'St. Pölten',62.9,0,2,47029995,St. Pölten,,
6.0,A1,'Roggendorf',76.82,1,0,210456428,Roggendorf,,
7.0,A1,'Ornding',88.04,1,0,-12284963,Ornding,,
9.0,A1,'Kemmelbach',101.38,0,0,322544273,Kemmelbach,,
10.0,A1,'Viehdorf',118.17,1,0,69745896,Viehdorf,,
12.0,A1,'Parkplatz Zeillern’,124.31,2,0,895761100,Zeillern,,
14.0,A1,'Strengberg',136.0,0,0,322545232,Strengberg,,
16.0,A1,'Ennsblick',147.1,2,0,523610724,Ennsblick,,
17.0,A1,'Parkplatz Ennsdorf’,152.88,2,0,904639431,Ennsdorf,,
19.0,A1,'Enns Nord',156.79,1,0,523633283,Enns Nord,,
21.0,A1,'Ansfelden Nord',171.01,0,0,35323434,Ansfelden Nord,,
23.0,A1,'Allhaming Nord',182.6,1,0,322545857,Allhaming Nord,,
24.0,A1,'Lindach Nord',212.26,0,0,531736197,Lindach Nord,,
27.0,A1,'Hainbach Nord',230.72,1,0,160829030,Hainbach Nord,,
29.0,A1,'Wildenhag Nord',243.76,2,0,531252271,Wildenhag Nord,,
30.0,A1,'Oberwang',251.03,1,0,313110417,Oberwang,,
31.0,A1,'Mondsee',259.23,0,2,47030500,Mondsee,,
32.0,A1,‘Parkplatz Ölgraben’,268.98,2,0,531021199,Ölgraben,,
34.0,A1,'Enzersberg',274.82,2,0,67810359,Enzersberg,,
38.0,A1,'Kasern',287.89,0,0,67810346,Kasern,,
40.0,A1,'Walserberg Nord',300.73,0,0,322551671,Walserberg Nord,,
41.0,A10,'Glanegg/West',4.28,2,0,720563664,P4,,
45.0,A10,'Golling West',28.82,0,0,206566678,Raststation Golling West,,
46.0,A10,'Werfen',40.34,2,0,530029927,,,
47.0,A10,'Klausgraben West’,50.01,2,0,185872881,,,
49.0,A10,'Eben Süd',59.21,0,2,404477042,Raststation Eben-Süd,,
