ID,segment_id,pois_type,dir,dist_along_segment,demand_0,demand_1,tc_0,tc_1
0,0,link,2,0.0,0.0,0.0,11832.152537671082,11767.478942392701
1,0,ra,2,239.71582410116363,569.0635628126864,63211.231542721136,11914.451885284907,11857.016511189462
2,0,ra,1,15074.981023604427,,24863.099650322612,,22722.040568603774
3,0,ra,0,15258.386608098019,63519.6650670947,,22911.017259163124,
4,0,ra,2,24427.462160297957,47501.481695733164,15332.033150852007,26851.86033353321,26481.095934596233
5,0,ra,0,33429.359587388244,41110.82042126763,,22794.142493648997,
6,0,ra,1,33802.16903595859,,28083.873555867278,,21949.58766639352
7,0,ra,0,46647.535299791576,40529.42274258967,,13115.0,
8,0,ra,1,46771.544645064954,,70052.81276339023,,13492.0
9,0,ra,1,55124.556954109394,,3391.488380000001,,13285.290733010122
10,0,ra,1,64455.5697412472,,14864.381296674434,,5394.407032797292
11,0,ra,0,64479.80509620068,43363.11405034887,,5253.583253351237,
12,0,ra,1,68504.60131061138,,27537.231613851654,,5391.999999999997
13,0,ra,0,79329.13749040988,14761.478192132645,,4439.000000265529,
14,0,ra,2,104473.71241617021,20019.536151915316,26976.758320564953,4918.999960315202,4941.99850258074
15,0,ra,1,126194.35386449931,,4366.471151740933,,10311.99924314687
16,0,ra,2,133409.21035475997,41989.138390453845,20856.783998464292,9240.000000000804,10262.00000000003
17,0,ra,1,135061.70564688568,,22534.634886585267,,10262.0
18,0,ra,0,135400.1250892968,3679.183200000009,,9240.0,
19,0,ra,0,150383.98303107356,29691.328294701685,,10702.0,
20,0,ra,1,165563.40092208315,,40107.98807838373,,14213.463954925239
21,0,ra,0,165570.70735327507,37367.26301525546,,13364.777914801589,
22,0,ra,2,173065.41379977632,28225.38362207162,27888.13606583773,19033.0,18889.0
23,0,ra,1,176940.22069628988,,48680.14280977374,,20799.0
24,0,ra,1,182868.69291796355,,62769.63335922625,,27475.05189861765
25,0,ra,0,188487.64113161736,75149.3488095728,,31124.7933281923,
26,0,link,2,194059.96494613093,28410.10801995652,566.1240739771199,25285.0,24572.0
27,1,link,2,0.0,0.0,0.0,21023.0,20615.0
28,1,ra,0,6216.475781344878,26137.685669999995,,21023.0,
29,1,ra,2,8218.215919324155,8416.347819999999,802.9744200000002,21023.0,20615.0
30,1,ra,1,14028.232886742648,,11389.915360803787,,14822.0
31,1,ra,0,16747.064047816148,28347.723728473975,,15161.0,
32,1,ra,2,16911.740762175257,499.25173000000007,3418.252942744024,15160.999999999998,14822.0
