Unnamed: 0,highway,name,asfinag_position,asfinag_type,direction,osm_id,osm_name,centroid,dist_along_highway,x_coord,nb,on_segment,evaluated_dir
111.0,A14,'Rankweil West',33.46,2,0,207257184,Rastplatz Rankweil West,POINT (119853.0042607532 383802.4733134162),33309.01882557421,119816.947577177,0,0,0
112.0,A14,'Rankweil Ost',33.82,2,1,126431156,Rastplatz Rankweil Ost,POINT (119866.9506990632 383430.3094144502),33679.515879646875,119896.2527222405,1,0,1
110.0,A14,'Hohenems',24.48,0,2,471547998,Raststation Hohenems,POINT (122654.8335946695 391819.2174459381),24293.55008377413,122706.0052690432,2,0,2
114.0,A14,'Schlins Ost',46.85,2,1,533414011,Parkplatz Schlins,POINT (123202.6271008575 373449.3801825791),46581.56183482721,123186.3397192963,3,0,0
113.0,A14,'Schlins West',46.72,2,0,533414012,Parkplatz Schlins,POINT (123306.6898406406 373381.9645412282),46706.44277232992,123321.0886701855,4,0,1
108.0,A14,'Dornbirn West',15.07,2,1,162980699,P 15,POINT (127793.9894542911 399201.3997199812),15133.748470007851,127756.7854362527,5,0,0
109.0,A14,'Dornbirn Ost',15.27,2,0,367495632,P 15,POINT (127836.8629717065 399379.7166775248),14950.28436909958,127868.1789472502,6,0,1
107.0,A14,'Hörbranz’,0.0,2,2,633966549,,POINT (129592.4740092582 411403.8967661585),243.61131527003093,129543.4415961138,7,0,2
115.0,A14,'Nüziders',55.2,2,1,561914333,Parkplatz Nüziders,POINT (130489.0631706267 369914.8775179518),55063.184132699935,130494.4888026466,8,0,1
248.0,S16,'Radin Nord',59.03,2,0,782870538,Parkplatz Radin,POINT (137804.3630587783 366235.7606651682),58937.68303583237,137801.0744044039,9,0,1
247.0,S16,'Radin Süd',59.01,2,1,782870539,Parkplatz Radin,POINT (137828.0327634743 366240.9433703881),58913.44768077778,137832.4607141308,10,0,0
246.0,S16,'Innerbraz',54.99,0,0,782866940,Raststation Innerbraz,POINT (141650.8618208739 365801.1264289222),54888.65147426961,141663.7117547484,11,0,1
245.0,S16,'Klösterle',44.17,0,1,126215501,Raststation Klösterle,POINT (151936.1288926078 364139.1767406861),44064.11529179624,151939.6283007054,12,0,0
244.0,S16,'Schnann',18.9,0,2,896823217,Raststation Schnann,POINT (175737.3056150393 365273.0479740323),18919.540277567827,175736.3196791559,13,0,2
85.0,A12,'Kronburg Zams',142.7,2,0,533546618,,POINT (194530.0739048136 368234.0419505934),142654.0697471625,194519.2168737496,14,0,1
84.0,A12,'Mils',135.51,0,2,401257103,Trofana Tyrol,POINT (200474.7711905513 371682.5786594177),135439.2135005972,200497.5630784137,15,0,2
83.0,A12,'Imst Nord',133.84,2,0,401260330,Imst Nord,POINT (202105.5751568415 371935.7725424164),133786.71793031986,202103.973387842,16,0,1
82.0,A12,'Imst Süd',133.49,2,1,401260331,Imst Süd,POINT (202443.8397467285 371943.9401717986),133448.2984338601,202443.4855281343,17,0,0
81.0,A12,'Haiming Süd',118.5,2,1,533546631,,POINT (215607.5295945931 376927.0293851158),118464.44052611433,215619.2079138759,18,0,0
80.0,A12,'Telfs Nord',103.33,2,0,401248680,,POINT (229972.8903996685 380698.7075919536),103285.02265129075,229961.8542589817,19,0,1
79.0,A12,'Telfs Süd',103.3,2,1,401248683,,POINT (229979.771602077 380701.1638065565),103277.71618107129,229991.6990099435,20,0,0
78.0,A12,'Pettnau',95.81,0,2,47030786,Raststätte Pettnau,POINT (236087.0716281848 378489.1021192797),95783.00975504864,236069.536350749,21,0,2
77.0,A12,'Zirl-Inzing',91.77,1,0,389525938,Rastplatz Zirl - Inzing,POINT (239661.1265462336 377381.8996808553),91908.2028374514,239676.9298823825,22,0,1
76.0,A12,'Kematen',86.01,2,0,397610524,,POINT (244920.5183552348 375999.3511095279),85979.73059102819,244927.7226139134,23,0,1
75.0,A12,'Sieglanger',80.39,2,1,204383389,,POINT (249949.3400849759 374578.673555952),80360.78243322166,249963.5342765586,24,0,0
92.0,A13,'Europabrücke',8.27,0,2,320569653,Raststation Europabrücke,POINT (253467.5327861128 368177.7296732453),8216.482070386874,253427.4126027939,25,1,2
91.0,A13,'Patsch',6.24,2,0,152314682,,POINT (253612.3367575049 369998.1332964842),6206.232537422731,253598.5527459563,26,1,0
93.0,A13,'Gschleirs',14.05,2,1,123855817,Gschleirsbrücke,POINT (256108.1487335626 364374.2001637823),14022.01964928701,256151.6177143916,27,1,1
94.0,A13,'Matrei West',16.79,0,0,370306110,Raststation Matrei West,POINT (257006.4578554331 361863.8682013088),16740.466942339608,256974.3902412126,28,1,0
95.0,A13,'Matrei Ost',16.95,0,2,370306111,Raststation Matrei Ost,POINT (257075.2250408684 361714.2446811338),16905.13403389687,257122.9535760355,29,1,2
74.0,A12,'Ampaß',72.07,0,0,189800878,Raststation Innsbruck-Ampass,POINT (257729.3301563336 375387.5791380648),72190.04697378619,257715.1605934511,30,2,1
97.0,A13,'Wipptalerhof West',22.56,2,0,372332550,Wipptaler Hof,POINT (257889.8386083257 356429.3375317825),22510.665863203787,257875.0038666153,31,1,0
