Unnamed: 0,highway,name,asfinag_position,asfinag_type,direction,osm_id,osm_name,centroid,dist_along_highway,traffic_flow,energy_demand
0,A1,'Parkplatz Großraum’,27.42,2,2,47029834,Großram,POINT (598918.172416926 477113.1170866974),18630.868491944,13297,14541.0894450967
1,A1,'Steinhäusl',32.7,0,2,187691678,Steinhäusl,POINT (594053.7768457728 476412.5414740073),24098.6768115261,31709.9999999998,77129.6222725955
2,A1,'Kesselhof',44.88,1,1,228287045,Kesselhof,POINT (583164.4383275693 479070.144500346),36260.395870592,30234.9999967191,109130.955699818
4,A1,'St. Pölten',62.9,1,2,47029995,St. Pölten,POINT (565411.8660079052 477639.9632115253),54307.519355239,35565,99032.4320338409
5,A1,'Schallaburg',76.81,1,1,210456429,Schallaburg,POINT (552213.9791297226 479236.2870033564),68230.2568828421,29188,136934.360376389
8,A1,'Ybbs',100.32,0,1,322544067,Ybbs,POINT (532437.2852403207 474761.1866661229),91687.5613189783,27161.4044508388,104129.250667749
11,A1,'Amstetten',119.36,1,1,69744600,Amstetten,POINT (514590.5665525703 472942.103187678),110856.167061774,25407,56128.5314279588
13,A1,'Oed',130.52,2,1,895761070,Oed,POINT (504675.7868177567 469666.8035950668),121902.046431231,26849.6920630665,69822.6737213844
15,A1,'Haag',143.54,0,1,79589948,Haag,POINT (492792.9087994206 471806.3395010391),134904.555651333,28172,72532.3838204059
18,A1,'Enns Süd',156.19,1,1,523633273,Enns Süd,POINT (483455.8217990267 479027.1095450164),147777.689227296,29648.7371150985,86236.6993060754
20,A1,'Ansfelden Süd',170.93,0,1,35323435,Ansfelden Süd,POINT (470626.1716849853 479704.6766880775),162320.753738155,46681.6462052378,108599.646702595
22,A1,'Allhaming Süd',182.59,1,1,322545858,Allhaming Süd,POINT (461489.6777927409 473202.3523929474),173952.696431985,22273,132032.004986223
25,A1,'Lindach Süd',212.27,0,1,531736196,Lindach Süd,POINT (438804.2702841595 456202.8899055603),203592.171353689,24205,88500.7129286602
26,A1,'Hainbach Süd',230.7,1,1,160829032,Hainbach Süd,POINT (423314.3008876345 450793.6821045476),221873.665451739,16641,43626.8866404899
28,A1,'Straß',243.67,1,1,531252283,Straß,POINT (412591.0839382739 446878.1366058033),234981.918153046,16828.6748354971,52286.933312582
31,A1,'Mondsee',259.23,0,2,47030500,Mondsee,POINT (404661.7156957533 437484.534727912),250516.989637787,15333.0007994484,35129.2549432295
33,A1,'Vetterbach',270.63,2,1,322888608,,POINT (395183.3308279748 438204.9622184667),261972.429901148,18111,24972.4587201048
35,A1,'Salzburger Vorland',277.55,2,1,530994135,Salzburger Vorland,POINT (388715.2579772896 438983.0551610399),268866.709267308,21776,38740.0928318722
37,A1,'Söllheim',286.46,0,1,67810341,Söllheim,POINT (380836.8763759326 437773.3496392902),277761.844469336,28864.5374641219,82339.639275179
39,A1,'Walserberg Süd',300.71,0,1,322551672,Walserberg Süd,POINT (371117.9378952289 429913.6343266661),292024.958745379,14880.000000003,866.429923349707
42,A10,'Untersberg/Ost',4.37,2,1,893773171,,POINT (375718.8865037689 428543.0007576903),1898.0363624747,30061,79010.5399207519
43,A10,'Bruderloch',17.53,2,1,191364532,Rastplatz Bruderloch,POINT (384281.7510483056 419954.8239867149),15039.738222152,24652,55144.783875779
44,A10,'Golling Ost',28.76,0,1,200300459,Raststation Golling Ost,POINT (386826.7011905757 409460.0579631454),26224.3852844145,19647.000947721,83619.9827870841
48,A10,'Klausgraben Ost’,50.01,2,1,185872906,,POINT (395266.1611302294 392742.7037682212),47504.9825138822,16076,29740.3452221424
49,A10,'Eben Süd',59.21,0,2,404477042,Raststation Eben-Süd,POINT (403740.1447232449 391218.4347725328),56778.0270021231,15557.9508674499,63790.3829944541
