Unnamed: 0,highway,name,direction,centroid,has_charging_station,cs_below_50kwh,cs_above_50kwh,installed_infrastructure,,44kW,50kW,75kW,150kW,350kW
0,A1,'Parkplatz Großraum’,2,POINT (598918.172416926 477113.1170866974),,,,0,0,,,,,
1,A1,'Steinhäusl',2,POINT (594053.7768457728 476412.5414740073),TRUE,5,4,7,16,,3,0,0,4
3,A1,'Kirchstetten',0,POINT (583166.599872172 479178.9877391227),,,,0,0,,,,,
4,A1,'St. Pölten',2,POINT (565411.8660079052 477639.9632115253),TRUE,2,4,12,18,4,4,4,4,0
6,A1,'Roggendorf',0,POINT (552335.5479390357 479297.2368483514),,,,0,0,,,,,
7,A1,'Ornding',0,POINT (542976.5205263259 479597.9797734821),,,,0,0,,,,,
9,A1,'Kemmelbach',0,POINT (531465.51598115 474350.2025373846),,,,0,0,,,,,
10,A1,'Viehdorf',0,POINT (514650.5215557402 473063.6424604911),,,,0,0,,,,,
12,A1,'Parkplatz Zeillern’,0,POINT (510628.7832619262 470610.6068716513),,,,0,0,,,,,
14,A1,'Strengberg',0,POINT (499274.7511604758 469227.1231464954),,,,0,0,,,,,
16,A1,'Ennsblick',0,POINT (490761.9664102845 474604.9867285571),,,,0,0,,,,,
17,A1,'Parkplatz Ennsdorf’,0,POINT (486967.3882255752 478508.8155654778),,,,0,0,,,,,
19,A1,'Enns Nord',0,POINT (483216.736901953 479172.7535901537),,,,0,0,,,,,
21,A1,'Ansfelden Nord',0,POINT (470522.4031152448 479865.3730793009),,,,0,0,,,,,
23,A1,'Allhaming Nord',0,POINT (461397.1973813765 473325.4912737869),,,,0,0,,,,,
24,A1,'Lindach Nord',0,POINT (438763.705418745 456306.1767468626),,,,0,0,,,,,
27,A1,'Hainbach Nord',0,POINT (423068.5794925663 450858.2272473382),,,,0,0,,,,,
29,A1,'Wildenhag Nord',0,POINT (412469.9910011468 446875.8517285118),,,,0,0,,,,,
30,A1,'Oberwang',0,POINT (407438.9585875917 442616.3097934633),,,,0,0,,,,,
