Unnamed: 0,highway,name,direction,centroid,has_charging_station,cs_below_50kwh,cs_above_50kwh
0,A1,'Parkplatz Großraum’,2,POINT (598918.172416926 477113.1170866974),,,
1,A1,'Steinhäusl',2,POINT (594053.7768457728 476412.5414740073),TRUE,5,4
2,A1,'Kesselhof',1,POINT (583164.4383275693 479070.144500346),,,
4,A1,'St. Pölten',2,POINT (565411.8660079052 477639.9632115253),TRUE,2,4
5,A1,'Schallaburg',1,POINT (552213.9791297226 479236.2870033564),,,
8,A1,'Ybbs',1,POINT (532437.2852403207 474761.1866661229),TRUE,3,0
11,A1,'Amstetten',1,POINT (514590.5665525703 472942.103187678),,,
13,A1,'Oed',1,POINT (504675.7868177567 469666.8035950668),,,
15,A1,'Haag',1,POINT (492792.9087994206 471806.3395010391),,,
18,A1,'Enns Süd',1,POINT (483455.8217990267 479027.1095450164),,,
20,A1,'Ansfelden Süd',1,POINT (470626.1716849853 479704.6766880775),,,
22,A1,'Allhaming Süd',1,POINT (461489.6777927409 473202.3523929474),,,
25,A1,'Lindach Süd',1,POINT (438804.2702841595 456202.8899055603),,,
26,A1,'Hainbach Süd',1,POINT (423314.3008876345 450793.6821045476),,,
28,A1,'Straß',1,POINT (412591.0839382739 446878.1366058033),,,
31,A1,'Mondsee',2,POINT (404661.7156957533 437484.534727912),TRUE,4,4
33,A1,'Vetterbach',1,POINT (395183.3308279748 438204.9622184667),,,
35,A1,'Salzburger Vorland',1,POINT (388715.2579772896 438983.0551610399),,,
37,A1,'Söllheim',1,POINT (380836.8763759326 437773.3496392902),,,
39,A1,'Walserberg Süd',1,POINT (371117.9378952289 429913.6343266661),,,
42,A10,'Untersberg/Ost',1,POINT (375718.8865037689 428543.0007576903),,,
43,A10,'Bruderloch',1,POINT (384281.7510483056 419954.8239867149),,,
44,A10,'Golling Ost',1,POINT (386826.7011905757 409460.0579631454),TRUE,3,4
48,A10,'Klausgraben Ost’,1,POINT (395266.1611302294 392742.7037682212),,,
49,A10,'Eben Süd',2,POINT (403740.1447232449 391218.4347725328),TRUE,6,1
50,A10,'Eben Nord',2,POINT (403770.5792237686 391334.4426845374),,,
52,A10,'Tauernalm',2,POINT (407008.1463603936 372061.4315096087),,,
54,A10,'Lanschütz',1,POINT (418583.0685941336 357606.7125466375),,,
56,A10,'Ried’,1,POINT (421999.730530755 343883.4747392475),,,
57,A10,'Eisentratten',2,POINT (418830.9453438835 335556.5502592363),TRUE,3,4
58,A10,'Seeboden',1,POINT (412975.6229934532 323756.9880422672),,,
60,A10,'Kamering',1,POINT (420547.8402652538 314722.316202654),,,
61,A10,'Feistritz an der Drau',2,POINT (425806.2178627966 309419.4194663895),,,
62,A11,'St. Niklas/Nord',1,POINT (445558.1419645398 301212.7931256008),,,
63,A11,'Rosegg',2,POINT (451138.4931818426 297968.0198626479),TRUE,6,0
64,A12,'Langkampfen Süd',1,POINT (312749.7841547782 411068.5465288756),,,
65,A12,'Angath Süd',2,POINT (304722.0445451084 402818.6027073953),,,
66,A12,'Angath Nord',2,POINT (304578.7943139818 402878.664587032),TRUE,3,4
68,A12,'Münster Süd',1,POINT (287475.4917821485 391198.3322610573),,,
69,A12,'Vomp',1,POINT (276017.2477628621 384424.0945714215),,,
71,A12,'Weer Süd',1,POINT (273119.2032440567 381141.2017820702),,,
