ID,Autobahn,Name,Standort,Art,Richtung,Fluss,Energiebedarf
,'A01','Parkplatz Großraum’,27.42,2,2,,
1.0,'A01','Steinhäusl',32.7,0,2,33516.4,219197.0
2.0,'A01','Kesselhof',44.88,1,1,33069.5,80557.2
3.0,'A01','St. Pölten',62.9,0,2,31268.6,112692.0
4.0,'A01','Schallaburg',76.81,1,1,30759.4,85572.7
5.0,'A01','Ybbs',100.32,0,1,28623.6,134588.2
6.0,'A01','Amstetten',119.36,1,1,27461.8,104574.6
7.0,'A01','Oed',130.52,2,1,28409.8,63410.8
8.0,'A01','Haag',143.54,0,1,28068.7,73090.8
9.0,'A01','Enns Süd',156.19,1,1,31463.9,79603.7
10.0,'A01','Ansfelden Süd',170.93,0,1,48152.0,141952.1
11.0,'A01','Allhaming Süd',182.59,1,1,23679.1,55219.7
12.0,'A01','Lindach Süd',212.27,0,1,24974.8,148250.5
13.0,'A01','Hainbach Süd',230.7,1,1,18126.8,66815.5
14.0,'A01','Straß',243.67,1,1,18482.3,47943.0
15.0,'A01','Mondsee',259.23,0,2,17577.9,54702.4
16.0,'A01','Vetterbach',270.63,2,1,20198.5,46052.6
17.0,'A01','Salzburger Vorland',277.55,2,1,24172.0,33454.0
18.0,'A01','Söllheim',286.46,0,1,31201.5,55601.0
19.0,'A01','Walserberg Süd',300.71,0,1,22448.8,63979.1
20.0,'A02','Guntramsdorf',14.43,0,2,52286.1,150897.7
21.0,'A02','Leobersdorf',32.08,1,1,41904.8,147924.0
22.0,'A02','Föhrenberg',39.31,0,1,41904.8,60594.4
23.0,'A02','Wr. Neustadt',51.18,1,1,32210.7,76468.3
24.0,'A02','Gleissenfeld',61.52,2,1,22784.3,47117.9
25.0,'A02','Zöbern',78.76,0,2,19899.9,68615.0
26.0,'A02','Schäffern Ost',86.7,1,1,19899.9,31601.1
27.0,'A02','Pinkafeld/Ost',97.98,2,1,18238.9,41146.9
28.0,'A02','Loipersdorf',105.5,0,2,16777.2,25232.9
29.0,'A02','St. Johann/Süd',113.05,2,1,16777.3,25333.7
30.0,'A02','Bad Blumau',134.06,1,1,18332.6,77033.5
31.0,'A02','Arnwiesen',154.1,0,2,20369.5,81640.8
32.0,'A02','Laßnitzhöhe Süd',170.65,1,1,30600.0,101286.0
33.0,'A02','Kaiserwald',190.77,0,2,22840.5,91910.2
34.0,'A02','Herzogberg Süd',220.19,1,1,9308.4,54770.8
35.0,'A02','Pack',235.21,0,2,9308.4,27962.5
36.0,'A02','Twimberg Süd',242.34,2,1,10828.0,15440.8
37.0,'A02','Fischering',259.85,2,1,11825.6,41413.2
