ID,Autobahn,Name,Standort,Art,d,Fluss,Energiebedarf
,'A01','Parkplatz Großraum’,27.42,2,2,,
1.0,'A01','Steinhäusl',32.7,0,2,35485.5,232075.4
2.0,'A01','Kirchstetten',44.88,1,0,34900.0,85016.4
3.0,'A01','St. Pölten',62.9,0,2,32433.6,116890.6
4.0,'A01','Roggendorf',76.82,1,0,32256.6,89802.2
5.0,'A01','Ornding',88.04,1,0,30279.0,67946.1
6.0,'A01','Kemmelbach',101.38,0,0,29778.2,79448.3
7.0,'A01','Viehdorf',118.17,1,0,28743.0,96518.8
,'A01','Parkplatz Zeillern’,124.31,2,0,,
8.0,'A01','Strengberg',136.0,0,0,29403.6,104912.2
9.0,'A01','Ennsblick',147.1,2,0,29708.0,65892.3
,'A01','Parkplatz Ennsdorf’,152.88,2,0,,
10.0,'A01','Enns Nord',156.79,1,0,33848.3,65598.0
11.0,'A01','Ansfelden Nord',171.01,0,0,50956.5,144920.4
12.0,'A01','Allhaming Nord',182.6,1,0,23154.9,53673.0
13.0,'A01','Lindach Nord',212.26,0,0,24719.7,146637.5
14.0,'A01','Hainbach Nord',230.72,1,0,16696.6,61644.0
15.0,'A01','Wildenhag Nord',243.76,2,0,18415.6,48028.0
16.0,'A01','Oberwang',251.03,1,0,17666.7,25687.4
17.0,'A01','Mondsee',259.23,0,2,17666.7,28973.5
18.0,'A01',‘Parkplatz Ölgraben’,268.98,2,0,20637.0,40242.1
19.0,'A01','Enzersberg',274.82,2,0,24120.0,28172.2
20.0,'A01','Salzburger Tor',282.75,2,0,31497.8,49955.5
21.0,'A01','Kasern',287.89,0,0,38738.1,39822.8
22.0,'A01','Walserberg Nord',300.73,0,0,35000.0,89880.0
23.0,'A02','Guntramsdorf',14.43,0,2,52598.2,151798.4
24.0,'A02','Triestingtal',32.08,1,0,39374.6,138992.4
25.0,'A02','Bad Fischau',40.93,0,0,35799.0,63364.3
26.0,'A02','Steinfeld',50.35,1,0,30928.5,58269.4
27.0,'A02','Witzelsberg',60.84,2,0,21809.0,45755.3
28.0,'A02','Zöbern',78.76,0,2,19177.5,68732.0
29.0,'A02','Pinkafeld/West',98.0,2,0,16285.0,62664.7
30.0,'A02','Loipersdorf',105.5,0,2,15465.3,23198.0
31.0,'A02','St. Johann/Nord',113.24,2,0,15496.1,23988.0
32.0,'A02','Hainersdorf',133.87,1,0,16894.1,69705.2
33.0,'A02','Arnwiesen',154.1,0,2,20052.7,81133.3
34.0,'A02','Laßnitzhöhe Nord',170.16,1,0,27978.1,89865.7
35.0,'A02','Kaiserwald',190.77,0,2,21735.9,89595.3
36.0,'A02','Herzogberg Nord',220.13,1,0,9056.8,53181.7
37.0,'A02','Pack',235.21,0,2,9056.8,27315.4
38.0,'A02','Twimberg Nord',242.44,2,0,9725.2,14062.6
39.0,'A02','St. Ändra',262.91,2,0,11102.2,45452.5
40.0,'A02','Gönitz/Nord',268.89,2,0,11769.0,14075.7
41.0,'A02','Haimburg Nord',279.17,2,0,11177.6,22981.1
42.0,'A02','Völkermarkt',285.09,0,2,11177.6,13234.3
43.0,'A02','Grafenstein Nord',300.0,1,0,12796.6,38159.5
44.0,'A02','Krumpendorf/Nord',329.28,2,0,19323.8,113160.2
45.0,'A02','Wörthersee',340.13,0,2,19346.4,41981.6
46.0,'A02','Sternberg/Nord',349.03,2,0,18402.9,32757.2
47.0,'A02','Federaun/Nord',361.73,2,0,16828.0,42743.2
48.0,'A02','Dreiländereck Süd',374.17,0,2,8287.3,20618.7
49.0,'A02','Dreiländereck Nord',374.27,0,2,7346.9,146.9
50.0,'A03','Hornstein',28.0,0,2,18204.1,101943.0
51.0,'A04','Simmering',2.45,0,0,43525.9,21327.7
52.0,'A04','Fischamend',22.33,1,0,30845.4,122641.2
53.0,'A04','Göttlesbrunn',28.04,0,2,30845.4,35225.4
54.0,'A04','Neusiedl',47.01,2,0,22936.9,87022.7
55.0,'A04','Nickelsdorf Süd',64.65,0,0,12000.0,42336.0
56.0,'A05','Hochleithen',10.63,0,2,17911.1,38078.9
57.0,'A06','Potzneusiedl',10.8,0,2,10794.7,23316.6
58.0,'A07','Denk',25.76,1,0,19957.2,102819.3
59.0,'A08','Voralpenkreuz',0.17,0,2,11405.9,387.8
60.0,'A08','Oberham/Nord',18.32,2,0,26226.5,95202.1
61.0,'A08','Kematen/Nord',24.85,2,0,21055.7,27498.7
62.0,'A08','Aistersheim',33.81,0,2,19539.4,35014.7
63.0,'A08','Gotthaming',43.74,2,0,17566.8,34887.7
,'A08’,'Grübl/Nord’,49.61,0,2,,
64.0,'A08','Murau Ost',56.88,1,0,17830.8,46859.4
65.0,'A08','Dietrichshofen/Ost',72.06,2,0,15138.3,45959.9
66.0,'A09','Maisdorf/West',12.73,2,0,10766.5,27411.5
67.0,'A09','St. Pankraz',36.36,0,2,9088.3,42951.4
68.0,'A09','Pyhrn-Priel West',55.04,1,0,7968.6,29770.7
69.0,'A09','Ardning West',66.04,2,0,7526.8,16559.0
70.0,'A09','Rottenmann/Süd',78.18,2,0,11271.6,27367.4
71.0,'A09','Trieben',85.7,0,2,10848.7,16316.5
72.0,'A09','Treglwang',94.03,2,0,10848.7,18073.9
73.0,'A09','Kalwang',106.26,1,0,10938.5,26755.6
74.0,'A09','Kammern Süd',121.26,0,2,11294.3,33883.0
75.0,'A09','St. Michael',135.01,2,0,13232.9,36390.6
,'A09','Ortnerhof Süd’,135.65,2,0,,
76.0,'A09','Hinterlainsach/Ost',139.16,2,0,11151.5,9255.7
77.0,'A09','Kleintal',150.57,2,0,11971.7,27319.4
78.0,'A09','Übelbach 2',154.24,2,0,11971.7,8787.3
79.0,'A09','Deutschfeistritz',161.95,0,2,11971.7,18460.4
80.0,'A09','Eggenfeld',169.13,2,0,22115.1,31757.3
81.0,'A09','Premstätten',192.48,1,0,29891.5,139593.3
82.0,'A09','Gralla West',211.06,0,0,20457.8,76021.3
83.0,'A09','Straß West',225.02,2,0,11166.0,31175.4
84.0,'A10','Glanegg/West',4.28,2,0,79078.4,67691.1
85.0,'A10','Golling West',28.82,0,0,47112.4,231227.9
86.0,'A10','Werfen',40.34,2,0,35799.0,82481.0
,'A10','Klausgraben West’,50.01,2,0,,
88.0,'A10','Eben Süd',59.21,0,2,30928.5,78620.4
89.0,'A10','Eben Nord',59.32,0,2,30928.5,680.4
90.0,'A10','Rohr',71.25,2,0,21809.0,52036.3
91.0,'A10','Tauernalm',79.79,0,2,19177.5,32755.1
92.0,'A10','Lungau',97.91,0,0,16285.0,59016.9
93.0,'A10','Rennweg',112.45,2,0,15465.3,44973.1
94.0,'A10','Eisentratten',125.92,0,2,16584.5,44678.7
95.0,'A10','Wolfsberg',142.25,2,0,18559.6,60615.7
96.0,'A10','Feistritz an der Drau',162.01,0,2,24538.2,96975.0
,'A10’,'Weissenstein’,168.42,1,0,,
97.0,'A11','Rosegg',9.04,0,2,79388.1,143533.7
98.0,'A12','Angath Süd',14.1,0,2,52708.4,148637.7
99.0,'A12','Angath Nord',14.22,0,2,52636.7,1263.3
100.0,'A12','Münster Nord',35.71,1,0,39374.6,169232.1
101.0,'A12','Weer',54.8,0,0,30928.5,118085.2
102.0,'A12','Hall in Tirol',66.28,2,0,21809.0,50073.5
103.0,'A12','Ampaß',72.07,0,0,21809.0,25254.8
104.0,'A12','Kematen',86.01,2,0,19177.5,53466.7
105.0,'A12','Zirl-Inzing',91.77,1,0,16285.0,18760.3
106.0,'A12','Pettnau',95.81,0,2,16285.0,13158.3
107.0,'A12','Telfs Nord',103.33,2,0,15465.3,23259.8
108.0,'A12','Imst Nord',133.84,2,0,16894.1,103087.9
109.0,'A12','Mils',135.51,0,2,16894.1,5642.6
110.0,'A12','Kronburg Zams',142.7,2,0,18559.6,26688.7
111.0,'A13','Berg Isel',1.25,2,0,25838.7,6459.7
112.0,'A13','Patsch',6.24,2,0,25838.7,25787.0
113.0,'A13','Europabrücke',8.27,0,2,25838.7,10490.5
114.0,'A13','Matrei West',16.79,0,0,20298.4,34588.5
115.0,'A13','Matrei Ost',16.95,0,2,20298.4,649.5
116.0,'A13','Wipptalerhof West',22.56,2,0,18324.9,20560.6
117.0,'A13','Nößlach West',26.91,1,2,18298.1,15919.4
118.0,'A13','Gries West',29.54,0,0,18184.6,9565.1
119.0,'A13','Brennersee - Fröhlich',32.6,2,0,18184.6,11129.0
120.0,'A13','Brennersee',33.44,0,0,18184.6,3055.0
121.0,'A13','Brennerpaß',34.16,0,2,18184.6,2618.6
122.0,'A14','Dornbirn Ost',15.27,2,0,26498.3,80925.7
123.0,'A14','Hohenems',24.48,0,2,27950.2,51484.4
124.0,'A14','Rankweil West',33.46,2,0,22493.7,40398.6
125.0,'A14','Schlins West',46.72,2,0,13355.7,35419.2
,'A14','Weissenweg’,13.9,2,0,,
126.0,'A21','Alland',14.68,0,2,21084.0,61902.7
127.0,'A21','Hinterbrühl',26.99,1,0,21466.1,52849.5
128.0,'A22','Korneuburg Ost',18.12,0,0,31493.9,114134.0
129.0,'A25','Sinnersdorf/Nord',5.97,2,0,27000.0,32238.0
130.0,'A25','Traunau/Nord',9.69,2,0,27161.9,20208.4
131.0,'A25','Wels',13.06,0,2,27060.0,18238.4
132.0,'S1A','Schwechat',9.85,0,2,35128.3,69202.8
133.0,'S1B','Deutsch Wagram',39.05,0,2,15600.9,91109.5
,'S03’,'Hollabrunn’,23.6,2,0,,
135.0,'S05','Zaina',6.3,2,0,16321.8,20565.4
136.0,'S05','Grafenwörth',32.85,0,2,12017.9,63815.2
137.0,'S06','Natschbach',3.22,0,2,12977.3,8357.4
138.0,'S06','Gloggnitz Nord',18.44,2,0,7830.9,23837.2
139.0,'S06','Schottwien',23.57,0,2,7830.9,8034.5
140.0,'S06','Schwöbing Nord',48.55,0,0,9208.4,46005.1
141.0,'S06','St. Marein',68.99,0,0,11881.3,48570.8
,'S06','Kapfenberg Nord',72.03,2,0,,
142.0,'S16','Schnann',18.9,0,2,5341.4,20190.5
143.0,'S16','Innerbraz',54.99,0,0,6040.9,43603.4
144.0,'S16','Radin Nord',59.03,2,0,6040.9,4881.1
,'S31','Forchtenstein’,52.45,2,0,,
145.0,'S31','Kobersdorf',66.91,2,0,4911.6,65726.5
146.0,'S33','St. Pölten Ost',1.84,0,0,15171.4,5583.1
147.0,'S33','Herzogenburg',15.69,1,0,15601.6,43216.5
148.0,'S35','Fronleiten West',26.82,2,0,10041.7,53863.7
149.0,'S36','St. Marein Nord',14.89,0,0,9962.6,29668.7
150.0,'S36','Hauswald',35.77,2,0,9884.9,41279.5
,'S37’,'Hunnenbrunnen’,285.2,2,0,,
,'S37’,'Zollfeld’,293.91,2,0,,
