Unnamed__0,nb,highway,position,check_need,geometry,x_coord,on_segment,dist_along_segm
87,560,A14,37019.8527872,0,POINT (119588.5954851958 380172.3267401662),119576.3300161116,0,37143.07415667169
84,584,A14,32949.4023607,0,POINT (119803.0949688943 384159.1985087865),119790.5058015607,0,33069.109073478314
93,703,A14,30219.7670219,0,POINT (119846.7043896381 386827.855536734),119835.7233794512,0,30344.788476787176
80,578,A14,27070.4878792,0,POINT (120905.1459324496 389763.097796753),120893.4238147535,0,27195.913420205638
92,572,A14,24812.9998027,0,POINT (122241.1596040791 391506.5301544744),122234.1332776312,0,24946.090760084808
85,714,A14,20585.9207841,0,POINT (124845.1474828274 394728.3202149938),124837.2063580116,0,20717.604688561547
90,697,A14,13429.9903582,0,POINT (127917.1193591802 400891.3516173991),127905.4883855131,0,13549.731088975435
89,566,A14,53103.8274373,0,POINT (128563.3100053416 370278.8059106551),128561.1508317509,0,53164.42908597446
86,559,A14,11188.9035771,0,POINT (128999.7890942609 402585.784106372),128991.2628902361,0,11319.911575649368
83,550,A14,1006.25357508,0,POINT (130242.6342480494 411017.2295068511),130237.5491646068,0,999.5512347773454
82,710,A14,2025.17626222,0,POINT (131144.1181920215 410539.335096879),131128.7962988314,0,2020.112924204342
88,596,A14,57448.3468462,0,POINT (132259.6471097623 368369.4245205044),132253.8791176862,0,57514.00440158029
91,602,A14,58531.3010676,1,POINT (133055.9409959666 367665.1058668413),133049.4352817757,0,58598.02761364424
81,709,A14,59836.7970388,0,POINT (133806.2532340928 366598.3590511858),133797.7483105701,0,59906.24598191088
222,719,S16,55340.1135107,0,POINT (141264.0993987494 366033.9949480409),141264.0994162646,0,68053.13928012886
220,715,S16,49082.9395057,0,POINT (146981.4644425034 363820.4236723355),146981.4644427205,0,74310.31327834606
218,9990,S16,42029.0009352,0,POINT (153856.4791594075 363859.1109587546),153856.4791664821,0,81364.25184771832
223,8081,S16,24681.5858323,0,POINT (170117.9061626304 364580.6501192619),170117.9061640557,0,98711.66691749117
224,691,S16,22802.5306672,0,POINT (171978.661457646 364745.1400586094),171978.6614589992,0,100590.72207513041
221,686,S16,18659.0131186,0,POINT (175995.8796365325 365299.7058049891),175995.8796359762,0,104734.23962527358
217,6,S16,10906.5895324,0,POINT (182944.4639888262 363664.1579052084),182944.4639975474,0,112486.66320468312
219,680,S16,6270.51825731,0,POINT (187095.7991080678 363649.2455203722),187095.7991175333,0,117122.73444770825
225,8156,S16,1266.90468826,0,POINT (191275.1469527747 366049.7088145788),191275.1469360568,0,122126.3480365379
55,382,A12,141531.28188,0,POINT (195589.6053267382 368599.2908801709),195589.6053172013,0,127317.14171579677
67,8126,A12,132452.223315,1,POINT (203437.7355536565 371881.7465590457),203437.7355518996,0,136396.20026488413
63,674,A12,126289.726152,0,POINT (209339.8891610272 372602.6981732624),209339.8891771865,0,142558.6974297101
62,668,A12,118164.590864,0,POINT (215886.7946608004 377035.9619808056),215886.7946573257,0,150683.83270949713
60,662,A12,107151.128689,0,POINT (226249.2933662818 379814.8460219721),226249.2933663498,0,161697.2948730179
59,656,A12,98876.3098088,0,POINT (233461.6313986878 380100.7314342235),233461.6314036885,0,169972.113740908
58,650,A12,93845.2054191,0,POINT (237955.3555124195 378286.8746449326),237955.3555024843,0,175003.2181300531
56,644,A12,88572.6422021,0,POINT (242398.3674848246 375701.286724476),242398.3674885077,0,180275.78134013625
66,557,A12,83473.9696211,0,POINT (247372.5308512808 375830.1803835437),247372.5308569354,0,185374.45391511166
79,183,A13,5278.50177208,0,POINT (253162.7040224453 370809.2534062328),253171.7832478396,1,5286.3907722747035
57,518,A12,76905.0007452,0,POINT (253269.2425446526 374313.2406635172),253269.2425477454,0,191943.42281860634
78,8045,A13,15385.923394,0,POINT (256764.0321471207 363189.4850777073),256772.520360662,1,15392.102425018771
73,495,A12,71612.1555234,0,POINT (258204.8092547629 375701.6825045936),258204.8092765292,2,3176.3031106829376
76,307,A13,28568.7599854,0,POINT (259242.7037106662 351151.1579536669),259252.5491370226,1,28567.673580728
77,287,A13,25582.4799057,0,POINT (259383.4116364908 354071.8704496184),259394.4736031134,1,25588.783583078923
68,464,A12,65638.9987656,0,POINT (263891.2833843002 376974.4873657287),263891.2833908966,2,9149.4598362004
72,8046,A12,58084.5911541,0,POINT (270264.7664112471 380046.2497686168),270264.7664248798,2,16703.867448884546
65,172,A12,50310.3224643,0,POINT (276032.4548452316 384543.8379651912),276032.454838538,2,24478.136137179525
64,164,A12,45644.1284533,0,POINT (279748.8749739616 387067.5316253473),279748.8749619065,2,29144.330149787267
61,152,A12,34602.0505585,0,POINT (288608.5503831081 392526.0773289325),288608.5503663732,2,40186.40806730445
69,87,A12,24890.9946722,0,POINT (296620.5009355649 397651.8031277015),296620.5009350292,2,49897.46396233119
74,122,A12,18663.0406481,0,POINT (302520.2232815082 399273.7975569044),302520.2232900344,2,56125.417983051004
71,103,A12,6782.43190641,0,POINT (309925.4844409013 407494.3093885112),309925.4844363231,2,68006.02670390962
70,96,A12,4278.61136676,0,POINT (311084.1420515425 409711.7051929201),311084.1420770679,2,70509.84724116848
