nb,highway,position,geometry,check_needed
402,A9,72260.53758532318,POINT (474147.5185007378 404166.6732695304),False
788,A9,166374.8451464322,POINT (551539.4338204708 365143.3923780139),False
408,A9,90373.21619942361,POINT (490874.4238082012 398676.4295333258),False
414,A9,101122.34377899446,POINT (500648.8772044739 395735.1359147817),False
420,A9,106172.48374798289,POINT (504689.1228142814 392864.418724298),False
804,A9,198938.66552584217,POINT (562726.9695100418 337955.5996720969),False
426,A9,124462.68300827763,POINT (521420.0569012047 388148.4354532549),False
432,A9,131422.0821519735,POINT (526485.5221799258 384388.2692136661),False
817,A9,208044.94986169555,POINT (566579.5023680197 330316.2850563572),True
438,A9,160583.4030733059,POINT (549450.8114829913 370181.9103622523),False
6070,A9,194324.74220952054,POINT (560486.6794705796 341967.4582995262),False
444,A9,173643.11713542658,POINT (554694.8265049972 359639.8521377707),False
446,A9,186310.9355721243,POINT (557964.8068467707 349221.1088339941),False
6086,A9,137404.33373321028,POINT (530337.9646102216 380431.4905038407),False
201,A9,4011.176417948444,POINT (454434.5751003654 459398.4362128203),False
207,A9,10038.653490666278,POINT (456705.4774431202 453912.2951639887),False
463,A9,219494.11741241885,POINT (572323.2729632278 320832.7797174033),False
6097,A9,58152.72046659628,POINT (474971.1408662437 415716.6570227777),False
213,A9,22977.238356471298,POINT (458964.3467437036 441648.7664099983),False
470,A9,190641.88303543956,POINT (558501.2618206004 345069.0216170189),False
471,A9,229162.50985681597,POINT (576357.8059635836 313543.2332180474),False
217,A9,43278.48684812444,POINT (469378.3967362712 427991.8489666642),False
350,A9,191456.03876303672,POINT (558935.8718729857 344380.649986973),False
223,A9,51865.04670538569,POINT (473998.4484072138 421623.7787749907),False
618,A9,170817.95881045752,POINT (553069.327899148 361926.4248683033),False
