nb,highway,position,geometry,check_needed
320,S1A,1266.90468826067,POINT (634754.6815111943 475748.6977932075),True
392,S1A,12173.5529021092,POINT (624024.2863409369 474667.0471738981),False
329,S1A,5628.0891707777,POINT (631766.5721596043 474120.4234427895),True
335,S1A,5007.85272233089,POINT (633847.9138994953 473991.3707933335),True
311,S1A,16087.2434381959,POINT (623241.8360329904 474316.303797787),False
344,S1A,812.423546001537,POINT (634648.2084195209 476190.1356521762),False
891,S1A,1047.28964023734,POINT (634245.4133929827 474219.5350976712),False
402,A9,153649.673106047,POINT (478034.3892120477 403185.5301858571),False
788,A9,65683.2069875694,POINT (551435.5126458651 367104.2870580812),False
408,A9,136176.092669833,POINT (494253.5406140059 397831.0999925015),False
414,A9,118135.726423578,POINT (509332.7862818675 390365.1585305809),False
420,A9,123914.640895853,POINT (504689.1228142814 392864.418724298),False
804,A9,33314.1325201447,POINT (561811.5138508816 339908.6825824446),False
426,A9,111991.910051558,POINT (515277.3943161154 389396.5288131989),False
432,A9,95467.6578399315,POINT (528150.5553604778 381969.1352268928),False
817,A9,22078.1548844053,POINT (566550.2792828515 330337.2383788915),True
438,A9,66904.6138351246,POINT (550948.7358149723 368202.0852580725),False
6070,A9,36587.8417800451,POINT (560041.3956621734 342662.4140373077),False
444,A9,55544.8124745372,POINT (555084.3310488494 358829.686282359),False
446,A9,42255.8962438015,POINT (557711.197696665 347728.6775447982),False
6086,A9,89164.5695665024,POINT (532666.4899699828 377837.4542449724),False
201,A9,222327.345392266,POINT (455781.6436462104 455941.6088876646),False
207,A9,214757.145315182,POINT (456995.4999164611 448784.6462573583),False
463,A9,4149.06803146922,POINT (576845.3034877767 316607.0500585049),False
6097,A9,173636.109151058,POINT (475224.7611064558 417324.5877768528),False
213,A9,207109.886287365,POINT (458964.3467437036 441648.7664099983),False
470,A9,39445.2416083967,POINT (558501.2618206004 345069.0216170189),False
471,A9,924.614787020423,POINT (576357.8059635836 313543.2332180474),False
217,A9,178157.251527529,POINT (474029.8217336553 421567.055730362),False
350,A9,36858.2974129522,POINT (559893.8832207602 342889.0979254782),False
223,A9,178222.077938451,POINT (473998.4484072138 421623.7787749907),False
618,A9,62827.6462101469,POINT (551146.6936786274 364358.9572942479),False
