hh_nr;bdl_analyseregionen
1;11
2;10
3;3
4;6
5;3
6;2
7;16
8;2
9; 
10; 
11; 
12;15
13;3
14;7
15;16
16;7
17;16
18;16
19;3
20;16
21;11
22;15
23; 
24;10
25; 
26;16
27;9
28; 
29;7
30; 
31; 
32; 
33;3
34;16
35; 
36;10
37; 
38;12
39;7
40; 
41; 
42;16
43;14
44;14
45;7
46;14
47;3
48;6
49;12
50;12
51;1
52;6
53; 
54; 
55;16
56;6
57;9
58;14
59;1
60; 
61;14
62;9
63;14
64;7
65;7
66;7
67;15
68;7
69;13
70;13
71;9
72;7
73;14
74; 
75;9
76; 
77;14
78;9
79;13
80;11
81; 
82;7
83;3
84;14
85;8
86; 
87; 
88;15
89; 
90;1
91;4
92;11
93;13
94;1
95;8
96; 
97;9
98;1
99;16
100;7
101;14
102; 
103;11
104;12
105;7
106;15
107; 
108;16
109;7
110;2
111;3
112;9
113; 
114;16
115;15
116;2
117;16
118;7
119;15
120;15
121; 
122; 
123; 
124; 
125; 
126; 
127;16
128;1
129; 
130;6
131; 
132;4
133;16
134;14
135;6
136;11
137;4
138;3
139;13
140;13
141;6
142; 
143;4
144;11
145;7
146;10
147; 
148; 
149;13
150;14
151;3
152; 
153;1
154;14
155;7
156;16
157; 
158; 
159; 
160;10
161; 
162;10
163; 
164;3
165;3
166; 
167; 
168; 
169; 
170; 
171;16
172;16
173;7
174; 
175;4
176;6
177; 
178; 
179;9
180;4
181; 
182;1
183;5
184; 
185;7
186; 
187; 
188;14
189;6
190;1
191;14
192;11
193;3
194; 
195;8
196;4
197;7
198; 
199; 
200; 
201; 
202;12
203;8
204;15
205;14
206;7
207;7
208;10
209;2
210;7
211;8
212;10
213; 
214; 
215;1
216;4
217;15
218;14
219;15
220;4
221;5
222;3
223;5
224;3
225;7
226;7
227;14
228;15
229; 
230;9
231; 
232; 
233;16
234; 
235; 
236; 
237;3
238;11
239; 
240;7
241; 
242; 
243; 
244; 
245;12
246;14
247;7
248;1
249; 
250;1
251; 
252;16
253; 
254; 
255;3
256;7
257;3
258;16
259; 
260;4
261; 
262; 
263;13
264;7
265;2
266;4
267;3
268; 
269;16
270; 
271;11
272;9
273;7
274;13
275;5
276;8
277; 
278;15
279;15
280;6
281;11
282;7
283;2
284;14
285;15
286;12
287; 
288;2
289; 
290; 
291;8
292;6
293;10
294;3
295; 
296; 
297; 
298;3
299;14
300;3
301;12
302;8
303; 
304; 
305; 
306;6
307; 
308;11
309; 
310;9
311; 
312; 
313;6
314;14
315; 
316; 
317;13
318; 
319; 
320;5
321; 
322; 
323; 
324;7
325;13
326; 
327; 
328;11
329;16
330;14
331;10
332;13
333;4
334; 
335; 
336;5
337;3
338;16
339; 
340;5
341; 
342;1
343;13
344; 
345;14
346; 
347;14
348;8
349; 
350;6
351;13
352;16
353; 
354; 
355;15
356;3
357;11
358;9
359; 
360;11
361;9
362;3
363;16
364; 
365;10
366;1
367;7
368; 
369; 
370;7
371;12
372;12
373;15
374;15
375; 
376;14
377; 
378;16
379;10
380; 
381; 
382; 
383;3
384; 
385;6
386;13
387;7
388;4
389;9
390; 
391; 
392;5
393;7
394; 
395;9
396;1
397; 
398; 
399;4
400;10
401;14
402;16
403;12
404; 
405; 
406;1
407;14
408;14
409; 
410; 
411; 
412;16
413;7
414; 
415; 
416; 
417; 
418;13
419;9
420;13
421;13
422;10
423; 
424;15
425;15
426;6
427;2
428; 
429;16
430;11
431; 
432;7
433;8
434;15
435; 
436; 
437;11
438;13
439;14
440;15
441; 
442;6
443;5
444;9
445;6
446;13
447;15
448; 
449;14
450; 
451; 
452;7
453;7
454; 
455;13
456;13
457; 
458; 
459;15
460;3
461;1
462;3
463;1
464;1
465;11
466; 
467;10
468;1
469; 
470;15
471;13
472;7
473; 
474;2
475;11
476; 
477; 
478; 
479;4
480; 
481; 
482;14
483;2
484;16
485;14
486; 
487;8
488;11
489; 
490;12
491; 
492; 
493;7
494;16
495; 
496;14
497;11
498; 
499;12
500; 
501;10
502;5
503; 
504;15
505;7
506;10
507;10
508;15
509;9
510;16
511; 
512; 
513;14
514;11
515;7
516;5
517; 
518;10
519;13
520;2
521;11
522; 
523; 
524;15
525;5
