hh_nr;pkw_nr;hh_wohnbdl;hh_wohnraumtyp;fzg_pkw_kat;fzg_pkw_bj;fzg_pkw_fw;fzg_pkw_antr;fzg_pkw_km;fzg_pkw_vig;fzg_pkw_stpl;fzg_hochrechnungsfaktor
1;1;6;4;2;2010;-90;2;10000;2;1;134,262623465192
2;1;6;4;2;2013;2;1;15000;1;1;163,594348304378
2;2;6;4;2;2007;2;1;10000;2;1;163,594348304378
2;3;6;4;2;2007;1;1;10000;1;1;163,594348304378
3;1;3;4;2;2003;2;2;20000;1;1;17,92916671799
3;2;3;4;3;2011;2;2;25000;1;1;17,92916671799
4;1;3;4;2;2010;2;2;30000;1;1;83,5985618017868
4;2;3;4;1;1995;2;1;3000;1;1;83,5985618017868
5;1;3;3;2;2006;2;2;20000;1;2;357,970175798713
5;2;3;3;2;2011;2;2;12000;1;2;357,970175798713
6;1;1;4;2;2007;-90;2;15000;1;1;64,5147753209692
6;2;1;4;1;1999;2;1;-90;1;1;64,5147753209692
7;1;9;1;2;2010;2;2;20000;1;1;138,097183766201
8;1;1;4;3;2010;2;2;10000;1;1;64,5147753209692
8;2;1;4;2;1990;2;1;2000;2;1;64,5147753209692
9;1;7;3;3;2014;1;2;40000;1;1;188,33275985619
9;2;7;3;2;2005;2;2;4000;1;1;188,33275985619
10;1;2;3;3;2012;1;2;30000;1;1;276,092859377945
10;2;2;3;2;2008;2;2;12000;1;1;276,092859377945
11;1;4;3;2;2011;2;2;12000;1;1;464,9510195533
11;2;4;3;2;2002;-90;2;10000;1;1;464,9510195533
11;3;4;3;2;1998;2;2;7000;1;1;464,9510195533
13;1;3;4;2;2009;2;1;25000;1;1;61,9166745892169
14;1;3;3;2;2008;2;1;20000;1;2;241,815662380098
15;1;9;1;1;1983;2;1;500;2;1;172,580546326237
15;2;9;1;2;2002;2;2;15000;1;1;172,580546326237
16;1;3;3;1;2000;2;2;8000;1;2;65,3291601289581
17;1;9;1;2;1997;2;1;3000;1;1;98,1814621877531
19;1;3;3;1;2012;2;1;10000;1;1;49,1837356515345
19;2;3;3;3;2010;2;2;10000;1;1;49,1837356515345
19;3;3;3;2;-90;1;2;-90;1;1;49,1837356515345
19;4;3;3;1;2011;2;1;-90;1;1;49,1837356515345
20;1;9;1;2;1993;2;2;10000;1;1;134,057712599449
21;1;6;4;1;2013;2;1;5000;1;1;129,211818243685
21;2;6;4;1;2009;2;1;10000;1;1;129,211818243685
22;1;9;1;2;2011;2;1;20000;1;1;159,84546224372
23;1;7;2;2;2009;2;2;7000;1;1;34,0420614664536
24;1;6;4;1;2004;2;1;15000;2;1;142,12259524366
25;1;5;2;2;2012;2;2;25000;1;1;156,527152079296
26;1;9;1;1;2011;2;1;2500;2;1;172,580546326237
27;1;6;4;1;2002;2;2;20000;1;1;123,614304241789
28;1;5;4;1;2012;2;1;20000;1;1;444,846966367279
28;2;5;4;1;2003;2;2;7000;1;1;444,846966367279
29;1;3;3;2;1989;2;2;500;1;1;79,1506599880318
30;1;7;4;2;2009;2;2;6000;1;1;212,468506623037
32;1;7;2;2;2013;2;1;3000;1;1;34,0420614664536
32;2;7;2;3;2007;2;2;3000;1;1;34,0420614664536
33;1;3;4;2;2004;2;2;10000;1;1;61,9134131922476
34;1;9;1;2;2004;2;2;5000;1;1;98,1814621877531
35;1;2;3;2;2006;2;2;30000;1;1;676,283222433348
35;2;2;3;1;2000;2;2;5000;2;1;676,283222433348
36;1;6;4;2;2009;2;2;17000;1;1;66,605269880371
36;2;6;4;2;2012;2;2;10000;1;1;66,605269880371
36;3;6;4;1;1998;2;1;5000;2;1;66,605269880371
38;1;6;3;2;2004;2;2;15000;1;1;195,921130261963
38;2;6;3;1;2005;1;1;7000;1;1;195,921130261963
39;1;3;3;2;2012;1;2;15000;1;1;27,1033528252345
39;2;3;3;2;2004;2;2;7000;1;1;27,1033528252345
40;1;7;4;2;2005;2;2;10000;1;1;216,520962891625
41;1;7;4;2;2007;2;2;11000;1;1;478,443544835364
42;1;9;1;2;2004;2;2;12000;1;1;135,326010281901
43;1;9;1;2;2005;2;2;5600;1;2;256,896222110117
44;1;9;1;1;2007;2;2;10000;1;2;832,775585377258
45;1;3;3;1;2004;2;2;11000;1;1;695,069556696888
47;1;3;3;2;1993;2;1;12000;1;1;114,416849430465
48;1;3;3;1;2002;2;2;8000;1;1;28,3178269278269
48;2;3;3;2;2007;2;1;10000;1;1;28,3178269278269
49;1;6;3;2;2007;2;2;25000;1;1;44,2093333816448
50;1;6;3;2;2014;1;2;10000;1;1;44,2093333816448
50;2;6;3;3;2004;2;2;17000;1;1;44,2093333816448
50;3;6;3;1;2006;2;1;7500;1;1;44,2093333816448
50;4;6;3;1;2006;2;1;7000;1;1;44,2093333816448
51;1;1;3;1;1999;2;1;1500;1;1;60,2223689151293
52;1;3;3;2;2011;2;1;11000;1;1;91,6409515131283
52;2;3;3;2;2003;2;1;1000;2;1;91,6409515131283
53;1;8;4;1;2005;2;2;10000;1;1;19,0703883783283
53;2;8;4;1;2010;2;2;10000;1;1;19,0703883783283
54;1;4;4;2;2009;2;2;6000;1;1;562,038457473585
54;2;4;4;1;2014;2;1;15000;1;1;562,038457473585
56;1;3;4;2;2006;2;2;15000;1;1;43,4086309791196
