hh_nr;hh_wohnbdl;hh_wohnraumtyp;hh_wohnbezirk;hh_wohngemeinde;hh_gr;hh_gru6;hh_gr617;hh_grue18;hgr_kat;hh_oev_entf;hh_oev_entf_kat;hh_oev_bus;hh_oev_strb;hh_oev_ubahn;hh_oev_bahn;hh_carsharing;hh_wirtschsituation;fzg_radges;fzg_e_rad;fzg_mot;fzg_pkw;hh_hochrechnungsfaktor
1;6;4;623;62357;2;0;0;2;2;25;3;1;2;2;1;2;3;2;0;0;1;134,262623465192
2;6;4;610;61013;4;0;1;3;4;3;1;1;2;2;1;2;4;3;-90;3;3;163,594348304378
3;3;4;321;32131;4;0;2;2;4;20;3;1;2;2;2;2;4;4;0;1;2;17,92916671799
4;3;4;316;31628;3;0;0;3;3;7;2;2;2;2;1;2;4;1;-90;-90;2;83,5985618017868
5;3;3;324;32408;4;0;0;4;4;7;2;1;2;2;1;2;3;4;0;0;2;357,970175798713
6;1;4;109;10915;2;0;0;2;2;35;4;1;2;2;2;2;4;2;1;-90;2;64,5147753209692
7;9;1;913;91301;3;0;1;2;3;3;1;2;1;2;2;2;4;3;0;0;1;138,097183766201
8;1;4;104;10402;2;0;0;2;2;6;2;1;2;2;2;2;4;1;0;0;2;64,5147753209692
9;7;3;703;70337;4;0;2;2;4;1;1;1;2;2;2;2;4;4;-90;1;2;188,33275985619
10;2;3;202;20201;3;1;0;2;3;5;1;1;2;2;2;2;4;2;0;0;2;276,092859377945
11;4;3;418;41806;4;0;0;4;4;15;2;1;2;2;2;2;4;3;0;1;3;464,9510195533
12;9;1;910;91001;2;0;0;2;2;5;1;1;2;2;2;2;3;2;0;0;0;189,561934336329
13;3;4;321;32131;1;0;0;1;1;10;2;1;2;2;2;2;3;1;0;0;1;61,9166745892169
14;3;3;304;30401;3;0;0;3;3;5;1;1;2;2;2;2;3;3;0;0;1;241,815662380098
15;9;1;922;92201;1;0;0;1;1;12;2;1;2;2;2;2;4;3;1;1;2;172,580546326237
16;3;3;306;30604;3;0;0;3;3;5;1;1;1;2;2;2;3;1;0;0;1;65,3291601289581
17;9;1;923;92301;2;0;0;2;2;15;2;2;1;2;2;2;3;0;0;0;1;98,1814621877531
18;9;1;922;92201;1;0;0;1;1;5;1;1;2;2;2;2;4;-90;-90;-90;-90;283,40689384544
19;3;3;324;32408;4;0;0;4;4;15;2;1;2;2;1;2;4;3;0;0;4;49,1837356515345
20;9;1;923;92301;4;1;1;2;4;2;1;1;2;2;1;2;3;1;0;0;1;134,057712599449
21;6;4;623;62329;4;0;0;4;4;10;2;2;2;2;1;2;3;2;-90;-90;2;129,211818243685
22;9;1;919;91901;2;0;1;1;2;3;1;1;2;2;2;2;4;2;0;0;1;159,84546224372
23;7;2;701;70101;2;0;0;2;2;1;1;1;2;2;2;2;3;2;0;1;1;34,0420614664536
24;6;4;603;60302;1;0;0;1;1;25;3;2;2;2;1;2;2;-90;-90;-90;1;142,12259524366
25;5;2;501;50101;2;0;0;2;2;15;2;1;2;2;1;2;4;2;-90;-90;1;156,527152079296
26;9;1;923;92301;1;0;0;1;1;10;2;1;2;1;2;2;3;0;0;0;1;172,580546326237
27;6;4;621;62106;2;0;0;2;2;8;2;1;2;2;2;2;5;0;0;0;1;123,614304241789
28;5;4;505;50510;3;0;0;3;3;5;1;1;2;2;2;2;3;3;2;0;2;444,846966367279
29;3;3;324;32406;2;0;0;2;2;3;1;1;2;2;2;2;4;2;-90;-90;1;79,1506599880318
30;7;4;709;70926;2;0;0;2;2;15;2;1;2;2;1;2;3;3;1;-90;1;212,468506623037
31;4;2;401;40101;1;0;0;1;1;3;1;1;2;2;2;2;3;0;0;0;0;830,616012815493
32;7;2;701;70101;2;0;0;2;2;3;1;1;2;2;2;2;5;2;1;-90;2;34,0420614664536
33;3;4;321;32120;3;0;0;3;3;5;1;1;2;2;2;2;4;2;0;0;1;61,9134131922476
34;9;1;922;92201;2;0;0;2;2;5;1;1;2;2;2;2;3;2;-90;-90;1;98,1814621877531
35;2;3;207;20726;3;1;0;2;3;10;2;1;2;2;2;2;4;2;-90;1;2;676,283222433348
36;6;4;616;61602;6;2;0;4;4;10;2;1;2;2;2;2;5;4;0;0;3;66,605269880371
37;7;2;701;70101;1;0;0;1;1;3;1;1;2;2;2;2;3;1;0;0;0;122,704884239198
38;6;3;606;60658;3;0;0;3;3;5;1;1;2;2;2;2;3;1;-90;-90;2;195,921130261963
39;3;3;317;31717;2;0;0;2;2;5;1;1;2;2;2;2;4;1;0;0;2;27,1033528252345
40;7;4;704;70406;4;2;0;2;4;2;1;1;2;2;1;2;3;2;0;0;1;216,520962891625
41;7;4;702;70204;1;0;0;1;1;20;3;1;2;2;2;2;4;1;0;0;1;478,443544835364
42;9;1;913;91301;2;0;0;2;2;4;1;1;2;2;2;2;4;-90;-90;-90;1;135,326010281901
43;9;1;903;90301;3;0;1;2;3;7;2;1;2;1;2;2;5;3;0;1;1;256,896222110117
44;9;1;905;90501;1;0;0;1;1;4;1;2;1;2;2;1;5;2;0;0;1;832,775585377258
45;3;3;317;31713;1;0;0;1;1;2;1;1;2;2;2;2;3;1;0;0;1;695,069556696888
46;9;1;902;90201;2;0;0;2;2;1;1;2;1;2;2;2;3;0;0;0;0;53,5028956329454
47;3;3;324;32408;3;1;0;2;3;2;1;1;2;2;2;2;5;2;0;0;1;114,416849430465
48;3;3;324;32404;2;0;0;2;2;2;1;1;2;2;2;2;3;4;2;-90;2;28,3178269278269
49;6;3;606;60644;4;0;0;4;4;3;1;1;2;2;2;2;3;4;0;0;1;44,2093333816448
50;6;3;606;60644;4;0;0;4;4;5;1;1;2;2;2;2;4;5;-90;4;4;44,2093333816448
51;1;3;107;10714;2;0;0;2;2;8;2;1;2;2;2;2;3;2;0;0;1;60,2223689151293
52;3;3;312;31234;2;0;0;2;2;5;1;1;2;2;2;2;5;0;0;0;2;91,6409515131283
53;8;4;801;80115;5;0;3;2;4;3;1;1;2;2;2;2;3;5;0;2;2;19,0703883783283
54;4;4;415;41506;3;0;0;3;3;8;2;1;2;2;2;2;4;3;0;0;2;562,038457473585
55;9;1;914;91401;1;0;0;1;1;3;1;1;2;2;2;2;4;0;0;0;0;205,61681508138
56;3;4;308;30821;3;0;0;3;3;2;1;1;2;2;2;2;3;5;0;0;3;43,4086309791196
57;6;4;611;61111;2;0;0;2;2;2;1;1;2;2;2;2;4;2;0;0;2;81,4461386138587
58;9;1;905;90501;2;0;0;2;2;3;1;1;2;2;2;2;3;2;-90;-90;1;110,491677671043
59;1;3;103;10316;1;0;0;1;1;30;3;1;2;2;2;2;4;1;0;0;1;111,611664444361
60;7;2;701;70101;2;0;0;2;2;2;1;1;2;2;2;2;3;6;0;0;1;34,0420614664536
