hh_nr;pers_nr;hh_wohnbdl;hh_wohnraumtyp;pers_alter;pers_alter_kat;pers_geschlecht;pers_bildung;pers_beruf;pers_arbeitsstd;pers_arbeitflex;pers_arbeittele;pers_arbeit_parkpl;pers_fs_krad;pers_fs_pkw;pers_fahrrad;pers_krad;pers_pkw;pers_oev_zeitkarte;pers_oev_ermaessigung;pers_navi_pkw;pers_navi_oev;pers_navi_andere;pers_betr_kind;pers_betr_verwandte;pers_betr_andere;pers_hochrechnungsfaktor
1;1;6;4;63;7;1;3;3;-93;-93;-93;-93;2;1;1;-90;1;2;2;2;2;2;2;2;2;82,4431775470048
1;2;6;4;60;7;2;3;3;-93;-93;-93;-93;2;1;1;-90;1;2;2;1;2;2;2;2;2;80,4854531911956
2;1;6;4;50;6;2;4;2;30;2;2;2;2;1;1;-90;-90;1;1;2;1;1;2;1;2;98,6769297007515
2;2;6;4;42;5;1;3;2;40;1;2;1;1;1;1;-90;1;2;2;2;2;1;2;1;2;136,586755391748
2;3;6;4;29;4;1;3;2;40;2;2;1;1;1;1;1;1;2;2;2;2;1;2;1;2;231,531647389064
3;1;3;4;46;6;2;3;1;30;1;2;2;1;1;1;-90;1;1;1;1;1;2;2;2;2;1,24706926745457
3;2;3;4;42;5;1;3;1;21;2;-90;1;1;1;1;1;1;2;2;1;2;2;2;2;2;,724242233382687
3;3;3;4;15;2;1;2;1;-93;-93;-93;-93;2;-93;1;-90;-93;1;2;-93;1;2;2;2;2;12,6302381438834
3;4;3;4;13;1;2;1;1;-93;-93;-93;-93;-93;-93;1;-93;-93;1;2;-93;2;2;2;2;2;22,6288185572439
4;1;3;4;62;7;1;4;2;40;1;2;2;2;1;2;2;1;1;1;2;2;2;2;2;2;18,2496253316434
4;2;3;4;55;7;2;4;2;40;1;2;2;2;1;2;2;1;1;1;2;2;2;2;2;2;17,973806003719
4;3;3;4;24;3;2;5;2;40;2;2;2;2;1;1;2;1;1;1;2;2;2;2;2;2;76,9644673411453
5;1;3;3;25;4;1;4;2;40;2;2;1;2;1;1;-90;2;1;1;1;1;1;1;2;2;425,865398922958
5;2;3;3;66;8;1;2;3;-93;-93;-93;-93;2;1;1;-90;1;2;1;1;2;2;2;2;2;1150,00722076942
5;3;3;3;62;7;2;4;3;-93;-93;-93;-93;2;1;2;-90;1;2;1;1;2;2;2;2;2;62,0607644362826
5;4;3;3;24;3;1;3;2;38,5;2;2;1;2;1;1;-90;1;2;1;1;2;2;2;2;2;1936,61361743046
6;1;1;4;59;7;1;3;3;-93;-93;-93;-93;1;1;1;2;1;2;2;1;1;1;2;1;2;14,4464333716788
6;2;1;4;53;6;2;3;4;-93;-93;-93;-93;1;1;1;2;1;2;2;2;2;2;2;1;2;34,5936811422765
7;1;9;1;51;6;1;5;2;45;1;1;2;2;1;1;-90;1;1;1;1;1;1;1;2;2;47,3616645275935
7;2;9;1;51;6;2;4;2;16;1;2;2;2;1;1;-90;1;1;1;1;1;1;1;2;2;59,0127841987546
7;3;9;1;11;1;2;1;1;-93;-93;-93;-93;-93;-93;1;-93;-93;1;1;-93;2;1;2;2;2;286,80663402461
8;1;1;4;64;7;1;5;3;-93;-93;-93;-93;2;1;-90;-90;1;2;2;1;2;2;2;2;2;7,24526208360837
8;2;1;4;63;7;2;3;3;-93;-93;-93;-93;2;1;-90;-90;1;2;2;1;2;2;2;2;2;17,1035038362636
9;1;7;3;41;5;1;3;2;50;1;1;1;1;1;1;1;1;2;2;1;2;2;2;2;2;637,671900403131
9;2;7;3;40;5;2;3;4;-93;-93;-93;-93;1;1;1;1;1;-90;-90;1;2;2;-90;-90;-90;876,394605821436
9;3;7;3;9;1;2;1;1;-93;-93;-93;-93;-93;-93;-90;-93;-93;-90;-90;-93;-90;-90;-90;-90;-90;291,966665826092
9;4;7;3;6;1;2;1;1;-93;-93;-93;-93;-93;-93;-90;-93;-93;-90;-90;-93;-90;-90;-90;-90;-90;291,966665826092
10;1;2;3;39;5;1;5;2;55;1;1;1;1;1;1;2;1;2;2;1;2;1;1;2;2;204,213651678459
10;2;2;3;30;4;2;5;2;20;1;1;1;2;1;1;-90;1;2;2;1;2;2;1;2;2;243,563412196983
11;1;4;3;53;6;1;3;2;40;1;1;1;1;1;1;2;1;2;1;1;2;2;1;2;2;616,605683760445
11;2;4;3;49;6;2;5;2;40;2;1;1;2;1;1;-90;1;2;1;1;2;2;1;2;2;70,7102184516039
11;3;4;3;20;3;1;4;1;-93;-93;-93;-93;1;1;1;2;2;2;1;1;2;2;2;2;2;27,8630323919314
11;4;4;3;18;2;2;3;1;-93;-93;-93;-93;1;2;1;1;3;2;1;2;2;1;2;2;2;79,0877372661762
12;1;9;1;75;8;2;3;3;-93;-93;-93;-93;2;2;1;-90;3;1;2;2;2;2;2;1;2;93,1058642708259
12;2;9;1;75;8;1;3;3;-93;-93;-93;-93;2;2;1;-90;3;1;2;2;2;2;2;2;1;197,72472676456
13;1;3;4;27;4;2;4;2;25;1;2;2;2;1;1;-90;1;1;2;1;1;1;1;2;2;47,9013821779782
14;1;3;3;51;6;1;4;2;40;2;2;2;2;1;1;-90;2;2;1;1;1;1;2;2;2;181,85568361443
14;2;3;3;50;6;2;3;2;20;2;2;2;2;1;1;-90;2;2;1;2;2;2;2;1;2;66,3922915813782
14;3;3;3;27;4;1;4;1;25;2;2;2;1;1;1;2;2;1;2;2;1;1;2;2;2;36,9855909838484
15;1;9;1;43;5;1;5;2;45;1;1;1;1;1;1;1;1;2;2;1;2;2;2;2;2;91,2872864314458
16;1;3;3;37;5;1;3;4;-93;-93;-93;-93;2;1;1;-90;2;2;2;1;2;1;2;2;2;41,9281912993406
16;2;3;3;65;8;1;3;3;8;1;2;1;2;1;1;-90;1;2;2;2;2;2;2;2;2;2,80982729942815
16;3;3;3;61;7;2;3;3;8;1;1;2;2;2;2;-90;3;2;2;2;2;2;2;2;2;11,1677601752415
