,Autobahn,Standort,Richtung,Art,Fluss,Energiebedarf,pXi_dir,pE_charged_0,pE_input_0,pE_output_0,Fluss_0,Energiebedarf_0,pE_charged_1,pE_input_1,pE_output_1,Fluss_1,Energiebedarf_1,total_number_charging_poles
'Kirchstetten','A01',44.88,0.0,1.0,34900.0,85016.4,1.0,255.04920000000004,0.0,0.0,34900.0,85016.4,0.0,0.0,0.0,0.0,0.0,1.0
'Roggendorf','A01',76.82,0.0,1.0,32256.6,89802.2,1.0,105.79479206896548,0.0,163.6118079310345,32256.6,89802.2,0.0,0.0,0.0,0.0,0.0,1.0
'Ornding','A01',88.04,0.0,1.0,30279.0,67946.1,1.0,367.4501079310345,163.6118079310345,0.0,30279.0,67946.1,0.0,0.0,0.0,0.0,0.0,1.0
'Kemmelbach','A01',101.38,0.0,0.0,29778.2,79448.3,1.0,238.34490000000002,0.0,0.0,29778.2,79448.3,0.0,0.0,0.0,0.0,0.0,1.0
'Viehdorf','A01',118.17,0.0,1.0,28743.0,96518.8,1.0,289.5564,0.0,0.0,28743.0,96518.8,0.0,0.0,0.0,0.0,0.0,1.0
'Strengberg','A01',136.01,0.0,0.0,29403.6,104912.2,1.0,151.12479206896552,0.0,163.6118079310345,29403.6,104912.2,0.0,0.0,0.0,0.0,0.0,1.0
'Ennsblick','A01',147.1,0.0,2.0,29708.0,65892.3,1.0,361.28870793103454,163.6118079310345,0.0,29708.0,65892.3,0.0,0.0,0.0,0.0,0.0,1.0
'Enns Nord','A01',156.79,0.0,1.0,33848.3,65598.0,1.0,196.794,0.0,0.0,33848.3,65598.0,0.0,0.0,0.0,0.0,0.0,1.0
'Ansfelden Nord','A01',171.01,0.0,0.0,50956.5,144920.4,1.0,432.1683920689655,0.0,2.5928079310344856,50956.5,144920.4,0.0,0.0,0.0,0.0,0.0,2.0
'Allhaming Nord','A01',182.6,0.0,1.0,23154.9,53673.0,0.0,0.0,2.5928079310344856,163.6118079310345,23154.9,53673.0,0.0,0.0,0.0,0.0,0.0,0.0
'Lindach Nord','A01',212.26,0.0,0.0,24719.7,146637.5,1.0,439.9125,163.6118079310345,163.6118079310345,24719.7,146637.5,0.0,0.0,0.0,0.0,0.0,2.0
'Hainbach Nord','A01',230.72,0.0,1.0,16696.6,61644.0,1.0,329.016,163.6118079310345,19.527807931034488,16696.6,61644.0,0.0,0.0,0.0,0.0,0.0,1.0
'Wildenhag Nord','A01',243.76,0.0,2.0,18415.6,48028.0,-0.0,0.0,19.527807931034488,163.6118079310345,18415.6,48028.0,0.0,0.0,0.0,0.0,0.0,0.0
'Oberwang','A01',251.03,0.0,1.0,17666.7,25687.4,1.0,240.6740079310345,163.6118079310345,0.0,17666.7,25687.4,0.0,0.0,0.0,0.0,0.0,1.0
'Schafbergblick','A01',268.98,0.0,2.0,20637.0,40242.1,1.0,128.55159206896548,86.92049999999998,79.0952079310345,20637.0,40242.1,0.0,0.0,0.0,0.0,0.0,1.0
'Enzersberg','A01',274.82,0.0,2.0,24120.0,28172.2,0.0,0.0,79.0952079310345,163.6118079310345,24120.0,28172.2,0.0,0.0,0.0,0.0,0.0,0.0
'Salzburger Tor','A01',282.75,0.0,2.0,31497.8,49955.5,1.0,302.58670793103454,163.6118079310345,10.891599999999983,31497.8,49955.5,0.0,0.0,0.0,0.0,0.0,1.0
'Kasern','A01',287.89,0.0,0.0,38738.1,39822.8,0.0,0.0,10.891599999999983,130.36,38738.1,39822.8,0.0,0.0,0.0,0.0,0.0,0.0
'Walserberg Nord','A01',300.73,0.0,0.0,35000.0,89880.0,1.0,400.0,130.36,0.0,35000.0,89880.0,0.0,0.0,0.0,0.0,0.0,1.0
'Triestingtal','A02',32.08,0.0,1.0,39374.6,138992.4,1.0,400.0,146.6346079310345,163.6118079310345,39374.6,138992.4,0.0,0.0,0.0,0.0,0.0,1.0
'Bad Fischau','A02',40.93,0.0,0.0,35799.0,63364.3,1.0,353.7047079310345,163.6118079310345,0.0,35799.0,63364.3,0.0,0.0,0.0,0.0,0.0,1.0
'Steinfeld','A02',50.35,0.0,1.0,30928.5,58269.4,1.0,148.46229206896552,0.0,26.345907931034475,30928.5,58269.4,0.0,0.0,0.0,0.0,0.0,1.0
'Witzelsberg','A02',60.84,0.0,2.0,21809.0,45755.3,0.0,0.0,26.345907931034475,163.6118079310345,21809.0,45755.3,0.0,0.0,0.0,0.0,0.0,0.0
'Pinkafeld/West','A02',98.0,0.0,2.0,16285.0,62664.7,1.0,165.9402920689655,0.0,22.053807931034484,16285.0,62664.7,0.0,0.0,0.0,0.0,0.0,1.0
'St. Johann/Nord','A02',113.24,0.0,2.0,15496.1,23988.0,0.0,0.0,91.64780793103449,163.6118079310345,15496.1,23988.0,0.0,0.0,0.0,0.0,0.0,0.0
'Hainersdorf','A02',133.87,0.0,1.0,16894.1,69705.2,1.0,372.72740793103446,163.6118079310345,0.0,16894.1,69705.2,0.0,0.0,0.0,0.0,0.0,1.0
'Laßnitzhöhe Nord','A02',170.16,0.0,1.0,27978.1,89865.7,1.0,269.5971,0.0,0.0,27978.1,89865.7,0.0,0.0,0.0,0.0,0.0,1.0
'Herzogberg Nord','A02',220.13,0.0,1.0,9056.8,53181.7,0.0,0.0,0.0,159.5451,9056.8,53181.7,0.0,0.0,0.0,0.0,0.0,0.0
'Twimberg Nord','A02',242.44,0.0,2.0,9725.2,14062.6,0.0,0.0,121.42400793103448,163.6118079310345,9725.2,14062.6,0.0,0.0,0.0,0.0,0.0,0.0
'St. Ändra','A02',262.91,0.0,2.0,11102.2,45452.5,1.0,299.9693079310345,163.6118079310345,0.0,11102.2,45452.5,0.0,0.0,0.0,0.0,0.0,1.0
'Gönitz/Nord','A02',268.89,0.0,2.0,11769.0,14075.7,0.0,0.0,0.0,42.22709999999995,11769.0,14075.7,0.0,0.0,0.0,0.0,0.0,0.0
'Haimburg Nord','A02',279.17,0.0,2.0,11177.6,22981.1,0.0,0.0,42.22709999999995,111.17039999999994,11177.6,22981.1,0.0,0.0,0.0,0.0,0.0,0.0
'Grafenstein Nord','A02',300.0,0.0,1.0,12796.6,38159.5,1.0,101.73999206896545,150.87329999999994,163.6118079310345,12796.6,38159.5,0.0,0.0,0.0,0.0,0.0,1.0
'Krumpendorf/Nord','A02',329.28,0.0,2.0,19323.8,113160.2,1.0,339.4806,163.6118079310345,163.6118079310345,19323.8,113160.2,0.0,0.0,0.0,0.0,0.0,1.0
'Sternberg/Nord','A02',349.03,0.0,2.0,18402.9,32757.2,0.0,0.0,65.34020793103448,163.6118079310345,18402.9,32757.2,0.0,0.0,0.0,0.0,0.0,0.0
'Federaun/Nord','A02',361.73,0.0,2.0,16828.0,42743.2,1.0,190.08569999999997,163.6118079310345,101.75570793103451,16828.0,42743.2,0.0,0.0,0.0,0.0,0.0,1.0
'Simmering','A04',2.45,0.0,0.0,43525.9,21327.7,-0.0,0.0,0.0,63.9831,43525.9,21327.7,0.0,0.0,0.0,0.0,0.0,0.0
'Fischamend','A04',22.33,0.0,1.0,30845.4,122641.2,1.0,400.0,63.9831,31.9067,30845.4,122641.2,0.0,0.0,0.0,0.0,0.0,1.0
'Neusiedl','A04',47.01,0.0,2.0,22936.9,87022.7,1.0,235.03919206896546,137.5829,163.61180793103455,22936.9,87022.7,0.0,0.0,0.0,0.0,0.0,1.0
'Nickelsdorf Süd','A04',64.65,0.0,0.0,12000.0,42336.0,1.0,290.61980793103453,163.61180793103455,0.0,12000.0,42336.0,0.0,0.0,0.0,0.0,0.0,1.0
'Denk','A07',25.76,0.0,1.0,19957.2,102819.3,1.0,308.4579,0.0,0.0,19957.2,102819.3,0.0,0.0,0.0,0.0,0.0,1.0
'Oberham/Nord','A08',18.32,0.0,2.0,26226.5,95202.1,1.0,286.76970000000006,1.1634,0.0,26226.5,95202.1,0.0,0.0,0.0,0.0,0.0,1.0
'Kematen/Nord','A08',24.85,0.0,2.0,21055.7,27498.7,0.0,0.0,0.0,82.4961,21055.7,27498.7,0.0,0.0,0.0,0.0,0.0,0.0
'Gotthaming','A08',43.74,0.0,2.0,17566.8,34887.7,0.0,0.0,0.0,104.66309999999996,17566.8,34887.7,0.0,0.0,0.0,0.0,0.0,0.0
'Murau Ost','A08',56.88,0.0,1.0,17830.8,46859.4,1.0,245.24129999999997,104.66309999999996,0.0,17830.8,46859.4,0.0,0.0,0.0,0.0,0.0,1.0
'Dietrichshofen/Ost','A08',72.06,0.0,2.0,15138.3,45959.9,1.0,137.8797,0.0,0.0,15138.3,45959.9,0.0,0.0,0.0,0.0,0.0,1.0
'Maisdorf/West','A09',12.73,0.0,2.0,10766.5,27411.5,0.0,0.0,0.0,82.2345,10766.5,27411.5,0.0,0.0,0.0,0.0,0.0,0.0
'Pyhrn-Priel West','A09',55.04,0.0,1.0,7968.6,29770.7,0.0,0.0,0.0,89.3121,7968.6,29770.7,0.0,0.0,0.0,0.0,0.0,0.0
'Ardning West','A09',66.04,0.0,2.0,7526.8,16559.0,-0.0,0.0,89.3121,138.9891,7526.8,16559.0,0.0,0.0,0.0,0.0,0.0,0.0
'Rottenmann/Süd','A09',78.18,0.0,2.0,11271.6,27367.4,1.0,160.65069206896553,138.9891,60.44060793103449,11271.6,27367.4,0.0,0.0,0.0,0.0,0.0,1.0
'Treglwang','A09',94.03,0.0,2.0,10848.7,18073.9,0.0,0.0,109.39010793103449,163.6118079310345,10848.7,18073.9,0.0,0.0,0.0,0.0,0.0,0.0
'Kalwang','A09',106.26,0.0,1.0,10938.5,26755.6,1.0,181.9158,163.6118079310345,61.96280793103449,10938.5,26755.6,0.0,0.0,0.0,0.0,0.0,1.0
'St. Michael','A09',135.01,0.0,2.0,13232.9,36390.6,1.0,245.259,163.6118079310345,27.52460793103452,13232.9,36390.6,0.0,0.0,0.0,0.0,0.0,1.0
'Hinterlainsach/Ost','A09',139.16,0.0,2.0,11151.5,9255.7,-0.0,0.0,27.52460793103452,55.29170793103452,11151.5,9255.7,0.0,0.0,0.0,0.0,0.0,0.0
'Kleintal','A09',150.57,0.0,2.0,11971.7,27319.4,0.0,0.0,55.29170793103452,137.24990793103453,11971.7,27319.4,0.0,0.0,0.0,0.0,0.0,0.0
'Übelbach 2','A09',154.24,0.0,2.0,11971.7,8787.3,0.0,0.0,137.24990793103453,163.6118079310345,11971.7,8787.3,0.0,0.0,0.0,0.0,0.0,0.0
'Eggenfeld','A09',169.13,0.0,2.0,22115.1,31757.3,-0.0,0.0,49.56000793103472,144.83190793103472,22115.1,31757.3,0.0,0.0,0.0,0.0,0.0,0.0
'Premstätten','A09',192.48,0.0,1.0,29891.5,139593.3,1.0,400.0000000000002,144.83190793103472,163.6118079310345,29891.5,139593.3,0.0,0.0,0.0,0.0,0.0,1.0
'Gralla West','A09',211.06,0.0,0.0,20457.8,76021.3,1.0,391.6757079310345,163.6118079310345,0.0,20457.8,76021.3,0.0,0.0,0.0,0.0,0.0,1.0
'Straß West','A09',225.02,0.0,2.0,11166.0,31175.4,1.0,93.5262,0.0,0.0,11166.0,31175.4,0.0,0.0,0.0,0.0,0.0,1.0
'Glanegg/West','A10',4.28,0.0,2.0,79078.4,67691.1,1.0,203.07330000000002,0.0,0.0,79078.4,67691.1,0.0,0.0,0.0,0.0,0.0,1.0
'Golling West','A10',28.82,0.0,0.0,47112.4,231227.9,1.0,693.6837,0.0,0.0,47112.4,231227.9,0.0,0.0,0.0,0.0,0.0,2.0
'Hohenwerfen','A10',40.34,0.0,2.0,35799.0,82481.0,1.0,247.443,0.0,0.0,35799.0,82481.0,0.0,0.0,0.0,0.0,0.0,1.0
'Buchberg','A10',46.5,0.0,2.0,35799.0,44104.4,-0.0,0.0,0.0,132.3132,35799.0,44104.4,0.0,0.0,0.0,0.0,0.0,0.0
'Rohr','A10',71.25,0.0,2.0,21809.0,52036.3,1.0,158.1501,2.0412,0.0,21809.0,52036.3,0.0,0.0,0.0,0.0,0.0,1.0
'Lungau','A10',97.91,0.0,0.0,16285.0,59016.9,1.0,111.70419206896545,98.26529999999994,163.6118079310345,16285.0,59016.9,0.0,0.0,0.0,0.0,0.0,1.0
