Autobahn,Name,Standort,Richtung,Art,Fluss,Fluss_0,Energiebedarf,Energiebedarf_0,pXi_dir,pYi_dir,pYi_dir_0,pE_charged,pE_charged_0,pE_input,pE_input_0,pE_output,pE_output_0,Fluss_1,Energiebedarf_1,pYi_dir_1,pE_charged_1,pE_input_1,pE_output_1
'A01','Strengberg',136.01,0.0,0.0,29403.6,29403.6,104912.2,104912.2,1.0,1.0,1.0,151.12479206896552,151.12479206896552,0.0,0.0,163.6118079310345,163.6118079310345,0.0,0.0,0.0,0.0,0.0,0.0
'A01','Kasern',287.89,0.0,0.0,38738.1,38738.1,39822.8,39822.8,0.0,0.0,0.0,0.0,0.0,10.891599999999983,10.891599999999983,130.36,130.36,0.0,0.0,0.0,0.0,0.0,0.0
'A01','Enns Nord',156.79,0.0,1.0,33848.3,33848.3,65598.0,65598.0,1.0,1.0,1.0,196.794,196.794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'A01','Ornding',88.04,0.0,1.0,30279.0,30279.0,67946.1,67946.1,1.0,1.0,1.0,367.4501079310345,367.4501079310345,163.6118079310345,163.6118079310345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'A01','Oberwang',251.03,0.0,1.0,17666.7,17666.7,25687.4,25687.4,1.0,1.0,1.0,240.6740079310345,240.6740079310345,163.6118079310345,163.6118079310345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'A01','Oed',130.52,1.0,2.0,28409.8,0.0,63410.8,0.0,1.0,1.0,0.0,353.8442079310345,0.0,163.6118079310345,0.0,0.0,0.0,28409.8,63410.8,1.0,353.8442079310345,163.6118079310345,0.0
'A01','Lindach Nord',212.26,0.0,0.0,24719.7,24719.7,146637.5,146637.5,1.0,2.0,2.0,439.9125,439.9125,163.6118079310345,163.6118079310345,163.6118079310345,163.6118079310345,0.0,0.0,0.0,0.0,0.0,0.0
'A01','Walserberg Nord',300.73,0.0,0.0,35000.0,35000.0,89880.0,89880.0,1.0,1.0,1.0,400.0,400.0,130.36,130.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'A01','Allhaming Süd',182.59,1.0,1.0,23679.1,0.0,55219.7,0.0,1.0,1.0,0.0,329.27090793103446,0.0,163.6118079310345,0.0,0.0,0.0,23679.1,55219.7,1.0,329.27090793103446,163.6118079310345,0.0
'A01','Schallaburg',76.81,1.0,1.0,30759.4,0.0,85572.7,0.0,1.0,1.0,0.0,256.7181,0.0,0.0,0.0,0.0,0.0,30759.4,85572.7,1.0,256.7181,0.0,0.0
'A01','Amstetten',119.36,1.0,1.0,27461.8,0.0,104574.6,0.0,1.0,1.0,0.0,153.87659206896558,0.0,3.76460000000003,0.0,163.6118079310345,0.0,27461.8,104574.6,1.0,153.87659206896558,3.76460000000003,163.6118079310345
'A01','Straß',243.67,1.0,1.0,18482.3,0.0,47943.0,0.0,1.0,0.0,0.0,0.0,0.0,19.782807931034483,0.0,163.6118079310345,0.0,18482.3,47943.0,0.0,0.0,19.782807931034483,163.6118079310345
'A01','Steinhäusl',32.7,2.0,0.0,69001.9,35485.5,451272.4,232075.4,1.0,4.0,2.0,1353.8172,696.2262,0.0,0.0,0.0,0.0,33516.4,219197.0,2.0,657.591,0.0,0.0
'A01','Kesselhof',44.88,1.0,1.0,33069.5,0.0,80557.2,0.0,1.0,1.0,0.0,241.6716,0.0,0.0,0.0,0.0,0.0,33069.5,80557.2,1.0,241.6716,0.0,0.0
