Autobahn,Name,Standort,Richtung,Art,Fluss,Fluss_0,Energiebedarf,Energiebedarf_0,pXi_dir,pYi_dir,pYi_dir_0,pE_charged,pE_charged_0,pE_input,pE_input_0,pE_output,pE_output_0,Fluss_1,Energiebedarf_1,pYi_dir_1,pE_charged_1,pE_input_1,pE_output_1
'A01','Steinhäusl',32.7,2.0,0.0,69001.9,35485.5,451272.4,232075.4,1.0,4.0,2.0,1353.8172,696.2262,0.0,0.0,0.0,0.0,33516.4,219197.0,2.0,657.591,0.0,0.0
'A01','Kesselhof',44.88,1.0,1.0,33069.5,0.0,80557.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,241.6716,0.0,33069.5,80557.2,-0.0,0.0,0.0,241.6716
'A01','Kirchstetten',44.88,0.0,1.0,34900.0,34900.0,85016.4,85016.4,1.0,1.0,1.0,255.04920000000004,255.04920000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'A01','St. Pölten',62.9,2.0,0.0,63702.2,32433.6,229582.6,116890.6,1.0,2.0,1.0,741.4414292682927,350.6718,241.6716,0.0,188.97797073170736,0.0,31268.6,112692.0,1.0,390.76962926829265,241.6716,188.97797073170736
'A01','Schallaburg',76.81,1.0,1.0,30759.4,0.0,85572.7,0.0,1.0,1.0,0.0,400.0,0.0,188.97797073170736,0.0,45.69607073170735,0.0,30759.4,85572.7,1.0,400.0,188.97797073170736,45.69607073170735
'A01','Roggendorf',76.82,0.0,1.0,32256.6,32256.6,89802.2,89802.2,1.0,1.0,1.0,269.40659999999997,269.40659999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'A01','Ornding',88.04,0.0,1.0,30279.0,30279.0,67946.1,67946.1,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,203.83829999999995,203.83829999999995,0.0,0.0,0.0,0.0,0.0,0.0
'A01','Ybbs',100.32,1.0,0.0,28623.6,0.0,134588.2,0.0,1.0,1.0,0.0,400.0,0.0,45.69607073170735,0.0,49.46067073170738,0.0,28623.6,134588.2,1.0,400.0,45.69607073170735,49.46067073170738
'A01','Kemmelbach',101.38,0.0,0.0,29778.2,29778.2,79448.3,79448.3,1.0,1.0,1.0,246.47619999999998,246.47619999999998,203.83829999999995,203.83829999999995,195.707,195.707,0.0,0.0,0.0,0.0,0.0,0.0
'A01','Viehdorf',118.17,0.0,1.0,28743.0,28743.0,96518.8,96518.8,1.0,1.0,1.0,400.0,400.0,195.707,195.707,85.26339999999999,85.26339999999999,0.0,0.0,0.0,0.0,0.0,0.0
'A01','Amstetten',119.36,1.0,1.0,27461.8,0.0,104574.6,0.0,1.0,1.0,0.0,302.5148999999999,0.0,49.46067073170738,0.0,60.66957073170752,0.0,27461.8,104574.6,1.0,302.5148999999999,49.46067073170738,60.66957073170752
'A01','Oed',130.52,1.0,2.0,28409.8,0.0,63410.8,0.0,1.0,0.0,0.0,0.0,0.0,60.66957073170752,0.0,250.9019707317076,0.0,28409.8,63410.8,0.0,0.0,60.66957073170752,250.9019707317076
'A01','Strengberg',136.01,0.0,0.0,29403.6,29403.6,104912.2,104912.2,1.0,1.0,1.0,400.0,400.0,85.26339999999999,85.26339999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'A01','Haag',143.54,1.0,0.0,28068.7,0.0,73090.8,0.0,1.0,1.0,0.0,308.9854707317076,0.0,250.9019707317076,0.0,161.1889,0.0,28068.7,73090.8,1.0,308.9854707317076,250.9019707317076,161.1889
'A01','Ennsblick',147.1,0.0,2.0,29708.0,29708.0,65892.3,65892.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.67690000000002,197.67690000000002,0.0,0.0,0.0,0.0,0.0,0.0
'A01','Enns Süd',156.19,1.0,1.0,31463.9,0.0,79603.7,0.0,1.0,1.0,0.0,400.0,0.0,161.1889,0.0,0.0,0.0,31463.9,79603.7,1.0,400.0,161.1889,0.0
'A01','Enns Nord',156.79,0.0,1.0,33848.3,33848.3,65598.0,65598.0,1.0,1.0,1.0,394.47090000000003,394.47090000000003,197.67690000000002,197.67690000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'A01','Ansfelden Süd',170.93,1.0,0.0,48152.0,0.0,141952.1,0.0,1.0,1.0,0.0,385.3649292682927,0.0,0.0,0.0,40.49137073170732,0.0,48152.0,141952.1,1.0,385.3649292682927,0.0,40.49137073170732
'A01','Ansfelden Nord',171.01,0.0,0.0,50956.5,50956.5,144920.4,144920.4,1.0,1.0,1.0,400.0,400.0,0.0,0.0,34.761199999999974,34.761199999999974,0.0,0.0,0.0,0.0,0.0,0.0
'A01','Allhaming Süd',182.59,1.0,1.0,23679.1,0.0,55219.7,0.0,1.0,0.0,0.0,0.0,0.0,40.49137073170732,0.0,206.15047073170732,0.0,23679.1,55219.7,-0.0,0.0,40.49137073170732,206.15047073170732
'A01','Allhaming Nord',182.6,0.0,1.0,23154.9,23154.9,53673.0,53673.0,0.0,0.0,-0.0,0.0,0.0,34.761199999999974,34.761199999999974,195.78019999999998,195.78019999999998,0.0,0.0,0.0,0.0,0.0,0.0
'A01','Lindach Nord',212.26,0.0,0.0,24719.7,24719.7,146637.5,146637.5,1.0,1.0,1.0,400.00000000000074,400.00000000000074,195.78019999999998,195.78019999999998,235.69269999999926,235.69269999999926,0.0,0.0,0.0,0.0,0.0,0.0
