Time of calculation: 20210907-165223; value of objective: 117.75200789802466;  acc=20;  ec=0.25;  e_tax=0.15;  cfix=50000;  cvar=10000;  eta=0.003;  cars=20;  i=0.05;  T=10
highway,name,dist_along_highway,direction,asfinag_type,traffic_flow,traffic_flow_0,traffic_flow_1,energy_demand,energy_demand_0,energy_demand_1,pXi_dir,pYi_dir,pYi_dir_0,pYi_dir_1,pE_charged,pE_charged_0,pE_charged_1,pE_input,pE_input_0,pE_input_1,pE_output,pE_output_0,pE_output_1
A1,'Parkplatz Großraum’,18630.868491944,2.0,2.0,25490.00000000002,12193.00000000001,13297.00000000001,59974.325349551305,45433.23590445468,14541.089445096624,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.92297604865394,136.29970771336406,43.62326833528987
A1,'Steinhäusl',24098.6768115261,2.0,0.0,63195.99999999913,31485.99999999933,31709.9999999998,111561.50482266734,34431.882550071685,77129.62227259565,1.0,2.0,1.0,1.0,514.607490516656,239.59535536357913,275.0121351530768,179.92297604865394,136.29970771336406,43.62326833528987,0.0,0.0,0.0
A1,'Kesselhof',36260.395870592,1.0,1.0,30234.999996719125,0.0,30234.999996719125,109130.9556998184,0.0,109130.9556998184,1.0,1.0,0.0,1.0,327.3928670994552,0.0,327.3928670994552,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Kirchstetten',36262.0457582593,0.0,1.0,29897.99999542764,29897.99999542764,0.0,72732.0809427628,72732.0809427628,0.0,1.0,1.0,1.0,0.0,218.1962428282884,218.1962428282884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,'St. Pölten',54307.519355239,2.0,0.0,71148.0,35583.0,35565.0,227454.84943410664,128422.41740026572,99032.43203384092,1.0,2.0,1.0,1.0,545.0671887645344,247.96989266301168,297.0972961015228,0.0,0.0,0.0,137.29735953778552,137.29735953778552,0.0
A1,'Roggendorf',68150.1264307181,0.0,1.0,28377.0,28377.0,0.0,78562.33219617409,78562.33219617409,0.0,1.0,1.0,1.0,0.0,372.98435612630783,372.98435612630783,0.0,137.29735953778552,137.29735953778552,0.0,0.0,0.0,0.0
A1,'Schallaburg',68230.25688284212,1.0,1.0,29188.0,0.0,29188.0,136934.36037638842,0.0,136934.36037638842,1.0,1.0,0.0,1.0,400.0,0.0,400.0,0.0,0.0,0.0,10.803081129165264,0.0,10.803081129165264
A1,'Ornding',79331.7433566839,0.0,1.0,27048.0,27048.0,0.0,60488.07492270462,60488.07492270462,0.0,1.0,1.0,1.0,0.0,181.46422476811387,181.46422476811387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Ybbs',91687.56131897827,1.0,0.0,27161.40445083877,0.0,27161.40445083877,104129.25066774736,0.0,104129.25066774736,1.0,1.0,0.0,1.0,185.89347359462184,0.0,185.89347359462184,10.803081129165264,0.0,10.803081129165264,137.29735953778552,0.0,137.29735953778552
A1,'Kemmelbach',92757.6672485543,0.0,0.0,26898.000000000207,26898.000000000207,0.0,72226.10016870651,72226.10016870651,0.0,1.0,1.0,1.0,0.0,216.67830050611954,216.67830050611954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Viehdorf',110788.117558731,0.0,1.0,25545.0,25545.0,0.0,92117.57063469278,92117.57063469278,0.0,1.0,1.0,1.0,0.0,276.3527119040783,276.3527119040783,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Amstetten',110856.16706177368,1.0,1.0,25407.0,0.0,25407.0,56128.53142796268,0.0,56128.53142796268,1.0,1.0,0.0,1.0,305.68295382167355,0.0,305.68295382167355,137.29735953778552,0.0,137.29735953778552,0.0,0.0,0.0
A1,'Parkplatz Zeillern’,115669.740972646,0.0,2.0,24685.0,24685.0,0.0,24100.57479449837,24100.57479449837,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.30172438349511,72.30172438349511,0.0
A1,'Oed',121902.04643123144,1.0,2.0,26849.692063066555,0.0,26849.692063066555,69822.67372138261,0.0,69822.67372138261,1.0,1.0,0.0,1.0,209.46802116414784,0.0,209.46802116414784,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Strengberg',127419.883969473,0.0,0.0,25773.0,25773.0,0.0,60567.28709144443,60567.28709144443,0.0,1.0,1.0,1.0,0.0,254.0035856578284,254.0035856578284,0.0,72.30172438349511,72.30172438349511,0.0,0.0,0.0,0.0
A1,'Haag',134904.5556513331,1.0,0.0,28172.0,0.0,28172.0,72532.38382040545,0.0,72532.38382040545,1.0,1.0,0.0,1.0,217.59715146121636,0.0,217.59715146121636,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Ennsblick',138438.777669938,0.0,2.0,27181.0,27181.0,0.0,59900.9099344678,59900.9099344678,0.0,1.0,1.0,1.0,0.0,42.405370265617876,42.405370265617876,0.0,0.0,0.0,0.0,137.29735953778552,137.29735953778552,0.0
A1,'Parkplatz Ennsdorf’,144219.521808836,0.0,2.0,26232.408315204048,26232.408315204048,0.0,30328.56812345904,30328.56812345904,0.0,1.0,1.0,1.0,0.0,172.40838028250465,172.40838028250465,0.0,137.29735953778552,137.29735953778552,0.0,55.87468362565802,55.87468362565802,0.0
A1,'Enns Süd',147777.689227296,1.0,1.0,29648.737115098505,0.0,29648.737115098505,86236.69930607454,0.0,86236.69930607454,1.0,1.0,0.0,1.0,258.71009791822365,0.0,258.71009791822365,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Enns Nord',148036.797393782,0.0,1.0,29791.88732837659,29791.88732837659,0.0,22744.768825614865,22744.768825614865,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,55.87468362565802,55.87468362565802,0.0,124.10899010250262,124.10899010250262,0.0
A1,'Ansfelden Nord',162316.504436048,0.0,0.0,48225.58896718505,48225.58896718505,0.0,137729.45647842763,137729.45647842763,0.0,1.0,1.0,1.0,0.0,400.0,400.0,0.0,124.10899010250262,124.10899010250262,0.0,137.29735953778552,137.29735953778552,0.0
A1,'Ansfelden Süd',162320.75373815486,1.0,0.0,46681.64620523784,0.0,46681.64620523784,108599.64670259575,0.0,108599.64670259575,1.0,1.0,0.0,1.0,325.79894010778725,0.0,325.79894010778725,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Allhaming Nord',173899.962969708,0.0,1.0,22478.0,22478.0,0.0,52074.59618392183,52074.59618392183,0.0,1.0,1.0,1.0,0.0,293.52114808955105,293.52114808955105,0.0,137.29735953778552,137.29735953778552,0.0,0.0,0.0,0.0
A1,'Allhaming Süd',173952.69643198498,1.0,1.0,22273.000000000004,0.0,22273.000000000004,132032.00498622246,0.0,132032.00498622246,1.0,1.0,0.0,1.0,396.09601495866735,0.0,396.09601495866735,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Lindach Süd',203592.17135368893,1.0,0.0,24205.0,0.0,24205.0,88500.71292866129,0.0,88500.71292866129,1.0,1.0,0.0,1.0,265.5021387859839,0.0,265.5021387859839,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Lindach Nord',203639.738600817,0.0,0.0,24091.0,24091.0,0.0,143292.1869458095,143292.1869458095,0.0,1.0,1.0,1.0,0.0,292.579201299643,292.579201299643,0.0,0.0,0.0,0.0,137.29735953778552,137.29735953778552,0.0
A1,'Hainbach Süd',221873.6654517392,1.0,1.0,16641.0,0.0,16641.0,43626.88664049066,0.0,43626.88664049066,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.880659921472,0.0,130.880659921472
A1,'Hainbach Nord',222093.800281812,0.0,1.0,15023.0,15023.0,0.0,55447.073726717535,55447.073726717535,0.0,1.0,1.0,1.0,0.0,299.5294425086307,299.5294425086307,0.0,137.29735953778552,137.29735953778552,0.0,4.109138209307389,4.109138209307389,0.0
A1,'Straß',234981.9181530464,1.0,1.0,16828.674835497062,0.0,16828.674835497062,52286.93331258196,0.0,52286.93331258196,1.0,1.0,0.0,1.0,255.8318651511204,0.0,255.8318651511204,130.880659921472,0.0,130.880659921472,31.909594708097487,0.0,31.909594708097487
A1,'Wildenhag Nord',235066.348665036,0.0,2.0,17111.546808170722,17111.546808170722,0.0,44396.07377615938,44396.07377615938,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,4.109138209307389,4.109138209307389,0.0,137.29735953778552,137.29735953778552,0.0
A1,'Oberwang',242460.019486016,0.0,1.0,15727.0,15727.0,0.0,23256.052200310536,23256.052200310536,0.0,1.0,1.0,1.0,0.0,145.79534261240997,145.79534261240997,0.0,137.29735953778552,137.29735953778552,0.0,61.270173526307175,61.270173526307175,0.0
A1,'Mondsee',250516.989637787,2.0,0.0,31060.001681777,15727.000882328592,15333.00079944841,60471.650280388814,25342.39533715945,35129.25494322937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.17976823440466,61.270173526307175,31.909594708097487,274.5947190755711,137.29735953778552,137.2973595377856
A1,‘Parkplatz Ölgraben’,260279.124098433,0.0,2.0,18793.0,18793.0,0.0,36691.95858378413,36691.95858378413,0.0,1.0,1.0,1.0,0.0,247.3732352891379,247.3732352891379,0.0,137.29735953778552,137.29735953778552,0.0,0.0,0.0,0.0
A1,'Vetterbach',261972.4299011484,1.0,2.0,18111.0,0.0,18111.0,24972.45872010333,0.0,24972.45872010333,1.0,1.0,0.0,1.0,212.21473569809558,0.0,212.21473569809558,137.2973595377856,0.0,137.2973595377856,0.0,0.0,0.0
A1,'Enzersberg',266135.990207015,0.0,2.0,21891.999995182963,21891.999995182963,0.0,25643.70256417291,25643.70256417291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.93110769251871,76.93110769251871,0.0
A1,'Salzburger Vorland',268866.709267308,1.0,2.0,21776.0,0.0,21776.0,38740.09283187072,0.0,38740.09283187072,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.22027849561223,0.0,116.22027849561223
A1,'Söllheim',277761.8444693356,1.0,0.0,28864.53746412181,0.0,28864.53746412181,82339.63927518326,0.0,82339.63927518326,1.0,1.0,0.0,1.0,363.239196321162,0.0,363.239196321162,116.22027849561223,0.0,116.22027849561223,0.0,0.0,0.0
A1,'Kasern',279165.959129779,0.0,0.0,38922.8495638266,38922.8495638266,0.0,101432.70404041585,101432.70404041585,0.0,1.0,1.0,1.0,0.0,243.9318602759807,243.9318602759807,0.0,76.93110769251871,76.93110769251871,0.0,137.29735953778552,137.29735953778552,0.0
A1,'Walserberg Nord',291924.308206547,0.0,0.0,12964.000000008587,12964.000000008587,0.0,33079.84748626592,33079.84748626592,0.0,1.0,1.0,1.0,0.0,236.53690199658328,236.53690199658328,0.0,137.29735953778552,137.29735953778552,0.0,0.0,0.0,0.0
A1,'Walserberg Süd',292024.9587453794,1.0,0.0,14880.00000000295,0.0,14880.00000000295,866.4299233484943,0.0,866.4299233484943,1.0,1.0,0.0,1.0,2.599289770045483,0.0,2.599289770045483,0.0,0.0,0.0,0.0,0.0,0.0
A10,'Glanegg/West',1770.48717284199,0.0,2.0,30225.0,30225.0,0.0,10702.59495982983,10702.59495982983,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.10778487948949,32.10778487948949,0.0
A10,'Untersberg/Ost',1898.0363624747013,1.0,2.0,30061.000000000004,0.0,30061.000000000004,79010.53992075191,0.0,79010.53992075191,1.0,1.0,0.0,1.0,99.7342602244702,0.0,99.7342602244702,0.0,0.0,0.0,137.29735953778552,0.0,137.29735953778552
A10,'Bruderloch',15039.738222152006,1.0,2.0,24652.0,0.0,24652.0,55144.783875779045,0.0,55144.783875779045,1.0,1.0,0.0,1.0,302.73171116512265,0.0,302.73171116512265,137.29735953778552,0.0,137.29735953778552,0.0,0.0,0.0
A10,'Golling Ost',26224.385284414508,1.0,0.0,19647.000947721,0.0,19647.000947721,83619.98278708423,0.0,83619.98278708423,1.0,1.0,0.0,1.0,202.78362448989367,0.0,202.78362448989367,0.0,0.0,0.0,48.07632387135902,0.0,48.07632387135902
A10,'Golling West',26258.7424632438,0.0,0.0,19875.000668287423,19875.000668287423,0.0,97340.81805238585,97340.81805238585,0.0,1.0,1.0,1.0,0.0,324.130239036647,324.130239036647,0.0,32.10778487948949,32.10778487948949,0.0,0.0,0.0,0.0
A10,'Werfen',37817.9338569016,0.0,2.0,18631.68277998504,18631.68277998504,0.0,43073.43744795307,43073.43744795307,0.0,1.0,1.0,1.0,0.0,86.43800397325451,86.43800397325451,0.0,0.0,0.0,0.0,42.782308370604696,42.782308370604696,0.0
A10,'Klausgraben West’,47504.5194915941,0.0,2.0,16224.0,16224.0,0.0,31431.033067450226,31431.033067450226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.782308370604696,42.782308370604696,0.0,137.07540757295538,137.07540757295538,0.0
A10,'Klausgraben Ost’,47504.98251388223,1.0,2.0,16076.0,0.0,16076.0,29740.34522214217,0.0,29740.34522214217,1.0,0.0,0.0,0.0,0.0,0.0,0.0,48.07632387135902,0.0,48.07632387135902,137.29735953778552,0.0,137.29735953778552
A10,'Eben Nord',56754.9032721997,2.0,0.0,31317.14723412229,15997.1632592005,15319.983974921792,29666.83094409501,29595.979909721613,70.85103437339785,1.0,1.0,1.0,-0.0,226.08529926695053,226.08529926695053,0.0,142.0439252156618,137.2973595377857,4.7465656778761085,4.959118780996302,0.0,4.959118780996302
A10,'Eben Süd',56778.0270021231,2.0,0.0,31290.578291916747,15997.416619605658,15293.16167231109,62778.68389280418,73.98398827676816,62704.69990452741,-0.0,1.0,-0.0,1.0,320.66489357349167,0.0,320.66489357349167,274.37276711074094,137.07540757295538,137.29735953778552,142.0439252156618,137.2973595377857,4.7465656778761085
A10,'Rohr',68791.6930993305,0.0,2.0,10976.0,10976.0,0.0,26372.39981658969,26372.39981658969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.11719944976906,79.11719944976906,0.0
A10,'Tauernalm',77278.9218622281,2.0,0.0,21522.867721662766,10903.654559151322,10619.213162511443,62621.10903795552,18508.36211902574,44112.74691892978,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,84.07631823076537,79.11719944976906,4.959118780996302,271.9396453446318,134.64228580684627,137.29735953778552
A10,'Lungau',95447.7334893185,0.0,0.0,10877.0,10877.0,0.0,39524.43281357246,39524.43281357246,0.0,1.0,1.0,1.0,0.0,253.21558424756364,253.21558424756364,0.0,134.64228580684627,134.64228580684627,0.0,0.0,0.0,0.0
A10,'Lanschütz',98049.1739721768,1.0,1.0,10558.5,0.0,10558.5,33491.7098286983,0.0,33491.7098286983,1.0,1.0,0.0,1.0,211.14103077308505,0.0,211.14103077308505,137.29735953778552,0.0,137.29735953778552,26.631458250795376,0.0,26.631458250795376
A10,'Rennweg',109897.179457003,0.0,2.0,6878.0,6878.0,0.0,19876.6578731468,19876.6578731468,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.62997361944024,59.62997361944024,0.0
