Time of calculation: 20210913-151319; value of objective: 6976.01296779292;  acc=20;  ec=0.25;  e_tax=0.15;  cfix=50000;  cvar=10000;  eta=0.009;  cars=20;  i=0.05;  T=10
highway,name,asfinag_position,direction,asfinag_type,traffic_flow,traffic_flow_0,energy_demand,energy_demand_0,pXi_dir,pYi_dir,pYi_dir_0,pE_charged,pE_charged_0,pE_input,pE_input_0,pE_output,pE_output_0,traffic_flow_1,energy_demand_1,pYi_dir_1,pE_charged_1,pE_input_1,pE_output_1
A1,'Parkplatz Großraum’,27.42,2.0,2.0,25490.00000000002,12193.00000000001,59974.325349551335,45433.23590445468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539.768928145962,408.8991231400921,13297.00000000001,14541.089445096652,-0.0,0.0,0.0,130.86980500586986
A1,'Steinhäusl',32.7,2.0,0.0,63195.99999999913,31485.99999999933,111561.50482266714,34431.882550071685,1.0,2.0,1.0,800.0,400.0,539.768928145962,408.8991231400921,743.8224715499662,318.7860660907372,31709.9999999998,77129.62227259546,1.0,400.0,130.86980500586986,425.03640545922894
A1,'Kesselhof',44.88,1.0,1.0,30234.999996719125,0.0,109130.95569981833,0.0,1.0,3.0,0.0,1200.0,0.0,425.03640545922894,0.0,207.21500675759376,0.0,30234.999996719125,109130.95569981833,3.0,1200.0,425.03640545922894,207.21500675759376
A1,'Kirchstetten',44.88,0.0,1.0,29897.99999542764,29897.99999542764,72732.0809427628,72732.0809427628,1.0,2.0,2.0,800.0,800.0,318.7860660907372,318.7860660907372,173.37479457560232,173.37479457560232,0.0,0.0,0.0,0.0,0.0,0.0
A1,'St. Pölten',62.9,2.0,0.0,71148.0,35583.0,227454.84943410664,128422.41740026572,1.0,5.0,3.0,1632.9645211932288,832.964521193229,380.5898013331961,173.37479457560232,794.7189250469269,496.21202998476474,35565.0,99032.43203384092,2.0,799.9999999999998,207.21500675759376,298.50689506216213
A1,'Schallaburg',76.81,1.0,1.0,29188.0,0.0,136934.36037638868,0.0,1.0,3.0,0.0,1161.959240113052,0.0,298.50689506216213,0.0,368.9568983366083,0.0,29188.0,136934.36037638868,3.0,1161.959240113052,298.50689506216213,368.9568983366083
A1,'Roggendorf',76.82,0.0,1.0,28377.0,28377.0,78562.33219617409,78562.33219617409,1.0,3.0,3.0,1200.0,1200.0,496.21202998476474,496.21202998476474,3.2730197503315157,3.2730197503315157,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Ornding',88.04,0.0,1.0,27048.0,27048.0,60488.07492270462,60488.07492270462,0.0,0.0,0.0,0.0,0.0,3.2730197503315157,3.2730197503315157,547.665694054673,547.665694054673,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Ybbs',100.32,1.0,0.0,27161.40445083877,0.0,104129.25066774894,0.0,1.0,3.0,0.0,1200.0,0.0,368.9568983366083,0.0,106.12015434634867,0.0,27161.40445083877,104129.25066774894,3.0,1200.0,368.9568983366083,106.12015434634867
A1,'Kemmelbach',101.38,0.0,0.0,26898.000000000207,26898.000000000207,72226.10016870651,72226.10016870651,1.0,2.0,2.0,799.9999999999993,799.9999999999993,547.665694054673,547.665694054673,397.7005955730323,397.7005955730323,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Viehdorf',118.17,0.0,1.0,25545.0,25545.0,92117.57063469278,92117.57063469278,1.0,3.0,3.0,1200.0,1200.0,397.7005955730323,397.7005955730323,26.75873128526723,26.75873128526723,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Amstetten',119.36,1.0,1.0,25407.0,0.0,56128.53142795883,0.0,0.0,0.0,0.0,0.0,0.0,106.12015434634867,0.0,611.2769371979781,0.0,25407.0,56128.53142795883,0.0,0.0,106.12015434634867,611.2769371979781
A1,'Parkplatz Zeillern’,124.31,0.0,2.0,24685.0,24685.0,24100.57479449837,24100.57479449837,0.0,0.0,0.0,0.0,0.0,26.75873128526723,26.75873128526723,243.66390443575256,243.66390443575256,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Oed',130.52,1.0,2.0,26849.69206306653,0.0,69822.67372138443,0.0,1.0,2.0,0.0,800.0,0.0,611.2769371979781,0.0,439.68100069043794,0.0,26849.69206306653,69822.67372138443,2.0,800.0,611.2769371979781,439.68100069043794
A1,'Strengberg',136.0,0.0,0.0,25773.0,25773.0,60567.28709144443,60567.28709144443,1.0,2.0,2.0,780.2119836142894,780.2119836142894,243.66390443575256,243.66390443575256,8.557504644463052,8.557504644463052,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Haag',143.54,1.0,0.0,28172.0,0.0,72532.38382040594,0.0,1.0,1.999999048858467,0.0,799.999609711264,0.0,439.68100069043794,0.0,292.47284536282734,0.0,28172.0,72532.38382040594,1.999999048858467,799.999609711264,439.68100069043794,292.47284536282734
A1,'Ennsblick',147.1,0.0,2.0,27181.0,27181.0,59900.9099344678,59900.9099344678,0.0,0.0,-0.0,0.0,0.0,8.557504644463052,8.557504644463052,547.6656940546733,547.6656940546733,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Parkplatz Ennsdorf’,152.88,0.0,2.0,26232.408315204048,26232.408315204048,30328.56812345904,30328.56812345904,1.0,2.0,2.0,800.0,800.0,547.6656940546733,547.6656940546733,20.622807165804716,20.622807165804716,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Enns Süd',156.19,1.0,1.0,29648.737115098505,0.0,86236.6993060754,0.0,1.0,3.0,0.0,978.7159738731917,0.0,292.47284536282734,0.0,89.88716524431413,0.0,29648.737115098505,86236.6993060754,3.0,978.7159738731917,292.47284536282734,89.88716524431413
A1,'Enns Nord',156.79,0.0,1.0,29791.88732837659,29791.88732837659,22744.768825614865,22744.768825614865,0.0,0.0,0.0,0.0,0.0,20.622807165804716,20.622807165804716,225.32572659633848,225.32572659633848,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Ansfelden Süd',170.93,1.0,0.0,46681.64620523784,0.0,108599.64670259466,0.0,1.0,2.0,0.0,800.0,0.0,89.88716524431413,0.0,267.28398556766604,0.0,46681.64620523784,108599.64670259466,2.0,800.0,89.88716524431413,267.28398556766604
A1,'Ansfelden Nord',171.01,0.0,0.0,48225.58896718505,48225.58896718505,137729.45647842763,137729.45647842763,1.0,4.0,4.0,1385.8965065028103,1385.8965065028103,225.32572659633848,225.32572659633848,78.99432839937666,78.99432839937666,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Allhaming Süd',182.59,1.0,1.0,22273.0,0.0,132032.00498622254,0.0,1.0,3.0,0.0,1200.0,0.0,267.28398556766604,0.0,255.57203044366872,0.0,22273.0,132032.00498622254,3.0,1200.0,267.28398556766604,255.57203044366872
A1,'Allhaming Nord',182.6,0.0,1.0,22478.0,22478.0,52074.59618392183,52074.59618392183,0.0,0.0,0.0,0.0,0.0,78.99432839937666,78.99432839937666,547.665694054673,547.665694054673,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Lindach Nord',212.26,0.0,0.0,24091.0,24091.0,143292.1869458095,143292.1869458095,1.0,5.0,5.0,1837.2953765669583,1837.2953765669583,547.665694054673,547.665694054673,1.7053025658242404e-13,1.7053025658242404e-13,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Lindach Süd',212.27,1.0,0.0,24205.0,0.0,88500.71292866017,0.0,1.0,2.0,0.0,800.0,0.0,255.57203044366872,0.0,252.0784468016102,0.0,24205.0,88500.71292866017,2.0,800.0,255.57203044366872,252.0784468016102
A1,'Hainbach Süd',230.7,1.0,1.0,16641.0,0.0,43626.88664048988,0.0,0.0,0.0,0.0,0.0,0.0,252.0784468016102,0.0,644.7204265660191,0.0,16641.0,43626.88664048988,0.0,0.0,252.0784468016102,644.7204265660191
A1,'Hainbach Nord',230.72,0.0,1.0,15023.0,15023.0,55447.073726717535,55447.073726717535,0.0,0.0,0.0,0.0,0.0,1.7053025658242404e-13,1.7053025658242404e-13,499.02366354045796,499.02366354045796,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Straß',243.67,1.0,1.0,16828.67483549712,0.0,52286.93331258195,0.0,1.0,2.0,0.0,800.0,0.0,644.7204265660191,0.0,315.3028263792566,0.0,16828.67483549712,52286.93331258195,2.0,800.0,644.7204265660191,315.3028263792566
A1,'Wildenhag Nord',243.76,0.0,2.0,17111.546808170722,17111.546808170722,44396.07377615938,44396.07377615938,1.0,2.0,2.0,800.0,800.0,499.02366354045796,499.02366354045796,98.58832752589234,98.58832752589234,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Oberwang',251.03,0.0,1.0,15727.0,15727.0,23256.052200310536,23256.052200310536,0.0,0.0,0.0,0.0,0.0,98.58832752589234,98.58832752589234,307.89279732868715,307.89279732868715,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Mondsee',259.23,2.0,0.0,31060.001681777,15727.000882328592,60471.650280389,25342.39533715945,0.0,0.0,0.0,0.0,0.0,623.1956237079437,307.89279732868715,1167.4404762314448,535.9743553631222,15333.000799448411,35129.25494322955,0.0,0.0,315.3028263792566,631.4661208683225
A1,‘Parkplatz Ölgraben’,268.98,0.0,2.0,18793.0,18793.0,36691.95858378413,36691.95858378413,1.0,2.0,2.0,800.0000000000002,800.0000000000002,535.9743553631222,535.9743553631222,66.20198261717906,66.20198261717906,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Vetterbach',270.63,1.0,2.0,18111.0,0.0,24972.45872010481,0.0,1.0,2.0,0.0,753.7337076228748,0.0,631.4661208683225,0.0,102.48454172639099,0.0,18111.0,24972.45872010481,2.0,753.7337076228748,631.4661208683225,102.48454172639099
A1,'Enzersberg',274.82,0.0,2.0,21891.999995182963,21891.999995182963,25643.70256417291,25643.70256417291,0.0,0.0,0.0,0.0,0.0,66.20198261717906,66.20198261717906,296.9953056947352,296.9953056947352,0.0,0.0,0.0,0.0,0.0,0.0
