Time of calculation: 20210916-175208; value of objective: 1211236.2582483268;  acc=20;  ec=0.25;  e_tax=0.15;  cfix=50000;  cvar=10000;  eta=1;  hours_of_constant_charging=20;  i=0.05;  T=10
highway,name,asfinag_position,direction,asfinag_type,traffic_flow,traffic_flow_1,energy_demand,energy_demand_1,pXi_dir,pYi_dir,pYi_dir_1,pE_charged,pE_charged_1,pE_input,pE_input_1,pE_output,pE_output_1,traffic_flow_0,energy_demand_0,pYi_dir_0,pE_charged_0,pE_input_0,pE_output_0
A1,'Parkplatz Großraum’,27.42,2.0,2.0,25490.00000000002,13297.00000000001,59974.325349551335,14541.089445096652,1.0,60.0,15.0,59342.28885153054,14541.089445096652,0.0,0.0,632.036498020796,0.0,12193.00000000001,45433.23590445468,45.0,44801.19940643389,0.0,632.036498020796
A1,'Steinhäusl',32.7,2.0,0.0,63195.99999999913,31709.9999999998,111561.50482266714,77129.62227259546,0.0,77.0,77.0,76790.57797897555,76790.57797897555,632.036498020796,0.0,35402.963341712406,339.04429361992516,31485.99999999933,34431.882550071685,-0.0,0.0,632.036498020796,35063.91904809248
A1,'Kirchstetten',44.88,0.0,1.0,29897.99999542764,0.0,72732.0809427628,0.0,1.0,48.0,0.0,48000.0,0.0,35063.91904809248,0.0,59795.99999085528,0.0,29897.99999542764,72732.0809427628,48.0,48000.0,35063.91904809248,59795.99999085528
A1,'Kesselhof',44.88,1.0,1.0,30234.999996719125,30234.999996719125,109130.95569981833,109130.95569981833,1.0,49.0,49.0,49000.0,49000.0,339.04429361992516,339.04429361992516,60469.99999343825,60469.99999343825,0.0,0.0,0.0,0.0,0.0,0.0
A1,'St. Pölten',62.9,2.0,0.0,71148.0,35565.0,227454.84943410664,99032.43203384092,1.0,348.0,160.0,347113.98350199027,159113.98350199027,120265.99998429354,60469.99999343825,606.8659164099009,388.4485252888991,35583.0,128422.41740026572,188.0,188000.0,59795.99999085528,218.41739112100186
A1,'Schallaburg',76.81,1.0,1.0,29188.0,29188.0,136934.36037638868,136934.36037638868,1.0,83.0,83.0,83000.00000000003,83000.00000000003,388.4485252888991,388.4485252888991,54322.80890167754,54322.80890167754,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Roggendorf',76.82,0.0,1.0,28377.0,0.0,78562.33219617409,0.0,1.0,25.0,0.0,25000.0,0.0,218.41739112100186,0.0,53780.74958729509,0.0,28377.0,78562.33219617409,25.0,25000.0,218.41739112100186,53780.74958729509
A1,'Ornding',88.04,0.0,1.0,27048.0,0.0,60488.07492270462,0.0,1.0,61.0,0.0,61000.0,0.0,53780.74958729509,0.0,53268.82450999971,0.0,27048.0,60488.07492270462,61.0,61000.0,53780.74958729509,53268.82450999971
A1,'Ybbs',100.32,1.0,0.0,27161.40445083877,27161.40445083877,104129.25066774894,104129.25066774894,1.0,108.0,108.0,107638.05956942648,107638.05956942648,54322.80890167754,54322.80890167754,50814.00000000001,50814.00000000001,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Kemmelbach',101.38,0.0,0.0,26898.000000000207,0.0,72226.10016870651,0.0,1.0,75.0,0.0,75000.0,0.0,53268.82450999971,0.0,50494.92467870622,0.0,26898.000000000207,72226.10016870651,75.0,75000.0,53268.82450999971,50494.92467870622
A1,'Viehdorf',118.17,0.0,1.0,25545.0,0.0,92117.57063469278,0.0,1.0,118.0,0.0,118000.0,0.0,50494.92467870622,0.0,24612.495313399,0.0,25545.0,92117.57063469278,118.0,118000.0,50494.92467870622,24612.495313399
A1,'Amstetten',119.36,1.0,1.0,25407.0,25407.0,56128.53142795883,56128.53142795883,1.0,107.0,107.0,106942.53142795883,106942.53142795883,50814.00000000001,50814.00000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Parkplatz Zeillern’,124.31,0.0,2.0,24685.0,0.0,24100.57479449837,0.0,0.0,0.0,0.0,0.0,0.0,24612.495313399,0.0,48713.070107897365,0.0,24685.0,24100.57479449837,-0.0,0.0,24612.495313399,48713.070107897365
A1,'Oed',130.52,1.0,2.0,26849.69206306653,26849.69206306653,69822.67372138443,69822.67372138443,1.0,70.0,70.0,69294.28261766877,69294.28261766877,0.0,0.0,528.3911037156649,528.3911037156649,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Strengberg',136.0,0.0,0.0,25773.0,0.0,60567.28709144443,0.0,1.0,110.0,0.0,109280.35719934199,0.0,48713.070107897365,0.0,-1.9281287677586079e-10,0.0,25773.0,60567.28709144443,110.0,109280.35719934199,48713.070107897365,-1.9281287677586079e-10
A1,'Haag',143.54,1.0,0.0,28172.0,28172.0,72532.38382040594,72532.38382040594,1.0,73.0,73.0,73000.0,73000.0,528.3911037156649,528.3911037156649,60.77492412160791,60.77492412160791,0.0,0.0,0.0,0.0,0.0,0.0
