Time of calculation: 20210916-175453; value of objective: 848322.7270673367;  acc=20;  ec=0.25;  e_tax=0.15;  cfix=50000;  cvar=10000;  eta=0.7;  hours_of_constant_charging=20;  i=0.05;  T=10
highway,name,asfinag_position,direction,asfinag_type,traffic_flow,traffic_flow_0,energy_demand,energy_demand_0,pXi_dir,pYi_dir,pYi_dir_0,pE_charged,pE_charged_0,pE_input,pE_input_0,pE_output,pE_output_0,traffic_flow_1,energy_demand_1,pYi_dir_1,pE_charged_1,pE_input_1,pE_output_1
A1,'Parkplatz Großraum’,27.42,2.0,2.0,25490.00000000002,12193.00000000001,59974.325349551335,45433.23590445468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41982.02774468593,31803.265133118275,13297.00000000001,14541.089445096652,0.0,0.0,0.0,10178.762611567656
A1,'Steinhäusl',32.7,2.0,0.0,63195.99999999913,31485.99999999933,111561.50482266714,34431.882550071685,1.0,69.0,55.0,69000.0,55000.0,41982.02774468593,31803.265133118275,51075.081120552924,905.582918168453,31709.9999999998,77129.62227259546,14.0,14000.0,10178.762611567656,50169.49820238447
A1,'Kesselhof',44.88,1.0,1.0,30234.999996719125,0.0,109130.95569981833,0.0,0.0,0.0,0.0,0.0,0.0,50169.49820238447,0.0,126561.1671922573,0.0,30234.999996719125,109130.95569981833,0.0,0.0,50169.49820238447,126561.1671922573
A1,'Kirchstetten',44.88,0.0,1.0,29897.99999542764,29897.99999542764,72732.0809427628,72732.0809427628,0.0,0.0,0.0,0.0,0.0,905.582918168453,905.582918168453,51818.039578102405,51818.039578102405,0.0,0.0,0.0,0.0,0.0,0.0
A1,'St. Pölten',62.9,2.0,0.0,71148.0,35583.0,227454.84943410664,128422.41740026572,1.0,323.0,127.0,322883.86961594597,127000.0,178379.2067703597,51818.039578102405,14713.731758288406,14713.731758288406,35565.0,99032.43203384092,196.0,195883.86961594594,126561.1671922573,0.0
A1,'Schallaburg',76.81,1.0,1.0,29188.0,0.0,136934.36037638868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95854.05226347207,0.0,29188.0,136934.36037638868,0.0,0.0,0.0,95854.05226347207
A1,'Roggendorf',76.82,0.0,1.0,28377.0,28377.0,78562.33219617409,78562.33219617409,0.0,0.0,0.0,0.0,0.0,14713.731758288406,14713.731758288406,69707.36429561026,69707.36429561026,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Ornding',88.04,0.0,1.0,27048.0,27048.0,60488.07492270462,60488.07492270462,0.0,0.0,0.0,0.0,0.0,69707.36429561026,69707.36429561026,112049.0167415035,112049.0167415035,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Ybbs',100.32,1.0,0.0,27161.40445083877,0.0,104129.25066774894,0.0,1.0,168.0,0.0,168000.0,0.0,95854.05226347207,0.0,744.5277308963268,0.0,27161.40445083877,104129.25066774894,168.0,168000.0,95854.05226347207,744.5277308963268
A1,'Kemmelbach',101.38,0.0,0.0,26898.000000000207,26898.000000000207,72226.10016870651,72226.10016870651,1.0,141.0,141.0,141000.0,141000.0,112049.0167415035,112049.0167415035,21607.286859598054,21607.286859598054,0.0,0.0,0.0,0.0,0.0,0.0
