Time of calculation: 20210916-191753; value of objective: 8143.440678607153;  acc=20.0;  ec=0.25;  e_tax=0.15;  cfix=50000;  cvar=10000;  eta=0.011;  hours_of_constant_charging=20;  i=0.05;  T=10
highway,name,asfinag_position,direction,asfinag_type,traffic_flow,traffic_flow_0,traffic_flow_1,energy_demand,energy_demand_0,energy_demand_1,pXi_dir,pYi_dir,pYi_dir_0,pYi_dir_1,pE_charged,pE_charged_0,pE_charged_1,pE_input,pE_input_0,pE_input_1,pE_output,pE_output_0,pE_output_1
A1,'Parkplatz Großraum’,27.42,2.0,2.0,25490.00000000002,12193.00000000001,13297.00000000001,59974.325349551335,45433.23590445468,14541.089445096652,1.0,2.0,1.0,1.0,651.3058788450646,495.7419049490015,155.56397389606315,0.0,0.0,0.0,8.411699999999996,4.023689999999988,4.388010000000008
A1,'Steinhäusl',32.7,2.0,0.0,63195.99999999913,31485.99999999933,31709.9999999998,111561.50482266714,34431.882550071685,77129.62227259546,1.0,2.0,1.0,1.0,1235.5882530493386,382.77439805078853,852.8138549985501,8.411699999999996,4.023689999999988,4.388010000000008,0.0,0.0,0.0
A1,'Kesselhof',44.88,1.0,1.0,30234.999996719125,0.0,30234.999996719125,109130.95569981833,0.0,109130.95569981833,1.0,2.0,0.0,2.0,1200.4405126980016,0.0,1200.4405126980016,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Kirchstetten',44.88,0.0,1.0,29897.99999542764,29897.99999542764,0.0,72732.0809427628,72732.0809427628,0.0,1.0,1.0,1.0,0.0,800.0528903703907,800.0528903703907,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,'St. Pölten',62.9,2.0,0.0,71148.0,35583.0,35565.0,227454.84943410664,128422.41740026572,99032.43203384092,1.0,4.0,2.0,2.0,2502.0033437751727,1412.646591402923,1089.35675237225,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Schallaburg',76.81,1.0,1.0,29188.0,0.0,29188.0,136934.36037638868,0.0,136934.36037638868,1.0,2.0,0.0,2.0,1506.2779641402753,0.0,1506.2779641402753,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Roggendorf',76.82,0.0,1.0,28377.0,28377.0,0.0,78562.33219617409,78562.33219617409,0.0,1.0,1.0,1.0,0.0,864.1856541579149,864.1856541579149,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Ornding',88.04,0.0,1.0,27048.0,27048.0,0.0,60488.07492270462,60488.07492270462,0.0,1.0,1.0,1.0,0.0,665.3688241497507,665.3688241497507,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Ybbs',100.32,1.0,0.0,27161.40445083877,0.0,27161.40445083877,104129.25066774894,0.0,104129.25066774894,1.0,2.0,0.0,2.0,1145.4217573452383,0.0,1145.4217573452383,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Kemmelbach',101.38,0.0,0.0,26898.000000000207,26898.000000000207,0.0,72226.10016870651,72226.10016870651,0.0,1.0,1.0,1.0,0.0,794.4871018557716,794.4871018557716,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Viehdorf',118.17,0.0,1.0,25545.0,25545.0,0.0,92117.57063469278,92117.57063469278,0.0,1.0,2.0,2.0,0.0,1013.2932769816205,1013.2932769816205,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Amstetten',119.36,1.0,1.0,25407.0,0.0,25407.0,56128.53142795883,0.0,56128.53142795883,1.0,1.0,0.0,1.0,617.413845707547,0.0,617.413845707547,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Parkplatz Zeillern’,124.31,0.0,2.0,24685.0,24685.0,0.0,24100.57479449837,24100.57479449837,0.0,1.0,1.0,1.0,0.0,265.10632273948204,265.10632273948204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Oed',130.52,1.0,2.0,26849.69206306653,0.0,26849.69206306653,69822.67372138443,0.0,69822.67372138443,1.0,1.0,0.0,1.0,768.0494109352287,0.0,768.0494109352287,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Strengberg',136.0,0.0,0.0,25773.0,25773.0,0.0,60567.28709144443,60567.28709144443,0.0,1.0,1.0,1.0,0.0,666.2401580058887,666.2401580058887,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Haag',143.54,1.0,0.0,28172.0,0.0,28172.0,72532.38382040594,0.0,72532.38382040594,1.0,1.0,0.0,1.0,797.8562220244653,0.0,797.8562220244653,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Ennsblick',147.1,0.0,2.0,27181.0,27181.0,0.0,59900.9099344678,59900.9099344678,0.0,1.0,1.0,1.0,0.0,658.9100092791458,658.9100092791458,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Parkplatz Ennsdorf’,152.88,0.0,2.0,26232.408315204048,26232.408315204048,0.0,30328.56812345904,30328.56812345904,0.0,1.0,1.0,1.0,0.0,333.61424935804945,333.61424935804945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
