Time of calculation: 20210928-125025; value of objective: 8127.288732553172;  acc=20.0;  ec=0.25;  e_tax=0.15;  cfix=50000;  cvar=10000;  eta=0.011; mu=0.7; tf_at_peak=1;  hours_of_constant_charging=20;  i=0.05;  T=10
highway,name,asfinag_position,direction,asfinag_type,traffic_flow,traffic_flow_1,energy_demand,energy_demand_1,pXi_dir,pYi_dir,pYi_dir_1,pE_charged,pE_charged_1,pE_input,pE_input_1,pE_output,pE_output_1,traffic_flow_0,energy_demand_0,pYi_dir_0,pE_charged_0,pE_input_0,pE_output_0
A1,'Parkplatz Großraum’,27.42,2.0,2.0,25490.0,13297.0,59974.3253495514,14541.0894450967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.8023051915457,111.96638872724458,12193.0,45433.2359044547,0.0,0.0,0.0,349.83591646430114
A1,'Steinhäusl',32.7,2.0,0.0,63195.9999999991,31709.9999999998,111561.5048226672,77129.6222725955,0.0,0.0,0.0,0.0,0.0,461.8023051915457,111.96638872724458,1320.8258923260832,705.86448022623,31485.9999999993,34431.8825500717,0.0,0.0,349.83591646430114,614.9614120998532
A1,'Kesselhof',44.88,1.0,1.0,30234.9999967191,30234.9999967191,109130.955699818,109130.955699818,0.0,0.0,0.0,0.0,0.0,705.86448022623,705.86448022623,1546.17283911483,1546.17283911483,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Kirchstetten',44.88,0.0,1.0,29897.9999954276,0.0,72732.0809427628,0.0,0.0,0.0,0.0,0.0,0.0,614.9614120998532,0.0,1174.9984353591285,0.0,29897.9999954276,72732.0809427628,0.0,0.0,614.9614120998532,1174.9984353591285
A1,'St. Pölten',62.9,2.0,1.0,71148.0,35565.0,227454.8494341069,99032.4320338409,1.0,4.0,2.0,4000.0,2000.0,2721.1712744739584,1546.17283911483,472.57361511658155,308.72256577540475,35583.0,128422.417400266,2.0,2000.0,1174.9984353591285,163.8510493411768
A1,'Schallaburg',76.81,1.0,1.0,29188.0,29188.0,136934.360376389,136934.360376389,0.0,0.0,0.0,0.0,0.0,308.72256577540475,308.72256577540475,1363.1171406736,1363.1171406736,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Roggendorf',76.82,0.0,1.0,28377.0,0.0,78562.3321961741,0.0,0.0,0.0,0.0,0.0,0.0,163.8510493411768,0.0,768.7810072517174,0.0,28377.0,78562.3321961741,0.0,0.0,163.8510493411768,768.7810072517174
A1,'Ornding',88.04,0.0,1.0,27048.0,0.0,60488.0749227046,0.0,0.0,0.0,0.0,0.0,0.0,768.7810072517174,0.0,1234.539184156543,0.0,27048.0,60488.0749227046,0.0,0.0,768.7810072517174,1234.539184156543
A1,'Ybbs',100.32,1.0,0.0,27161.4044508388,27161.4044508388,104129.250667749,104129.250667749,0.0,0.0,0.0,0.0,0.0,1363.1171406736,1363.1171406736,2164.9123708152674,2164.9123708152674,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Kemmelbach',101.38,0.0,0.0,26898.0000000002,0.0,72226.1001687065,0.0,0.0,0.0,0.0,0.0,0.0,1234.539184156543,0.0,1790.6801554555827,0.0,26898.0000000002,72226.1001687065,0.0,0.0,1234.539184156543,1790.6801554555827
