Time of calculation: 20210928-125545; value of objective: -393.7120760678904;  acc=20.0;  ec=0.25;  e_tax=0.15;  cfix=50000;  cvar=10000;  eta=0.011; mu=1; tf_at_peak=0.2;  hours_of_constant_charging=20;  i=0.05;  T=10
highway,name,asfinag_position,direction,asfinag_type,traffic_flow,traffic_flow_0,traffic_flow_1,energy_demand,energy_demand_0,energy_demand_1,pXi_dir,pYi_dir,pYi_dir_0,pYi_dir_1,pE_charged,pE_charged_0,pE_charged_1,pE_input,pE_input_0,pE_input_1,pE_output,pE_output_0,pE_output_1
A1,'Parkplatz Großraum’,27.42,2.0,2.0,25490.0,12193.0,13297.0,59974.3253495514,45433.2359044547,14541.0894450967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.94351576901306,99.95311898980033,31.99039677921274
A1,'Steinhäusl',32.7,2.0,0.0,63195.9999999991,31485.9999999993,31709.9999999998,111561.5048226672,34431.8825500717,77129.6222725955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.94351576901306,99.95311898980033,31.99039677921274,377.37882637888094,175.70326059995807,201.67556577892285
A1,'Kesselhof',44.88,1.0,1.0,30234.9999967191,0.0,30234.9999967191,109130.955699818,0.0,109130.955699818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.67556577892285,0.0,201.67556577892285,441.76366831852243,0.0,441.76366831852243
A1,'Kirchstetten',44.88,0.0,1.0,29897.9999954276,29897.9999954276,0.0,72732.0809427628,72732.0809427628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.70326059995807,175.70326059995807,0.0,335.7138386740362,335.7138386740362,0.0
A1,'St. Pölten',62.9,2.0,1.0,71148.0,35583.0,35565.0,227454.8494341069,128422.417400266,99032.4320338409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,777.4775069925586,335.7138386740362,441.76366831852243,1277.8781757475938,618.2431569546213,659.6350187929725
A1,'Schallaburg',76.81,1.0,1.0,29188.0,0.0,29188.0,136934.360376389,0.0,136934.360376389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.6350187929725,0.0,659.6350187929725,960.8906116210283,0.0,960.8906116210283
A1,'Roggendorf',76.82,0.0,1.0,28377.0,28377.0,0.0,78562.3321961741,78562.3321961741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.2431569546213,618.2431569546213,0.0,791.0802877862043,791.0802877862043,0.0
A1,'Ornding',88.04,0.0,1.0,27048.0,27048.0,0.0,60488.0749227046,60488.0749227046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,791.0802877862043,791.0802877862043,0.0,924.1540526161544,924.1540526161544,0.0
A1,'Ybbs',100.32,1.0,0.0,27161.4044508388,0.0,27161.4044508388,104129.250667749,0.0,104129.250667749,1.0,23.0,0.0,23.0,1101.9665298783177,0.0,1101.9665298783177,960.8906116210283,0.0,960.8906116210283,88.00843321175832,0.0,88.00843321175832
A1,'Kemmelbach',101.38,0.0,0.0,26898.0000000002,26898.0000000002,0.0,72226.1001687065,72226.1001687065,0.0,1.0,22.0,22.0,0.0,1083.0514729873087,1083.0514729873087,0.0,924.1540526161544,924.1540526161544,0.0,0.0,0.0,0.0
A1,'Viehdorf',118.17,0.0,1.0,25545.0,25545.0,0.0,92117.5706346928,92117.5706346928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.65865539632415,202.65865539632415,0.0
A1,'Amstetten',119.36,1.0,1.0,25407.0,0.0,25407.0,56128.5314279588,0.0,56128.5314279588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.00843321175832,0.0,88.00843321175832,211.49120235326768,0.0,211.49120235326768
A1,'Parkplatz Zeillern’,124.31,0.0,2.0,24685.0,24685.0,0.0,24100.5747944984,24100.5747944984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.65865539632415,202.65865539632415,0.0,255.67991994422061,255.67991994422061,0.0
A1,'Oed',130.52,1.0,2.0,26849.6920630665,0.0,26849.6920630665,69822.6737213844,0.0,69822.6737213844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.49120235326768,0.0,211.49120235326768,365.10108454031337,0.0,365.10108454031337
A1,'Strengberg',136.0,0.0,0.0,25773.0,25773.0,0.0,60567.2870914444,60567.2870914444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.67991994422061,255.67991994422061,0.0,388.9279515453983,388.9279515453983,0.0
A1,'Haag',143.54,1.0,0.0,28172.0,0.0,28172.0,72532.3838204059,0.0,72532.3838204059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.10108454031337,0.0,365.10108454031337,524.6723289452063,0.0,524.6723289452063
A1,'Ennsblick',147.1,0.0,2.0,27181.0,27181.0,0.0,59900.9099344678,59900.9099344678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.9279515453983,388.9279515453983,0.0,520.7099534012275,520.7099534012275,0.0
A1,'Parkplatz Ennsdorf’,152.88,0.0,2.0,26232.408315204,26232.408315204,0.0,30328.568123459,30328.568123459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.7099534012275,520.7099534012275,0.0,587.4328032728373,587.4328032728373,0.0
A1,'Enns Süd',156.19,1.0,1.0,29648.7371150985,0.0,29648.7371150985,86236.6993060754,0.0,86236.6993060754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.6723289452063,0.0,524.6723289452063,714.3930674185722,0.0,714.3930674185722
A1,'Enns Nord',156.79,0.0,1.0,29791.8873283766,29791.8873283766,0.0,22744.7688256149,22744.7688256149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.4328032728373,587.4328032728373,0.0,637.4712946891901,637.4712946891901,0.0
A1,'Ansfelden Süd',170.93,1.0,0.0,46681.6462052378,0.0,46681.6462052378,108599.646702595,0.0,108599.646702595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714.3930674185722,0.0,714.3930674185722,953.3122901642812,0.0,953.3122901642812
A1,'Ansfelden Nord',171.01,0.0,0.0,48225.5889671851,48225.5889671851,0.0,137729.456478428,137729.456478428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.4712946891901,637.4712946891901,0.0,940.4760989417318,940.4760989417318,0.0
A1,'Allhaming Süd',182.59,1.0,1.0,22273.0,0.0,22273.0,132032.004986223,0.0,132032.004986223,1.0,20.0,0.0,20.0,1000.0,0.0,1000.0,953.3122901642812,0.0,953.3122901642812,243.78270113397187,0.0,243.78270113397187
A1,'Allhaming Nord',182.6,0.0,1.0,22478.0,22478.0,0.0,52074.5961839218,52074.5961839218,0.0,1.0,20.0,20.0,0.0,979.9205988001106,979.9205988001106,0.0,940.4760989417318,940.4760989417318,0.0,75.11961174624918,75.11961174624918,0.0
A1,'Lindach Nord',212.26,0.0,0.0,24091.0,24091.0,0.0,143292.18694581,143292.18694581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.11961174624918,75.11961174624918,0.0,390.36242302703124,390.36242302703124,0.0
A1,'Lindach Süd',212.27,1.0,0.0,24205.0,0.0,24205.0,88500.7129286602,0.0,88500.7129286602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,243.78270113397187,0.0,243.78270113397187,438.4842695770243,0.0,438.4842695770243
A1,'Hainbach Süd',230.7,1.0,1.0,16641.0,0.0,16641.0,43626.8866404899,0.0,43626.8866404899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,438.4842695770243,0.0,438.4842695770243,534.4634201861021,0.0,534.4634201861021
A1,'Hainbach Nord',230.72,0.0,1.0,15023.0,15023.0,0.0,55447.0737267175,55447.0737267175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.36242302703124,390.36242302703124,0.0,512.3459852258097,512.3459852258097,0.0
A1,'Straß',243.67,1.0,1.0,16828.6748354971,0.0,16828.6748354971,52286.933312582,0.0,52286.933312582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534.4634201861021,0.0,534.4634201861021,649.4946734737825,0.0,649.4946734737825
A1,'Wildenhag Nord',243.76,0.0,2.0,17111.5468081707,17111.5468081707,0.0,44396.0737761594,44396.0737761594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.3459852258097,512.3459852258097,0.0,610.0173475333604,610.0173475333604,0.0
A1,'Oberwang',251.03,0.0,1.0,15727.0,15727.0,0.0,23256.0522003105,23256.0522003105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,610.0173475333604,610.0173475333604,0.0,661.1806623740435,661.1806623740435,0.0
A1,'Mondsee',259.23,2.0,0.0,31060.001681777,15727.0008823286,15333.0007994484,60471.650280389,25342.3953371595,35129.2549432295,1.0,27.0,13.0,14.0,1350.0,650.0,700.0,1310.675335847826,661.1806623740435,649.4946734737825,93.71296646468191,66.93393211579446,26.77903434888745
