highway,name,asfinag_position,direction,asfinag_type,traffic_flow,traffic_flow_1,energy_demand,energy_demand_1,pXi_dir,pYi_dir,pYi_dir_1,pE_charged,pE_charged_1,pE_input,pE_input_1,pE_output,pE_output_1,traffic_flow_0,energy_demand_0,pYi_dir_0,pE_charged_0,pE_input_0,pE_output_0
A1,'Parkplatz Großraum’,27.42,2.0,2.0,25490.0,13297.0,59974.3253495514,14541.0894450967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.18023051915458,11.19663887272446,12193.0,45433.2359044547,0.0,0.0,0.0,34.98359164643012
A1,'Steinhäusl',32.7,2.0,0.0,63195.9999999991,31709.9999999998,111561.5048226672,77129.6222725955,0.0,0.0,-0.0,0.0,0.0,46.18023051915458,11.19663887272446,132.0825892326083,70.586448022623,31485.9999999993,34431.8825500717,-0.0,0.0,34.98359164643012,61.496141209985325
A1,'Kirchstetten',44.88,0.0,1.0,29897.9999954276,0.0,72732.0809427628,0.0,0.0,0.0,0.0,0.0,0.0,61.496141209985325,0.0,117.49984353591285,0.0,29897.9999954276,72732.0809427628,-0.0,0.0,61.496141209985325,117.49984353591285
A1,'Kesselhof',44.88,1.0,1.0,30234.9999967191,30234.9999967191,109130.955699818,109130.955699818,0.0,0.0,0.0,0.0,0.0,70.586448022623,70.586448022623,154.61728391148287,154.61728391148287,0.0,0.0,0.0,0.0,0.0,0.0
A1,'St. Pölten',62.9,2.0,1.0,71148.0,35565.0,227454.8494341069,99032.4320338409,1.0,8.999999188239455,4.999999188239455,430.87223104026634,230.87223104026612,272.1171274473957,154.61728391148287,16.385130471391452,2.553727426857222e-05,35583.0,128422.417400266,4.0,200.0000000000002,117.49984353591285,16.385104934117184
A1,'Schallaburg',76.81,1.0,1.0,29188.0,29188.0,136934.360376389,136934.360376389,0.0,0.0,-0.0,0.0,0.0,2.553727426857222e-05,2.553727426857222e-05,105.4394830270938,105.4394830270938,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Roggendorf',76.82,0.0,1.0,28377.0,0.0,78562.3321961741,0.0,0.0,0.0,0.0,0.0,0.0,16.385104934117184,0.0,76.87810072517105,0.0,28377.0,78562.3321961741,-0.0,0.0,16.385104934117184,76.87810072517105
A1,'Ornding',88.04,0.0,1.0,27048.0,0.0,60488.0749227046,0.0,0.0,0.0,0.0,0.0,0.0,76.87810072517105,0.0,123.4539184156532,0.0,27048.0,60488.0749227046,-0.0,0.0,76.87810072517105,123.4539184156532
A1,'Ybbs',100.32,1.0,0.0,27161.4044508388,27161.4044508388,104129.250667749,104129.250667749,0.0,0.0,0.0,0.0,0.0,105.4394830270938,105.4394830270938,185.61900604126055,185.61900604126055,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Kemmelbach',101.38,0.0,0.0,26898.0000000002,0.0,72226.1001687065,0.0,0.0,0.0,0.0,0.0,0.0,123.4539184156532,0.0,179.06801554555673,0.0,26898.0000000002,72226.1001687065,-0.0,0.0,123.4539184156532,179.06801554555673
A1,'Viehdorf',118.17,0.0,1.0,25545.0,0.0,92117.5706346928,0.0,0.0,0.0,0.0,0.0,0.0,179.06801554555673,0.0,249.99854493426906,0.0,25545.0,92117.5706346928,-0.0,0.0,179.06801554555673,249.99854493426906
A1,'Amstetten',119.36,1.0,1.0,25407.0,25407.0,56128.5314279588,56128.5314279588,0.0,0.0,-0.0,0.0,0.0,185.61900604126055,185.61900604126055,228.8379752407888,228.8379752407888,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Parkplatz Zeillern’,124.31,0.0,2.0,24685.0,0.0,24100.5747944984,0.0,0.0,0.0,0.0,0.0,0.0,249.99854493426906,0.0,268.5559875260323,0.0,24685.0,24100.5747944984,-0.0,0.0,249.99854493426906,268.5559875260323
A1,'Oed',130.52,1.0,2.0,26849.6920630665,26849.6920630665,69822.6737213844,69822.6737213844,0.0,0.0,-0.0,0.0,0.0,228.8379752407888,228.8379752407888,282.6014340062548,282.6014340062548,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Strengberg',136.0,0.0,0.0,25773.0,0.0,60567.2870914444,0.0,0.0,0.0,0.0,0.0,0.0,268.5559875260323,0.0,315.19279858644376,0.0,25773.0,60567.2870914444,-0.0,0.0,268.5559875260323,315.19279858644376
A1,'Haag',143.54,1.0,0.0,28172.0,28172.0,72532.3838204059,72532.3838204059,0.0,0.0,-0.0,0.0,0.0,282.6014340062548,282.6014340062548,338.4513695479673,338.4513695479673,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Ennsblick',147.1,0.0,2.0,27181.0,0.0,59900.9099344678,0.0,0.0,0.0,0.0,0.0,0.0,315.19279858644376,0.0,361.31649923598286,0.0,27181.0,59900.9099344678,-0.0,0.0,315.19279858644376,361.31649923598286
A1,'Parkplatz Ennsdorf’,152.88,0.0,2.0,26232.408315204,0.0,30328.568123459,0.0,0.0,0.0,0.0,0.0,0.0,361.31649923598286,0.0,384.66949669104605,0.0,26232.408315204,30328.568123459,-0.0,0.0,361.31649923598286,384.66949669104605
A1,'Enns Süd',156.19,1.0,1.0,29648.7371150985,29648.7371150985,86236.6993060754,86236.6993060754,0.0,0.0,-0.0,0.0,0.0,338.4513695479673,338.4513695479673,404.8536280136454,404.8536280136454,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Enns Nord',156.79,0.0,1.0,29791.8873283766,0.0,22744.7688256149,0.0,0.0,0.0,0.0,0.0,0.0,384.66949669104605,0.0,402.18296868676885,0.0,29791.8873283766,22744.7688256149,-0.0,0.0,384.66949669104605,402.18296868676885
