Time of calculation: 20210928-162414; value of objective: -7050.09426802585;  acc=20.0;  ec=0.25;  e_tax=0.15;  cfix=50000;  cvar=10000;  eta=0.011; mu=0.5; tf_at_peak=0.2;  hours_of_constant_charging=20;  i=0.05;  T=20
highway,name,asfinag_position,direction,asfinag_type,traffic_flow,traffic_flow_0,energy_demand,energy_demand_0,pXi_dir,pYi_dir,pYi_dir_0,pE_charged,pE_charged_0,pE_input,pE_input_0,pE_output,pE_output_0,traffic_flow_1,energy_demand_1,pYi_dir_1,pE_charged_1,pE_input_1,pE_output_1
A1,'Parkplatz Großraum’,27.42,2.0,2.0,25490.0,12193.0,59974.3253495514,45433.2359044547,1.0,1.0,1.0,49.976559494900165,49.976559494900165,0.0,0.0,15.99519838960637,0.0,13297.0,14541.0894450967,-0.0,0.0,0.0,15.99519838960637
A1,'Steinhäusl',32.7,2.0,0.0,63195.9999999991,31485.9999999993,111561.5048226672,34431.8825500717,1.0,2.0,1.0,87.87507080507888,37.87507080507887,15.99519838960637,0.0,50.83778288946142,0.0,31709.9999999998,77129.6222725955,1.0,50.0,15.99519838960637,50.83778288946142
A1,'Kesselhof',44.88,1.0,1.0,30234.9999967191,0.0,109130.955699818,0.0,1.0,3.0,0.0,129.8175093964862,0.0,50.83778288946142,0.0,41.064324762775016,0.0,30234.9999967191,109130.955699818,3.0,129.8175093964862,50.83778288946142,41.064324762775016
A1,'Kirchstetten',44.88,0.0,1.0,29897.9999954276,29897.9999954276,72732.0809427628,72732.0809427628,1.0,1.0,1.0,50.0,50.0,0.0,0.0,30.005289037039077,30.005289037039077,0.0,0.0,0.0,0.0,0.0,0.0
A1,'St. Pölten',62.9,2.0,1.0,71148.0,35583.0,227454.8494341069,128422.417400266,1.0,6.0,3.0,277.2070661657857,127.20706616578569,71.06961379981409,30.005289037039077,44.06288201154599,44.06288201154599,35565.0,99032.4320338409,3.0,150.0,41.064324762775016,0.0
A1,'Schallaburg',76.81,1.0,1.0,29188.0,0.0,136934.360376389,0.0,1.0,2.0,0.0,100.0,0.0,0.0,0.0,50.6277964140279,0.0,29188.0,136934.360376389,2.0,100.0,0.0,50.6277964140279
A1,'Roggendorf',76.82,0.0,1.0,28377.0,28377.0,78562.3321961741,78562.3321961741,1.0,2.0,2.0,100.0,100.0,44.06288201154599,44.06288201154599,30.4814474273375,30.4814474273375,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Ornding',88.04,0.0,1.0,27048.0,27048.0,60488.0749227046,60488.0749227046,1.0,1.0,1.0,50.0,50.0,30.4814474273375,30.4814474273375,47.01832984231257,47.01832984231257,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Ybbs',100.32,1.0,0.0,27161.4044508388,0.0,104129.250667749,0.0,1.0,3.0,0.0,126.91135671930648,0.0,50.6277964140279,0.0,38.25861542924532,0.0,27161.4044508388,104129.250667749,3.0,126.91135671930648,50.6277964140279,38.25861542924532
A1,'Kemmelbach',101.38,0.0,0.0,26898.0000000002,26898.0000000002,72226.1001687065,72226.1001687065,1.0,2.0,2.0,100.0,100.0,47.01832984231257,47.01832984231257,26.467040027889723,26.467040027889723,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Viehdorf',118.17,0.0,1.0,25545.0,25545.0,92117.5706346928,92117.5706346928,1.0,2.0,2.0,100.0,100.0,26.467040027889723,26.467040027889723,27.7963677260518,27.7963677260518,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Amstetten',119.36,1.0,1.0,25407.0,0.0,56128.5314279588,0.0,1.0,2.0,0.0,100.0,0.0,38.25861542924532,0.0,0.0,0.0,25407.0,56128.5314279588,2.0,100.0,38.25861542924532,0.0
A1,'Parkplatz Zeillern’,124.31,0.0,2.0,24685.0,24685.0,24100.5747944984,24100.5747944984,0.0,0.0,0.0,0.0,0.0,27.7963677260518,27.7963677260518,54.30700000000004,54.30700000000004,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Oed',130.52,1.0,2.0,26849.6920630665,0.0,69822.6737213844,0.0,1.0,1.0,0.0,50.0,0.0,0.0,0.0,26.804941093522842,0.0,26849.6920630665,69822.6737213844,1.0,50.0,0.0,26.804941093522842
A1,'Strengberg',136.0,0.0,0.0,25773.0,25773.0,60567.2870914444,60567.2870914444,1.0,2.0,2.0,79.6605352500562,79.6605352500562,54.30700000000004,54.30700000000004,41.27048055053268,41.27048055053268,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Haag',143.54,1.0,0.0,28172.0,0.0,72532.3838204059,0.0,1.0,2.0,0.0,100.0,0.0,26.804941093522842,0.0,6.590563295969332,0.0,28172.0,72532.3838204059,2.0,100.0,26.804941093522842,6.590563295969332
A1,'Ennsblick',147.1,0.0,2.0,27181.0,27181.0,59900.9099344678,59900.9099344678,1.0,2.0,2.0,100.0,100.0,41.27048055053268,41.27048055053268,7.161481478447275,7.161481478447275,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Parkplatz Ennsdorf’,152.88,0.0,2.0,26232.408315204,26232.408315204,30328.568123459,30328.568123459,0.0,0.0,0.0,0.0,0.0,7.161481478447275,7.161481478447275,40.522906414252176,40.522906414252176,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Enns Süd',156.19,1.0,1.0,29648.7371150985,0.0,86236.6993060754,0.0,1.0,1.0,0.0,50.0,0.0,6.590563295969332,0.0,51.450932532652274,0.0,29648.7371150985,86236.6993060754,1.0,50.0,6.590563295969332,51.450932532652274
A1,'Enns Nord',156.79,0.0,1.0,29791.8873283766,29791.8873283766,22744.7688256149,22744.7688256149,0.0,0.0,0.0,0.0,0.0,40.522906414252176,40.522906414252176,65.54215212242856,65.54215212242856,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Ansfelden Süd',170.93,1.0,0.0,46681.6462052378,0.0,108599.646702595,0.0,1.0,3.0,0.0,150.0,0.0,51.450932532652274,0.0,20.91054390550677,0.0,46681.6462052378,108599.646702595,3.0,150.0,51.450932532652274,20.91054390550677
A1,'Ansfelden Nord',171.01,0.0,0.0,48225.5889671851,48225.5889671851,137729.456478428,137729.456478428,1.0,4.0,4.0,200.0,200.0,65.54215212242856,65.54215212242856,17.044554248699402,17.044554248699402,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Allhaming Süd',182.59,1.0,1.0,22273.0,0.0,132032.004986223,0.0,1.0,3.0,0.0,145.26942058992512,0.0,20.91054390550677,0.0,20.87632880042697,0.0,22273.0,132032.004986223,3.0,145.26942058992512,20.91054390550677,20.87632880042697
A1,'Allhaming Nord',182.6,0.0,1.0,22478.0,22478.0,52074.5961839218,52074.5961839218,1.0,1.0,1.0,49.999999999999986,49.999999999999986,17.044554248699402,17.044554248699402,24.326610051013397,24.326610051013397,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Lindach Nord',212.26,0.0,0.0,24091.0,24091.0,143292.18694581,143292.18694581,1.0,3.0,3.0,150.0,150.0,24.326610051013397,24.326610051013397,31.948015691404443,31.948015691404443,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Lindach Süd',212.27,1.0,0.0,24205.0,0.0,88500.7129286602,0.0,1.0,2.0,0.0,100.0,0.0,20.87632880042697,0.0,18.22711302195318,0.0,24205.0,88500.7129286602,2.0,100.0,20.87632880042697,18.22711302195318
A1,'Hainbach Süd',230.7,1.0,1.0,16641.0,0.0,43626.8866404899,0.0,1.0,1.0,0.0,50.0,0.0,18.22711302195318,0.0,16.21668832649207,0.0,16641.0,43626.8866404899,1.0,50.0,18.22711302195318,16.21668832649207
A1,'Hainbach Nord',230.72,0.0,1.0,15023.0,15023.0,55447.0737267175,55447.0737267175,1.0,2.0,2.0,91.77547794456902,91.77547794456902,31.948015691404443,31.948015691404443,1.1643188462246599,1.1643188462246599,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Straß',243.67,1.0,1.0,16828.6748354971,0.0,52286.933312582,0.0,1.0,1.0,0.0,50.0,0.0,16.21668832649207,0.0,23.73231497033227,0.0,16828.6748354971,52286.933312582,1.0,50.0,16.21668832649207,23.73231497033227
A1,'Wildenhag Nord',243.76,0.0,2.0,17111.5468081707,17111.5468081707,44396.0737761594,44396.0737761594,1.0,1.0,1.0,50.0,50.0,1.1643188462246599,1.1643188462246599,-3.552713678800501e-15,-3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Oberwang',251.03,0.0,1.0,15727.0,15727.0,23256.0522003105,23256.0522003105,0.0,0.0,0.0,0.0,0.0,-3.552713678800501e-15,-3.552713678800501e-15,25.581657420341546,25.581657420341546,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Mondsee',259.23,2.0,0.0,31060.001681777,15727.0008823286,60471.650280389,25342.3953371595,1.0,2.0,1.0,100.00000000000003,50.00000000000003,49.31397239067381,25.581657420341546,15.832787699101683,3.458292291216967,15333.0007994484,35129.2549432295,1.0,50.0,23.73231497033227,12.374495407884716
A1,‘Parkplatz Ölgraben’,268.98,0.0,2.0,18793.0,18793.0,36691.9585837841,36691.9585837841,1.0,1.0,1.0,23.865119564567056,23.865119564567056,3.458292291216967,3.458292291216967,19.95432716881242,19.95432716881242,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Vetterbach',270.63,1.0,2.0,18111.0,0.0,24972.4587201048,0.0,0.0,0.0,0.0,0.0,0.0,12.374495407884716,0.0,39.8442,0.0,18111.0,24972.4587201048,-0.0,0.0,12.374495407884716,39.8442
A1,'Enzersberg',274.82,0.0,2.0,21891.999995183,21891.999995183,25643.7025641729,25643.7025641729,0.0,0.0,0.0,0.0,0.0,19.95432716881242,19.95432716881242,48.162399989402616,48.162399989402616,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Salzburger Vorland',277.55,1.0,2.0,21776.0,0.0,38740.0928318722,0.0,1.0,1.0,0.0,40.295905317749686,0.0,39.8442,0.0,42.16239679730973,0.0,21776.0,38740.0928318722,1.0,40.295905317749686,39.8442,42.16239679730973
A1,'Söllheim',286.46,1.0,0.0,28864.5374641219,0.0,82339.639275179,0.0,1.0,2.0,0.0,100.0,0.0,42.16239679730973,0.0,32.73600000000661,0.0,28864.5374641219,82339.639275179,2.0,100.0,42.16239679730973,32.73600000000661
A1,'Kasern',287.89,0.0,0.0,38922.8495638266,38922.8495638266,101432.704040416,101432.704040416,1.0,3.0,3.0,146.1262066687527,146.1262066687527,48.162399989402616,48.162399989402616,13.612167765107515,13.612167765107515,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Walserberg Süd',300.71,1.0,0.0,14880.000000003,0.0,866.429923349707,0.0,1.0,1.0,0.0,33.68907291569129,0.0,32.73600000000661,0.0,0.0,0.0,14880.000000003,866.429923349707,1.0,33.68907291569129,32.73600000000661,0.0
A1,'Walserberg Nord',300.73,0.0,0.0,12964.0000000086,12964.0000000086,33079.8474862659,33079.8474862659,1.0,1.0,1.0,50.0,50.0,13.612167765107515,13.612167765107515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A10,'Glanegg/West',4.28,0.0,2.0,30225.0,30225.0,10702.5949598298,10702.5949598298,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,11.77285445581278,11.77285445581278,0.0,0.0,0.0,0.0,0.0,0.0
A10,'Untersberg/Ost',4.37,1.0,2.0,30061.0,0.0,79010.5399207519,0.0,1.0,1.0,0.0,50.0,0.0,0.0,0.0,36.91159391282709,0.0,30061.0,79010.5399207519,1.0,50.0,0.0,36.91159391282709
A10,'Bruderloch',17.53,1.0,2.0,24652.0,0.0,55144.783875779,0.0,1.0,2.0,0.0,89.5528372419765,0.0,36.91159391282709,0.0,8.01801893420749,0.0,24652.0,55144.783875779,2.0,89.5528372419765,36.91159391282709,8.01801893420749
A10,'Golling Ost',28.76,1.0,0.0,19647.000947721,0.0,83619.9827870841,0.0,1.0,2.0,0.0,100.0,0.0,8.01801893420749,0.0,0.0,0.0,19647.000947721,83619.9827870841,2.0,100.0,8.01801893420749,0.0
A10,'Golling West',28.82,0.0,0.0,19875.0006682874,19875.0006682874,97340.8180523858,97340.8180523858,1.0,2.0,2.0,100.0,100.0,11.77285445581278,11.77285445581278,18.84775431343715,18.84775431343715,0.0,0.0,0.0,0.0,0.0,0.0
A10,'Werfen',40.34,0.0,2.0,19354.0,19354.0,44743.3180465706,44743.3180465706,1.0,2.0,2.0,68.06540416466481,68.06540416466481,18.84775431343715,18.84775431343715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
