Time of calculation: 20210928-173200; value of objective: 2528589.5464749224;  acc=20.0;  ec=0.25;  e_tax=0.15;  cfix=150000;  cvar=10000;  eta=0.011; mu=0.5; tf_at_peak=0.1;  hours_of_constant_charging=20;  i=0.05;  T=10
highway,name,asfinag_position,direction,asfinag_type,traffic_flow,traffic_flow_0,energy_demand,energy_demand_0,pXi_dir,pYi_dir,pYi_dir_0,pE_charged,pE_charged_0,pE_input,pE_input_0,pE_output,pE_output_0,traffic_flow_1,energy_demand_1,pYi_dir_1,pE_charged_1,pE_input_1,pE_output_1
A1,'Steinhäusl',32.7,2.0,0.0,63195.9999999991,31485.9999999993,117655.82716694953,85223.0128830256,1.0,10000.0,9999.0,500000.0,499950.0,14999691.767658934,7999757.44189173,14499756.478363875,7499854.314548816,31709.9999999998,32432.814283923934,1.0,50.0,6999934.325767203,6999902.16381506
A1,'Kirchstetten',44.88,0.0,1.0,29897.9999954276,29897.9999954276,7273.2080942762805,7273.2080942762805,1.0,10000.0,10000.0,500000.0,500000.0,7499854.314548816,7499854.314548816,6999858.314813267,6999858.314813267,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Kesselhof',44.88,1.0,1.0,30234.9999967191,0.0,10913.0955699818,0.0,1.0,10000.0,0.0,500000.0,0.0,6999902.16381506,0.0,6499908.166017624,0.0,30234.9999967191,10913.0955699818,10000.0,500000.0,6999902.16381506,6499908.166017624
A1,'St. Pölten',62.9,2.0,1.0,71148.0,35583.0,22745.48494341069,12842.2417400266,1.0,10000.0,9999.0,500000.0,499950.0,13499766.480830891,6999858.314813267,12999778.99084761,6499915.378046225,35565.0,9903.24320338409,1.0,50.0,6499908.166017624,6499863.612801385
A1,'Schallaburg',76.81,1.0,1.0,29188.0,0.0,13693.436037638901,0.0,1.0,10000.0,0.0,500000.0,0.0,6499863.612801385,0.0,5999871.1441912055,0.0,29188.0,13693.436037638901,10000.0,500000.0,6499863.612801385,5999871.1441912055
A1,'Roggendorf',76.82,0.0,1.0,28377.0,28377.0,7856.23321961741,7856.23321961741,1.0,10000.0,10000.0,500000.0,500000.0,6499915.378046225,6499915.378046225,5999919.698974496,5999919.698974496,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Ornding',88.04,0.0,1.0,27048.0,27048.0,6048.807492270461,6048.807492270461,1.0,10000.0,10000.0,500000.0,500000.0,5999919.698974496,5999919.698974496,5499923.025818616,5499923.025818616,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Ybbs',100.32,1.0,0.0,27161.4044508388,0.0,10412.9250667749,0.0,1.0,10000.0,0.0,500000.0,0.0,5999871.1441912055,0.0,5499876.871299992,0.0,27161.4044508388,10412.9250667749,10000.0,500000.0,5999871.1441912055,5499876.871299992
A1,'Kemmelbach',101.38,0.0,0.0,26898.0000000002,26898.0000000002,7222.610016870651,7222.610016870651,1.0,10000.0,10000.0,500000.0,500000.0,5499923.025818616,5499923.025818616,4999926.998254125,4999926.998254125,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Viehdorf',118.17,0.0,1.0,25545.0,25545.0,9211.75706346928,9211.75706346928,1.0,10000.0,10000.0,500000.0,500000.0,4999926.998254125,4999926.998254125,4499932.06472051,4499932.06472051,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Amstetten',119.36,1.0,1.0,25407.0,0.0,5612.853142795881,0.0,1.0,10000.0,0.0,500000.0,0.0,5499876.871299992,0.0,4999879.958369221,0.0,25407.0,5612.853142795881,10000.0,500000.0,5499876.871299992,4999879.958369221
A1,'Strengberg',136.0,0.0,0.0,25773.0,25773.0,20517.073585843482,20517.073585843482,1.0,10000.0,10000.0,500000.0,500000.0,4499932.06472051,4499932.06472051,3999943.3491109814,3999943.3491109814,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Haag',143.54,1.0,0.0,28172.0,0.0,49146.84261487124,0.0,1.0,10000.0,0.0,500000.0,0.0,4999879.958369221,0.0,4499906.989132659,0.0,28172.0,49146.84261487124,10000.0,500000.0,4999879.958369221,4499906.989132659
A1,'Enns Süd',156.19,1.0,1.0,29648.7371150985,0.0,8623.66993060754,0.0,1.0,10000.0,0.0,500000.0,0.0,4499906.989132659,0.0,3999911.7321511204,0.0,29648.7371150985,8623.66993060754,10000.0,500000.0,4499906.989132659,3999911.7321511204
