Time of calculation: 20210929-145126; value of objective: 46981.98876565338;  acc=20.0;  ec=0.25;  e_tax=0.15;  cfix=150000;  cvar=10000;  eta=0.011;  hours_of_constant_charging=20;  i=0.05;  T=5
highway,name,asfinag_position,direction,asfinag_type,traffic_flow,traffic_flow_0,energy_demand,energy_demand_0,pXi_dir,pYi_dir,pYi_dir_0,pE_charged,pE_charged_0,pE_input,pE_input_0,pE_output,pE_output_0,traffic_flow_1,energy_demand_1,pYi_dir_1,pE_charged_1,pE_input_1,pE_output_1
A1,'Parkplatz Großraum’,27.42,2.0,2.0,25490.0,12193.0,59974.3253495514,45433.2359044547,1.0,2.0,1.0,8.37782889461414,0.0,0.0,0.0,651.3397499504512,499.76559494900164,13297.0,14541.0894450967,1.0,8.37782889461414,0.0,151.57415500144955
A1,'Steinhäusl',32.7,2.0,0.0,63195.9999999991,31485.9999999993,111561.5048226672,34431.8825500717,1.0,2.0,1.0,1678.569193370181,678.569193370181,651.3397499504512,499.76559494900164,199.94710962960926,199.94710962960926,31709.9999999998,77129.6222725955,1.0,1000.0,151.57415500144955,0.0
A1,'Kesselhof',44.88,1.0,1.0,30234.9999967191,0.0,109130.955699818,0.0,1.0,1.0,0.0,1000.0,0.0,0.0,0.0,200.44051269799797,0.0,30234.9999967191,109130.955699818,1.0,1000.0,0.0,200.44051269799797
A1,'Kirchstetten',44.88,0.0,1.0,29897.9999954276,29897.9999954276,72732.0809427628,72732.0809427628,1.0,1.0,1.0,1000.0,1000.0,199.94710962960926,199.94710962960926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,'St. Pölten',62.9,2.0,1.0,71148.0,35583.0,227454.8494341069,128422.417400266,1.0,2.0,1.0,2000.0,1000.0,200.44051269799797,0.0,702.4438564731738,412.6465914029259,35565.0,99032.4320338409,1.0,1000.0,200.44051269799797,289.79726507024793
A1,'Schallaburg',76.81,1.0,1.0,29188.0,0.0,136934.360376389,0.0,1.0,1.0,0.0,1000.0,0.0,289.79726507024793,0.0,796.0752292105269,0.0,29188.0,136934.360376389,1.0,1000.0,289.79726507024793,796.0752292105269
A1,'Roggendorf',76.82,0.0,1.0,28377.0,28377.0,78562.3321961741,78562.3321961741,1.0,1.0,1.0,1000.0,1000.0,412.6465914029259,412.6465914029259,276.832245560841,276.832245560841,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Ornding',88.04,0.0,1.0,27048.0,27048.0,60488.0749227046,60488.0749227046,1.0,1.0,1.0,942.2010697105916,942.2010697105916,276.832245560841,276.832245560841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Ybbs',100.32,1.0,0.0,27161.4044508388,0.0,104129.250667749,0.0,1.0,1.0,0.0,1000.0,0.0,796.0752292105269,0.0,941.496986555766,0.0,27161.4044508388,104129.250667749,1.0,1000.0,796.0752292105269,941.496986555766
A1,'Kemmelbach',101.38,0.0,0.0,26898.0000000002,26898.0000000002,72226.1001687065,72226.1001687065,1.0,1.0,1.0,178.57037883739247,178.57037883739247,0.0,0.0,615.916723018379,615.916723018379,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Viehdorf',118.17,0.0,1.0,25545.0,25545.0,92117.5706346928,92117.5706346928,1.0,1.0,1.0,0.0,0.0,615.916723018379,615.916723018379,1629.2099999999998,1629.2099999999998,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Amstetten',119.36,1.0,1.0,25407.0,0.0,56128.5314279588,0.0,1.0,1.0,0.0,1000.0,0.0,941.496986555766,0.0,558.9108322633127,0.0,25407.0,56128.5314279588,1.0,1000.0,941.496986555766,558.9108322633127
A1,'Parkplatz Zeillern’,124.31,0.0,2.0,24685.0,24685.0,24100.5747944984,24100.5747944984,1.0,1.0,1.0,1000.0,1000.0,1629.2099999999998,1629.2099999999998,894.3163227394821,894.3163227394821,0.0,0.0,0.0,0.0,0.0,0.0
