highway,name,asfinag_position,direction,asfinag_type,traffic_flow,traffic_flow_0,traffic_flow_1,energy_demand,energy_demand_0,energy_demand_1,pXi_dir,pYi_dir,pYi_dir_0,pYi_dir_1,pE_charged,pE_charged_0,pE_charged_1,pE_input,pE_input_0,pE_input_1,pE_output,pE_output_0,pE_output_1
A1,'Steinhäusl',32.7,2.0,0.0,63195.99999999913,31485.99999999933,31709.9999999998,228883.80989013438,151754.18761753893,77129.62227259546,1.0,194.0,68.0,126.0,194000.0,68000.00000000001,126000.0,91291.66997733204,0.0,91291.66997733204,289.38442789250985,289.38442789250985,0.0
A1,'Kirchstetten',44.88,0.0,1.0,29897.99999542764,29897.99999542764,0.0,72732.0809427628,72732.0809427628,0.0,1.0,1.0,1.0,0.0,1000.0000000000002,1000.0000000000002,0.0,289.38442789250985,289.38442789250985,0.0,32018.820852135657,32018.820852135657,0.0
A1,'Kesselhof',44.88,1.0,1.0,30234.999996719125,0.0,30234.999996719125,109130.95569981833,0.0,109130.95569981833,1.0,1.0,0.0,1.0,1000.0000000000002,0.0,1000.0000000000002,43182.73991241401,0.0,43182.73991241401,91291.66997733204,0.0,91291.66997733204
A1,'St. Pölten',62.9,2.0,0.0,71148.0,35583.0,35565.0,227454.84943410664,128422.41740026572,99032.43203384092,0.0,3.0,-0.0,3.0,2217.0386928828593,0.0,2217.0386928828593,32854.00504220411,32018.820852135657,835.1841900684522,132991.64859466924,89808.90868225523,43182.73991241401
A1,'Schallaburg',76.81,1.0,1.0,29188.0,0.0,29188.0,136934.36037638868,0.0,136934.36037638868,1.0,62.0,0.0,62.0,62000.000000000015,0.0,62000.000000000015,1214.7220206935744,0.0,1214.7220206935744,835.1841900684522,0.0,835.1841900684522
A1,'Roggendorf',76.82,0.0,1.0,28377.0,28377.0,0.0,78562.33219617409,78562.33219617409,0.0,1.0,1.0,1.0,0.0,1000.0000000000002,1000.0000000000002,0.0,89808.90868225523,89808.90868225523,0.0,124161.95817053327,124161.95817053327,0.0
A1,'Ornding',88.04,0.0,1.0,27048.0,27048.0,0.0,60488.07492270462,60488.07492270462,0.0,1.0,1.0,1.0,0.0,1000.0,1000.0,0.0,124161.95817053327,124161.95817053327,0.0,150381.59188575007,150381.59188575007,0.0
A1,'Ybbs',100.32,1.0,0.0,27161.40445083877,0.0,27161.40445083877,104129.25066774894,0.0,104129.25066774894,1.0,170.0,0.0,170.0,170000.00000000003,0.0,170000.00000000003,124356.55922020657,0.0,124356.55922020657,1214.7220206935744,0.0,1214.7220206935744
A1,'Kemmelbach',101.38,0.0,0.0,26898.000000000207,26898.000000000207,0.0,72226.10016870651,72226.10016870651,0.0,1.0,1.0,1.0,0.0,1000.0000000000002,1000.0000000000002,0.0,150381.59188575007,150381.59188575007,0.0,181883.33696166798,181883.33696166798,0.0
A1,'Viehdorf',118.17,0.0,1.0,25545.0,25545.0,0.0,92117.57063469278,92117.57063469278,0.0,1.0,223.0,223.0,0.0,222865.74737117713,222865.74737117713,0.0,181883.33696166798,181883.33696166798,0.0,470.49637610258696,470.49637610258696,0.0
A1,'Amstetten',119.36,1.0,1.0,25407.0,0.0,25407.0,122199.48177898517,0.0,122199.48177898517,1.0,1.0,0.0,1.0,1000.0000000000002,0.0,1000.0000000000002,70366.79241966325,0.0,70366.79241966325,124356.55922020657,0.0,124356.55922020657
A1,'Strengberg',136.0,0.0,0.0,25773.0,25773.0,0.0,85730.10314081071,85730.10314081071,0.0,1.0,1.0,1.0,0.0,1000.0000000000002,1000.0000000000002,0.0,470.49637610258696,470.49637610258696,0.0,38049.04278946741,38049.04278946741,0.0
A1,'Haag',143.54,1.0,0.0,28172.0,0.0,28172.0,72532.38382040594,0.0,72532.38382040594,1.0,1.0,0.0,1.0,1000.0000000000002,0.0,1000.0000000000002,38727.21970048058,0.0,38727.21970048058,70366.79241966325,0.0,70366.79241966325
A1,'Enns Süd',156.19,1.0,1.0,29648.737115098505,0.0,29648.737115098505,86236.6993060754,0.0,86236.6993060754,1.0,1.0,0.0,1.0,1000.0000000000002,0.0,1000.0000000000002,920.705012747072,0.0,920.705012747072,38727.21970048058,0.0,38727.21970048058
A1,'Enns Nord',156.79,0.0,1.0,29791.88732837659,29791.88732837659,0.0,122843.35235918174,122843.35235918174,0.0,1.0,1.0,1.0,0.0,1000.0000000000002,1000.0000000000002,0.0,38049.04278946741,38049.04278946741,0.0,92328.55135109919,92328.55135109919,0.0
