Time of calculation: 20211005-224620; value of objective: 907449.5375420441;  acc=20.0;  ec=0.25;  e_tax=0.15;  cfix=50000;  cvar=10000;  eta=1;  mu=0.5;  hours_of_constant_charging=20;  i=0.05;  T=10
highway,name,asfinag_position,direction,asfinag_type,traffic_flow,traffic_flow_0,traffic_flow_1,energy_demand,energy_demand_0,energy_demand_1,pXi_dir,pYi_dir,pYi_dir_0,pYi_dir_1,pE_charged,pE_charged_0,pE_charged_1,pE_input,pE_input_0,pE_input_1,pE_output,pE_output_0,pE_output_1
A1,'Steinhäusl',32.7,2.0,0.0,63195.99999999913,31485.99999999933,31709.9999999998,228883.80989013438,151754.18761753893,77129.62227259546,0.0,142.0,0.0,142.0,141646.50500312736,0.0,141646.50500312736,103081.69386682962,0.0,103081.69386682962,75877.09380876947,75877.09380876947,0.0
A1,'Kirchstetten',44.88,0.0,1.0,29897.99999542764,29897.99999542764,0.0,72732.0809427628,72732.0809427628,0.0,1.0,1.0,1.0,0.0,999.9999999999927,999.9999999999927,0.0,75877.09380876947,75877.09380876947,0.0,111243.13428015087,111243.13428015087,0.0
A1,'Kesselhof',44.88,1.0,1.0,30234.999996719125,0.0,30234.999996719125,109130.95569981833,0.0,109130.95569981833,1.0,1.0,0.0,1.0,1000.0,0.0,1000.0,49516.21601692046,0.0,49516.21601692046,103081.69386682962,0.0,103081.69386682962
A1,'St. Pölten',62.9,2.0,0.0,71148.0,35583.0,35565.0,227454.84943410664,128422.41740026572,99032.43203384092,1.0,173.0,173.0,0.0,172739.71930130885,172739.71930130885,0.0,111243.13428015087,111243.13428015087,0.0,52230.83969589535,2714.6236789748946,49516.21601692046
A1,'Schallaburg',76.81,1.0,1.0,29188.0,0.0,29188.0,136934.36037638868,0.0,136934.36037638868,1.0,69.0,0.0,69.0,69000.0,0.0,69000.0,532.8198118056607,0.0,532.8198118056607,0.0,0.0,0.0
A1,'Roggendorf',76.82,0.0,1.0,28377.0,28377.0,0.0,78562.33219617409,78562.33219617409,0.0,1.0,1.0,1.0,0.0,1000.0,1000.0,0.0,2714.6236789748946,2714.6236789748946,0.0,40995.78977706194,40995.78977706194,0.0
A1,'Ornding',88.04,0.0,1.0,27048.0,27048.0,0.0,60488.07492270462,60488.07492270462,0.0,1.0,69.0,69.0,0.0,69000.0,69000.0,0.0,40995.78977706194,40995.78977706194,0.0,2239.8272384142474,2239.8272384142474,0.0
A1,'Ybbs',100.32,1.0,0.0,27161.40445083877,0.0,27161.40445083877,104129.25066774894,0.0,104129.25066774894,1.0,53.0,0.0,53.0,53000.0,0.0,53000.0,1468.1944779311889,0.0,1468.1944779311889,532.8198118056607,0.0,532.8198118056607
A1,'Kemmelbach',101.38,0.0,0.0,26898.000000000207,26898.000000000207,0.0,72226.10016870651,72226.10016870651,0.0,1.0,1.0,1.0,0.0,1000.0,1000.0,0.0,2239.8272384142474,2239.8272384142474,0.0,37352.877322767505,37352.877322767505,0.0
A1,'Viehdorf',118.17,0.0,1.0,25545.0,25545.0,0.0,92117.57063469278,92117.57063469278,0.0,1.0,82.0,82.0,0.0,82000.0,82000.0,0.0,37352.877322767505,37352.877322767505,0.0,1411.6626401138928,1411.6626401138928,0.0
A1,'Amstetten',119.36,1.0,1.0,25407.0,0.0,25407.0,122199.48177898517,0.0,122199.48177898517,1.0,138.0,0.0,138.0,137016.08797480207,0.0,137016.08797480207,77384.54156324067,0.0,77384.54156324067,1468.1944779311889,0.0,1468.1944779311889
A1,'Strengberg',136.0,0.0,0.0,25773.0,25773.0,0.0,85730.10314081071,85730.10314081071,0.0,1.0,1.0,1.0,0.0,1000.0,1000.0,0.0,1411.6626401138928,1411.6626401138928,0.0,43276.71421051925,43276.71421051925,0.0
A1,'Haag',143.54,1.0,0.0,28172.0,0.0,28172.0,72532.38382040594,0.0,72532.38382040594,1.0,1.0,0.0,1.0,1000.0,0.0,1000.0,42118.3496530377,0.0,42118.3496530377,77384.54156324067,0.0,77384.54156324067
A1,'Enns Süd',156.19,1.0,1.0,29648.737115098505,0.0,29648.737115098505,86236.6993060754,0.0,86236.6993060754,1.0,1.0,0.0,1.0,1000.0,0.0,1000.0,0.0,0.0,0.0,42118.3496530377,0.0,42118.3496530377
A1,'Enns Nord',156.79,0.0,1.0,29791.88732837659,29791.88732837659,0.0,122843.35235918174,122843.35235918174,0.0,1.0,1.0,1.0,0.0,1000.0,1000.0,0.0,43276.71421051925,43276.71421051925,0.0,103698.39039011011,103698.39039011011,0.0
A1,'Ansfelden Süd',170.93,1.0,0.0,46681.64620523784,0.0,46681.64620523784,108599.64670259466,0.0,108599.64670259466,1.0,120.0,0.0,120.0,119315.8258444086,0.0,119315.8258444086,65016.00249311127,0.0,65016.00249311127,0.0,0.0,0.0
A1,'Ansfelden Nord',171.01,0.0,0.0,48225.58896718505,48225.58896718505,0.0,137729.45647842763,137729.45647842763,0.0,1.0,1.0,1.0,0.0,1000.0,1000.0,0.0,103698.39039011011,103698.39039011011,0.0,171563.11862932393,171563.11862932393,0.0
A1,'Allhaming Süd',182.59,1.0,1.0,22273.0,0.0,22273.0,132032.00498622254,0.0,132032.00498622254,1.0,1.0,0.0,1.0,1000.0,0.0,1000.0,0.0,0.0,0.0,65016.00249311127,0.0,65016.00249311127
A1,'Allhaming Nord',182.6,0.0,1.0,22478.0,22478.0,0.0,52074.59618392183,52074.59618392183,0.0,1.0,1.0,1.0,0.0,999.9999999999891,999.9999999999891,0.0,171563.11862932393,171563.11862932393,0.0,196600.41672128486,196600.41672128486,0.0
A1,'Lindach Nord',212.26,0.0,0.0,24091.0,24091.0,0.0,143292.1869458095,143292.1869458095,0.0,1.0,1.0,1.0,0.0,999.9999999999854,999.9999999999854,0.0,196600.41672128486,196600.41672128486,0.0,267246.5101941896,267246.5101941896,0.0
A1,'Lindach Süd',212.27,1.0,0.0,24205.0,0.0,24205.0,88500.71292866017,0.0,88500.71292866017,1.0,45.0,0.0,45.0,45000.0,0.0,45000.0,749.6435356699149,0.0,749.6435356699149,0.0,0.0,0.0
A1,'Hainbach Süd',230.7,1.0,1.0,16641.0,0.0,16641.0,43626.88664048988,0.0,43626.88664048988,1.0,88.0,0.0,88.0,87981.80453216565,0.0,87981.80453216565,66918.00474759063,0.0,66918.00474759063,749.6435356699149,0.0,749.6435356699149
A1,'Hainbach Nord',230.72,0.0,1.0,15023.0,15023.0,0.0,55447.073726717535,55447.073726717535,0.0,1.0,294.0,294.0,0.0,294000.0,294000.0,0.0,267246.5101941896,267246.5101941896,0.0,970.0470575483523,970.0470575483523,0.0
A1,'Straß',243.67,1.0,1.0,16828.67483549712,0.0,16828.67483549712,52286.93331258195,0.0,52286.93331258195,1.0,1.0,0.0,1.0,999.9999999999964,0.0,999.9999999999964,41774.538091299655,0.0,41774.538091299655,66918.00474759063,0.0,66918.00474759063
A1,'Oberwang',251.03,0.0,1.0,15727.0,15727.0,0.0,64059.905884903295,64059.905884903295,0.0,1.0,33.0,33.0,0.0,33000.0,33000.0,0.0,970.0470575483523,970.0470575483523,0.0,0.0,0.0,0.0
A1,'Mondsee',259.23,2.0,0.0,31060.001681777,15727.000882328592,15333.000799448411,108891.47151975876,25342.39533715945,83549.07618259931,1.0,1.0,1.0,0.0,1000.0,1000.0,0.0,0.0,0.0,0.0,53445.73575987938,11671.197668579725,41774.538091299655
A1,'Söllheim',286.46,1.0,0.0,28864.537464121862,0.0,28864.537464121862,82339.63927517904,0.0,82339.63927517904,1.0,42.0,0.0,42.0,41169.81963758952,0.0,41169.81963758952,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Kasern',287.89,0.0,0.0,38922.8495638266,38922.8495638266,0.0,223019.90593909277,223019.90593909277,0.0,1.0,1.0,1.0,0.0,1000.0,1000.0,0.0,11671.197668579725,11671.197668579725,0.0,122181.1506381261,122181.1506381261,0.0
