Time of calculation: 20211018-132934; value of objective: 138.37475133295365;  acc=20.0;  ec=0.25;  e_tax=0.15;  cfix=50000;  cvar=10000;  eta=0.011;  mu=0.5;  hours_of_constant_charging=20;  i=0.05;  T=10
highway,name,asfinag_position,direction,asfinag_type,traffic_flow,traffic_flow_1,energy_demand,energy_demand_1,pXi_dir,pYi_dir,pYi_dir_1,pE_charged,pE_charged_1,pE_input,pE_input_1,pE_output,pE_output_1,traffic_flow_0,energy_demand_0,pYi_dir_0,pE_charged_0,pE_input_0,pE_output_0
A1,'Steinhäusl',32.7,2.0,0.0,63195.99999999913,31709.9999999998,228883.80989013438,77129.62227259546,0.0,1.0,1.0,1258.860954395739,424.212922499275,16425.337259970307,3070.9687496268834,16425.337259970307,3070.9687496268834,31485.99999999933,151754.18761753893,-0.0,834.6480318964641,13354.368510343425,13354.368510343425
A1,'Kirchstetten',44.88,0.0,1.0,29897.99999542764,0.0,72732.0809427628,0.0,0.0,0.0,0.0,400.02644518519537,0.0,6000.396677777931,0.0,6000.396677777931,0.0,29897.99999542764,72732.0809427628,0.0,400.02644518519537,6000.396677777931,6000.396677777931
A1,'Kesselhof',44.88,1.0,1.0,30234.999996719125,30234.999996719125,109130.95569981833,109130.95569981833,0.0,0.0,-0.0,600.2202563490008,600.2202563490008,3042.9362471403892,3042.9362471403892,3042.9362471403892,3042.9362471403892,0.0,0.0,0.0,0.0,0.0,0.0
A1,'St. Pölten',62.9,2.0,0.0,71148.0,35565.0,227454.84943410664,99032.43203384092,0.0,0.0,0.0,1251.0016718875863,544.678376186125,13904.601740078408,4016.0756002579483,13904.601740078408,4016.0756002579483,35583.0,128422.41740026572,-0.0,706.3232957014615,9888.526139820458,9888.526139820458
A1,'Schallaburg',76.81,1.0,1.0,29188.0,29188.0,136934.36037638868,136934.36037638868,0.0,0.0,0.0,753.1389820701377,753.1389820701377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Roggendorf',76.82,0.0,1.0,28377.0,0.0,78562.33219617409,0.0,0.0,0.0,0.0,432.09282707895744,0.0,5617.206752026445,0.0,5617.206752026445,0.0,28377.0,78562.33219617409,0.0,432.09282707895744,5617.206752026445,5617.206752026445
A1,'Ornding',88.04,0.0,1.0,27048.0,0.0,60488.07492270462,0.0,0.0,0.0,0.0,332.68441207487535,0.0,3992.212944898505,0.0,3992.212944898505,0.0,27048.0,60488.07492270462,0.0,332.68441207487535,3992.212944898505,3992.212944898505
A1,'Ybbs',100.32,1.0,0.0,27161.40445083877,27161.40445083877,104129.25066774894,104129.25066774894,0.0,0.0,0.0,572.7108786726192,572.7108786726192,12510.923002790909,12510.923002790909,12510.923002790909,12510.923002790909,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Kemmelbach',101.38,0.0,0.0,26898.000000000207,0.0,72226.10016870651,0.0,0.0,0.0,0.0,397.2435509278858,0.0,4369.679060206744,0.0,4369.679060206744,0.0,26898.000000000207,72226.10016870651,0.0,397.2435509278858,4369.679060206744,4369.679060206744
A1,'Viehdorf',118.17,0.0,1.0,25545.0,0.0,92117.57063469278,0.0,0.0,0.0,0.0,506.64663849081023,0.0,5066.466384908103,0.0,5066.466384908103,0.0,25545.0,92117.57063469278,0.0,506.64663849081023,5066.466384908103,5066.466384908103
A1,'Amstetten',119.36,1.0,1.0,25407.0,25407.0,122199.48177898517,122199.48177898517,0.0,0.0,0.0,672.0971497844183,672.0971497844183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Strengberg',136.0,0.0,0.0,25773.0,0.0,85730.10314081071,0.0,0.0,0.0,0.0,471.5155672744589,0.0,4243.64010547013,0.0,4243.64010547013,0.0,25773.0,85730.10314081071,0.0,471.5155672744589,4243.64010547013,4243.64010547013
A1,'Haag',143.54,1.0,0.0,28172.0,28172.0,72532.38382040594,72532.38382040594,0.0,0.0,0.0,398.92811101223265,398.92811101223265,4613.373657122219,4613.373657122219,4613.373657122219,4613.373657122219,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Enns Süd',156.19,1.0,1.0,29648.737115098505,29648.737115098505,86236.6993060754,86236.6993060754,0.0,0.0,0.0,474.3018461834147,474.3018461834147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Enns Nord',156.79,0.0,1.0,29791.88732837659,0.0,122843.35235918174,0.0,0.0,0.0,0.0,675.6384379754995,0.0,5405.107503803996,0.0,5405.107503803996,0.0,29791.88732837659,122843.35235918174,0.0,675.6384379754995,5405.107503803996,5405.107503803996
A1,'Ansfelden Süd',170.93,1.0,0.0,46681.64620523784,46681.64620523784,108599.64670259466,108599.64670259466,0.0,0.0,0.0,597.2980568642706,597.2980568642706,5339.549684546443,5339.549684546443,5339.549684546443,5339.549684546443,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Ansfelden Nord',171.01,0.0,0.0,48225.58896718505,0.0,137729.45647842763,0.0,0.0,0.0,0.0,757.5120106313519,0.0,5302.584074419463,0.0,5302.584074419463,0.0,48225.58896718505,137729.45647842763,0.0,757.5120106313519,5302.584074419463,5302.584074419463
A1,'Allhaming Süd',182.59,1.0,1.0,22273.0,22273.0,132032.00498622254,132032.00498622254,0.0,0.0,0.0,726.1760274242239,726.1760274242239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Allhaming Nord',182.6,0.0,1.0,22478.0,0.0,52074.59618392183,0.0,0.0,0.0,0.0,286.41027901157,0.0,1718.4616740694203,0.0,1718.4616740694203,0.0,22478.0,52074.59618392183,0.0,286.41027901157,1718.4616740694203,1718.4616740694203
A1,'Lindach Nord',212.26,0.0,0.0,24091.0,0.0,143292.1869458095,0.0,0.0,0.0,0.0,788.1070282019522,0.0,3940.535141009761,0.0,3940.535141009761,0.0,24091.0,143292.1869458095,0.0,788.1070282019522,3940.535141009761,3940.535141009761
A1,'Lindach Süd',212.27,1.0,0.0,24205.0,24205.0,88500.71292866017,88500.71292866017,0.0,0.0,0.0,486.7539211076309,486.7539211076309,6066.251482176768,6066.251482176768,6066.251482176768,6066.251482176768,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Hainbach Süd',230.7,1.0,1.0,16641.0,16641.0,43626.88664048988,43626.88664048988,0.0,0.0,0.0,239.94787652269432,239.94787652269432,6353.829615395969,6353.829615395969,6353.829615395969,6353.829615395969,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Hainbach Nord',230.72,0.0,1.0,15023.0,0.0,55447.073726717535,0.0,0.0,0.0,0.0,304.95890549694644,0.0,1219.8356219877858,0.0,1219.8356219877858,0.0,15023.0,55447.073726717535,0.0,304.95890549694644,1219.8356219877858,1219.8356219877858
A1,'Straß',243.67,1.0,1.0,16828.67483549712,16828.67483549712,52286.93331258195,52286.93331258195,0.0,0.0,0.0,287.5781332192007,287.5781332192007,6813.349534400265,6813.349534400265,6813.349534400265,6813.349534400265,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Oberwang',251.03,0.0,1.0,15727.0,0.0,64059.905884903295,0.0,0.0,0.0,0.0,352.3294823669681,0.0,1056.9884471009043,0.0,1056.9884471009043,0.0,15727.0,64059.905884903295,0.0,352.3294823669681,1056.9884471009043,1056.9884471009043
A1,'Mondsee',259.23,2.0,0.0,31060.001681777,15333.000799448411,108891.47151975876,83549.07618259931,0.0,0.0,-0.0,598.9030933586731,459.5199190042962,278.766348708754,5.684341886080802e-14,278.7663487087539,0.0,15727.000882328592,25342.39533715945,0.0,139.38317435437696,278.7663487087539,278.7663487087539
A1,'Söllheim',286.46,1.0,0.0,28864.537464121862,28864.537464121862,82339.63927517904,82339.63927517904,1.0,8.0,8.0,452.8680160134847,452.8680160134847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Kasern',287.89,0.0,0.0,38922.8495638266,0.0,223019.90593909277,0.0,0.0,0.0,0.0,1226.60948266501,0.0,1226.60948266501,0.0,1226.60948266501,0.0,38922.8495638266,223019.90593909277,0.0,1226.60948266501,1226.60948266501,1226.60948266501
A1,'Walserberg Süd',300.71,1.0,0.0,14880.00000000295,14880.00000000295,866.4299233497069,866.4299233497069,1.0,1.0,1.0,4.765364578423387,4.765364578423387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Walserberg Nord',300.73,0.0,0.0,12964.000000008587,0.0,33079.84748626592,0.0,1.0,9.0,0.0,181.93916117446255,0.0,0.0,0.0,0.0,0.0,12964.000000008587,33079.84748626592,9.0,181.93916117446255,0.0,0.0
