highway,name,asfinag_position,direction,asfinag_type,traffic_flow,traffic_flow_0,traffic_flow_1,energy_demand,energy_demand_0,energy_demand_1,pYi_dir,pYi_dir_0,pYi_dir_1,pE_charged,pE_charged_0,pE_charged_1,pE_input,pE_input_0,pE_input_1,pE_output,pE_output_0,pE_output_1,pXi
A1,'Steinhäusl',32.7,2.0,0.0,63195.99999999913,31485.99999999933,31709.9999999998,228883.80989013438,151754.18761753893,77129.62227259546,100000.0,0.0,100000.0,99999999.99999999,0.0,99999999.99999999,99999575.78707749,0.0,99999575.78707749,834.6480318964641,834.6480318964641,0.0,1
A1,'Kesselhof',44.88,1.0,1.0,30234.999996719125,0.0,30234.999996719125,109130.95569981833,0.0,109130.95569981833,0.0,0.0,0.0,0.0,0.0,0.0,99998975.56682116,0.0,99998975.56682116,99999575.78707749,0.0,99999575.78707749,0
A1,'Kirchstetten',44.88,0.0,1.0,29897.99999542764,29897.99999542764,0.0,72732.0809427628,72732.0809427628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,834.6480318964641,834.6480318964641,0.0,1234.6744770816595,1234.6744770816595,0.0,0
A1,'St. Pölten',62.9,2.0,0.0,71148.0,35583.0,35565.0,227454.84943410664,128422.41740026572,99032.43203384092,-99983.0,-99983.0,0.0,-99982999.99999999,0.0,-99982999.99999999,16665.56292205404,1234.6744770816595,15430.88844497238,100000916.56459394,1940.997772783121,99998975.56682116,0
A1,'Schallaburg',76.81,1.0,1.0,29188.0,0.0,29188.0,136934.36037638868,0.0,136934.36037638868,0.0,0.0,0.0,0.0,0.0,0.0,14677.749462902242,0.0,14677.749462902242,15430.88844497238,0.0,15430.88844497238,0
A1,'Roggendorf',76.82,0.0,1.0,28377.0,28377.0,0.0,78562.33219617409,78562.33219617409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1940.997772783121,1940.997772783121,0.0,2373.0905998620783,2373.0905998620783,0.0,0
A1,'Ornding',88.04,0.0,1.0,27048.0,27048.0,0.0,60488.07492270462,60488.07492270462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2373.0905998620783,2373.0905998620783,0.0,2705.775011936954,2705.775011936954,0.0,0
A1,'Ybbs',100.32,1.0,0.0,27161.40445083877,0.0,27161.40445083877,104129.25066774894,0.0,104129.25066774894,0.0,0.0,0.0,0.0,0.0,0.0,14105.038584229624,0.0,14105.038584229624,14677.749462902242,0.0,14677.749462902242,0
A1,'Kemmelbach',101.38,0.0,0.0,26898.000000000207,26898.000000000207,0.0,72226.10016870651,72226.10016870651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2705.775011936954,2705.775011936954,0.0,3103.0185628648396,3103.0185628648396,0.0,0
A1,'Viehdorf',118.17,0.0,1.0,25545.0,25545.0,0.0,92117.57063469278,92117.57063469278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3103.0185628648396,3103.0185628648396,0.0,3609.66520135565,3609.66520135565,0.0,0
A1,'Amstetten',119.36,1.0,1.0,25407.0,0.0,25407.0,122199.48177898517,0.0,122199.48177898517,0.0,0.0,0.0,0.0,0.0,0.0,13432.941434445205,0.0,13432.941434445205,14105.038584229624,0.0,14105.038584229624,0
A1,'Strengberg',136.0,0.0,0.0,25773.0,25773.0,0.0,85730.10314081071,85730.10314081071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3609.66520135565,3609.66520135565,0.0,4081.180768630109,4081.180768630109,0.0,0
A1,'Haag',143.54,1.0,0.0,28172.0,0.0,28172.0,72532.38382040594,0.0,72532.38382040594,0.0,0.0,0.0,0.0,0.0,0.0,13034.013323432973,0.0,13034.013323432973,13432.941434445205,0.0,13432.941434445205,0
A1,'Enns Süd',156.19,1.0,1.0,29648.737115098505,0.0,29648.737115098505,86236.6993060754,0.0,86236.6993060754,0.0,0.0,0.0,6.252776074688882e-13,0.0,6.252776074688882e-13,12559.711477249559,0.0,12559.711477249559,13034.013323432973,0.0,13034.013323432973,0
A1,'Enns Nord',156.79,0.0,1.0,29791.88732837659,29791.88732837659,0.0,122843.35235918174,122843.35235918174,0.0,0.0,0.0,0.0,1.1368683772161603e-13,1.1368683772161603e-13,0.0,4081.180768630109,4081.180768630109,0.0,4756.819206605608,4756.819206605608,0.0,0
A1,'Ansfelden Süd',170.93,1.0,0.0,46681.64620523784,0.0,46681.64620523784,108599.64670259466,0.0,108599.64670259466,0.0,0.0,0.0,0.0,0.0,0.0,11962.413420385288,0.0,11962.413420385288,12559.711477249559,0.0,12559.711477249559,0
A1,'Ansfelden Nord',171.01,0.0,0.0,48225.58896718505,48225.58896718505,0.0,137729.45647842763,137729.45647842763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4756.819206605608,4756.819206605608,0.0,5514.33121723696,5514.33121723696,0.0,0
A1,'Allhaming Süd',182.59,1.0,1.0,22273.0,0.0,22273.0,132032.00498622254,0.0,132032.00498622254,0.0,0.0,0.0,0.0,0.0,0.0,11236.237392961064,0.0,11236.237392961064,11962.413420385288,0.0,11962.413420385288,0
A1,'Allhaming Nord',182.6,0.0,1.0,22478.0,22478.0,0.0,52074.59618392183,52074.59618392183,0.0,0.0,0.0,0.0,5.684341886080802e-14,5.684341886080802e-14,0.0,5514.33121723696,5514.33121723696,0.0,5800.74149624853,5800.74149624853,0.0,0
A1,'Lindach Nord',212.26,0.0,0.0,24091.0,24091.0,0.0,143292.1869458095,143292.1869458095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5800.74149624853,5800.74149624853,0.0,6588.848524450483,6588.848524450483,0.0,0
A1,'Lindach Süd',212.27,1.0,0.0,24205.0,0.0,24205.0,88500.71292866017,0.0,88500.71292866017,0.0,0.0,0.0,5.684341886080802e-14,0.0,5.684341886080802e-14,10749.483471853433,0.0,10749.483471853433,11236.237392961064,0.0,11236.237392961064,0
A1,'Hainbach Süd',230.7,1.0,1.0,16641.0,0.0,16641.0,43626.88664048988,0.0,43626.88664048988,0.0,0.0,0.0,0.0,0.0,0.0,10509.535595330739,0.0,10509.535595330739,10749.483471853433,0.0,10749.483471853433,0
A1,'Hainbach Nord',230.72,0.0,1.0,15023.0,15023.0,0.0,55447.073726717535,55447.073726717535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6588.848524450483,6588.848524450483,0.0,6893.807429947428,6893.807429947428,0.0,0
A1,'Straß',243.67,1.0,1.0,16828.67483549712,0.0,16828.67483549712,52286.93331258195,0.0,52286.93331258195,0.0,0.0,0.0,0.0,0.0,0.0,10221.957462111539,0.0,10221.957462111539,10509.535595330739,0.0,10509.535595330739,0
A1,'Oberwang',251.03,0.0,1.0,15727.0,15727.0,0.0,64059.905884903295,64059.905884903295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6893.807429947428,6893.807429947428,0.0,7246.136912314396,7246.136912314396,0.0,0
A1,'Mondsee',259.23,2.0,0.0,31060.001681777,15727.000882328592,15333.000799448411,108891.47151975876,25342.39533715945,83549.07618259931,0.0,0.0,0.0,-510.7354320070863,8794.068730508248,-9304.804162515335,7703.770292906304,7246.136912314396,457.63338059190806,8813.408818272066,-1408.5486438394728,10221.957462111539,0
A1,'Söllheim',286.46,1.0,0.0,28864.537464121862,0.0,28864.537464121862,82339.63927517904,0.0,82339.63927517904,0.0,0.0,0.0,0.0,0.0,0.0,4.765364578423387,0.0,4.765364578423387,457.63338059190806,0.0,457.63338059190806,0
A1,'Kasern',287.89,0.0,0.0,38922.8495638266,38922.8495638266,0.0,223019.90593909277,223019.90593909277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1408.5486438394728,-1408.5486438394728,0.0,-181.9391611744627,-181.9391611744627,0.0,0
A1,'Walserberg Süd',300.71,1.0,0.0,14880.00000000295,0.0,14880.00000000295,866.4299233497069,0.0,866.4299233497069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.765364578423387,0.0,4.765364578423387,0
A1,'Walserberg Nord',300.73,0.0,0.0,12964.000000008587,12964.000000008587,0.0,33079.84748626592,33079.84748626592,0.0,0.0,0.0,0.0,-1.4210854715202004e-13,-1.4210854715202004e-13,0.0,-181.9391611744627,-181.9391611744627,0.0,0.0,0.0,0.0,0
A10,'Golling Ost',28.76,1.0,0.0,19647.00094772099,0.0,19647.00094772099,119966.62316808572,0.0,119966.62316808572,0.0,0.0,0.0,-1.1368683772161603e-13,0.0,-1.1368683772161603e-13,-659.8164274244715,0.0,-659.8164274244715,0.0,0.0,0.0,0
A10,'Golling West',28.82,0.0,0.0,19875.000668287423,19875.000668287423,0.0,104378.50480107158,104378.50480107158,0.0,-99995.0,-99995.0,0.0,-99995000.0,-99995000.0,0.0,0.0,0.0,0.0,99995574.08177641,99995574.08177641,0.0,0
A10,'Eben Süd',59.21,2.0,0.0,31555.3674870556,15997.416619605658,15557.95086744994,63864.366982730906,73.98398827676816,63790.382994454136,0.0,0.0,0.0,0.0,0.0,0.0,99994563.02253312,99995574.08177641,-1011.059243294475,99994914.27655153,99995574.48868835,-660.2121368249773,0
A10,'Eben Nord',59.32,2.0,0.0,31554.16119307871,15997.1632592005,15556.997933878209,97642.35981166828,97570.41264793991,71.94716372837226,0.0,0.0,0.0,0.0,0.0,0.0,99994914.27655153,99995574.48868835,-660.2121368249773,99995451.30953048,99996111.1259579,-659.8164274244715,0
A10,'Tauernalm',79.79,2.0,0.0,21522.867721662667,10903.654559151322,10619.213162511343,88819.6820605424,44706.93514161317,44112.74691892924,0.0,0.0,0.0,0.0,-2185.5644881107205,2185.5644881107205,99997043.01109467,99996111.1259579,931.8851367621346,99997531.519346,99998542.57858929,-1011.059243294475,0
A10,'Lungau',97.91,0.0,0.0,10877.0,10877.0,0.0,39524.43281357246,39524.43281357246,0.0,0.0,0.0,0.0,-437.33513371104345,-437.33513371104345,0.0,99998542.57858929,99998542.57858929,0.0,99999197.29810348,99999197.29810348,0.0,0
A10,'Lanschütz',100.6,1.0,1.0,10558.5,0.0,10558.5,53393.23087724362,0.0,53393.23087724362,0.0,0.0,0.0,0.0,0.0,0.0,638.2223669372947,0.0,638.2223669372947,931.8851367621346,0.0,931.8851367621346,0
A10,'Eisentratten',125.92,2.0,0.0,14180.999999999998,6877.999999999999,7302.999999999999,90988.98323942441,38359.86860817266,52629.11463125176,0.0,0.0,0.0,0.0,0.0,0.0,99999546.06033994,99999197.29810348,348.76223646541007,100000046.49974777,99999408.27738082,638.2223669372947,0
A10,'Feistritz an der Drau',162.01,2.0,0.0,29679.0,14929.0,14750.0,170997.24647957023,107585.93075858656,63411.31572098366,100000.0,0.0,100000.0,100000000.0,100000000.0,0.0,99999408.27738082,99999408.27738082,0.0,348.76223646541007,0.0,348.76223646541007,1
A11,'Rosegg',9.04,2.0,0.0,9108.5,4306.5,4802.0,19444.03423128799,7806.040740767851,11637.99349052014,1.0,0.0,1.0,106.94218827208395,42.933224074223176,64.00896419786078,0.0,0.0,0.0,0.0,0.0,0.0,1
A12,'Angath Süd',14.1,2.0,0.0,39222.99999999994,19907.99999999997,19314.99999999997,56148.10872631689,56144.28825076325,3.820475553634762,100000.0,0.0,100000.0,100000000.0,0.0,100000000.0,99999999.97898738,0.0,99999999.97898738,308.79358537919785,308.79358537919785,0.0,1
A12,'Angath Nord',14.22,2.0,0.0,39222.99999999994,19907.99999999997,19314.99999999997,86003.9180407436,3.93776998818332,85999.98027075542,0.0,0.0,0.0,0.0,308.79358537919785,-308.79358537919785,99999526.97909589,308.79358537919785,99999218.18551052,100000000.00064512,0.02165773493500826,99999999.97898738,0
A12,'Münster Nord',35.71,0.0,1.0,18334.0,18334.0,0.0,79565.35290639894,79565.35290639894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02165773493500826,0.02165773493500826,0.0,437.63109872012916,437.63109872012916,0.0,0
A12,'Münster Süd',36.25,1.0,1.0,18162.0,0.0,18162.0,51027.0984567292,0.0,51027.0984567292,0.0,0.0,0.0,6.3848801801213995e-09,0.0,6.3848801801213995e-09,99998937.53646901,0.0,99998937.53646901,99999218.18551052,0.0,99999218.18551052,0
A12,'Vomp',50.47,1.0,0.0,24431.999999991072,0.0,24431.999999991072,22234.356307397185,0.0,22234.356307397185,0.0,0.0,0.0,0.0,0.0,0.0,99998815.24750932,0.0,99998815.24750932,99998937.53646901,0.0,99998937.53646901,0
A12,'Weer',54.8,0.0,0.0,24110.000189607712,24110.000189607712,0.0,91922.39487971723,91922.39487971723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.63109872012916,437.63109872012916,0.0,943.2042705585739,943.2042705585739,0.0,0
A12,'Weer Süd',55.0,1.0,1.0,24141.001987531265,0.0,24141.001987531265,197089.950526282,0.0,197089.950526282,0.0,0.0,0.0,-199.4700799883542,0.0,-199.4700799883542,99997531.78270143,0.0,99997531.78270143,99998815.24750932,0.0,99998815.24750932,0
A12,'Ampaß',72.07,0.0,0.0,35539.999996608014,35539.999996608014,0.0,123154.22328142951,123154.22328142951,0.0,-99994.0,-99994.0,0.0,-99994000.0,-99994000.0,0.0,943.2042705585739,943.2042705585739,0.0,99995620.55249861,99995620.55249861,0.0,0
A12,'Zirl-Inzing',91.77,0.0,1.0,20799.0,20799.0,0.0,82023.58476167452,82023.58476167452,0.0,0.0,0.0,0.0,3.173681761836633e-09,3.173681761836633e-09,0.0,99995620.55249861,99995620.55249861,0.0,99996071.6822148,99996071.6822148,0.0,0
A12,'Pettnau',95.81,2.0,0.0,37922.0,18889.0,19033.0,165593.5507511032,14638.245573299051,150955.30517780414,0.0,0.0,0.0,0.0,99996599.83972457,-99996599.83972457,99996173.37101318,99996071.6822148,101.6887983857019,99997084.13554232,-447.6471591204995,99997531.78270143,0
A12,'Mils',135.51,2.0,0.0,19502.000000000833,10262.00000000003,9240.000000000804,99879.26500112754,81390.39256736355,18488.872433763983,0.0,0.0,0.0,0.0,0.0,0.0,-447.6471591204995,-447.6471591204995,0.0,101.6887983857019,0.0,101.6887983857019,0
A13,'Europabrücke',8.27,2.0,0.0,41638.0,21023.0,20615.0,70370.3325587005,34547.02051314864,35823.31204555185,100000.0,0.0,100000.0,100000000.00000001,0.0,100000000.00000001,99999802.97178376,0.0,99999802.97178376,190.0086128223175,190.0086128223175,0.0,1
A13,'Matrei West',16.79,0.0,0.0,15161.0,15161.0,0.0,25846.426928735076,25846.426928735076,0.0,-99998.0,-99998.0,0.0,-99998000.0,-99998000.0,0.0,190.0086128223175,190.0086128223175,0.0,99998332.16396093,99998332.16396093,0.0,0
A13,'Matrei Ost',16.95,2.0,0.0,29983.0,15161.0,14822.0,36929.252580801745,499.30355502003806,36429.94902578171,0.0,0.0,0.0,0.0,0.0,0.0,199997934.77102506,99998332.16396093,99999602.60706411,199998137.88191426,99998334.91013049,99999802.97178376,0
A13,'Nößlach',26.91,2.0,1.0,12027.916375220364,12027.916375220364,0.0,26003.24170150209,26003.24170150209,0.0,0.0,0.0,0.0,8.260059303211165e-14,8.260059303211165e-14,0.0,99998334.91013049,99998334.91013049,0.0,99998477.92795984,99998477.92795984,0.0,0
A13,'Gries Ost',29.15,1.0,0.0,11601.99774413572,0.0,11601.99774413572,11387.01827145676,0.0,11387.01827145676,0.0,0.0,0.0,0.0,0.0,0.0,99999539.97846362,0.0,99999539.97846362,99999602.60706411,0.0,99999602.60706411,0
A13,'Gries West',29.54,0.0,0.0,12036.99974796117,12036.99974796117,0.0,4238.013247571624,4238.013247571624,0.0,0.0,0.0,0.0,-973.1447149568202,-973.1447149568202,0.0,99998477.92795984,99998477.92795984,0.0,99999474.38174766,99999474.38174766,0.0,0
