Time of calculation: 20211122-205621; value of objective: 866385.6065189048;  acc=20.0;  ec=0.25;  e_tax=0.15;  cfix=150000;  cvar=10000;  eta=0.011;  mu=0.5;  hours_of_constant_charging=20;  i=0.05;  T=10
highway,name,asfinag_position,direction,asfinag_type,traffic_flow,traffic_flow_0,traffic_flow_1,energy_demand,energy_demand_0,energy_demand_1,pYi_dir,pYi_dir_0,pYi_dir_1,pE_charged,pE_charged_0,pE_charged_1,pE_input,pE_input_0,pE_input_1,pE_output,pE_output_0,pE_output_1,pXi
A1,'Steinhäusl',32.7,2.0,0.0,63195.99999999913,31485.99999999933,31709.9999999998,228883.80989013438,151754.18761753893,77129.62227259546,9.0,0.0,9.0,8529.843869387914,834.6480318964641,7695.195837491449,7270.982914992174,0.0,7270.982914992174,0.0,0.0,0.0,1
A1,'Kirchstetten',44.88,0.0,1.0,29897.99999542764,29897.99999542764,0.0,72732.0809427628,72732.0809427628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.02644518519537,400.02644518519537,0.0,0
A1,'Kesselhof',44.88,1.0,1.0,30234.999996719125,0.0,30234.999996719125,109130.95569981833,0.0,109130.95569981833,0.0,0.0,0.0,0.0,0.0,0.0,6670.762658643173,0.0,6670.762658643173,7270.982914992174,0.0,7270.982914992174,0
A1,'St. Pölten',62.9,2.0,0.0,71148.0,35583.0,35565.0,227454.84943410664,128422.41740026572,99032.43203384092,0.0,0.0,0.0,0.0,0.0,0.0,6526.110727642244,400.02644518519537,6126.084282457048,7777.11239952983,1106.349740886657,6670.762658643173,0
A1,'Schallaburg',76.81,1.0,1.0,29188.0,0.0,29188.0,136934.36037638868,0.0,136934.36037638868,0.0,0.0,0.0,0.0,0.0,0.0,5372.94530038691,0.0,5372.94530038691,6126.084282457048,0.0,6126.084282457048,0
A1,'Roggendorf',76.82,0.0,1.0,28377.0,28377.0,0.0,78562.33219617409,78562.33219617409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1106.349740886657,1106.349740886657,0.0,1538.4425679656144,1538.4425679656144,0.0,0
A1,'Ornding',88.04,0.0,1.0,27048.0,27048.0,0.0,60488.07492270462,60488.07492270462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1538.4425679656144,1538.4425679656144,0.0,1871.1269800404898,1871.1269800404898,0.0,0
A1,'Ybbs',100.32,1.0,0.0,27161.40445083877,0.0,27161.40445083877,104129.25066774894,0.0,104129.25066774894,0.0,0.0,0.0,0.0,0.0,0.0,4800.234421714291,0.0,4800.234421714291,5372.94530038691,0.0,5372.94530038691,0
A1,'Kemmelbach',101.38,0.0,0.0,26898.000000000207,26898.000000000207,0.0,72226.10016870651,72226.10016870651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1871.1269800404898,1871.1269800404898,0.0,2268.3705309683755,2268.3705309683755,0.0,0
A1,'Viehdorf',118.17,0.0,1.0,25545.0,25545.0,0.0,92117.57063469278,92117.57063469278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2268.3705309683755,2268.3705309683755,0.0,2775.017169459186,2775.017169459186,0.0,0
