,nb_cs,nb_poles,costs,non_covered_energy,perc_not_charged,datetime_of_calculation,scenarios,eta,cars ,kW,€/kW,BEVs,€/BEV,total KW,rel. diff
0,54,458,54046000,6477.469994,0.054425304345569,2022-02-09 00:13:48.859556,Directed Transition,23,5009984,146300,369.419002050581,1025543.7248,52.6998495461907,160300,0
1,54,564,67508000,8156.813212,0.054425295994283,2022-02-08 22:23:40.842273,Techno-Friendly,34,5009984,183400,368.091603053435,1516021.1584,44.5297215186941,197400,0.249084113532916
2,55,815,99425000,7804.17931,0.054425295612737,2022-02-09 00:33:33.510827,Gradual Development,23,5009984,271250,366.543778801843,1152296.32,86.2842293898847,285250,0.839636605854272
3,54,700,84780000,6780.965859,0.054425300080873,2022-02-08 22:50:32.275904,Societal Commitment,34,5009984,231000,367.012987012987,1175342.2464,72.1321812941514,245000,0.568663730895903
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,54046000,,,,,,,,,
