,nb_cs,nb_poles,costs,non_covered_energy,perc_not_charged,datetime_of_calculation,,eta,a,Diff-KW,cars,€/kW,cars2030,€/BEV,total kW,rel. diff costs
3,55,526,62722000,5218.165304,0.054425304090189,2022-02-01 16:57:16.801179,,33.49,0.69,170100,5100000,368.736037624926,1178513.1,53.2213006372182,184100,0.820773339526242
0,54,433,50871000,6295.664481,0.054425290098539,2022-02-01 16:06:58.981349,,33.59,0.83,137550,5100000,369.836423118866,1421864.7,35.7776657652447,151550,0.476747561542034
1,53,304,34448000,4323.934665,0.054425287218878,2022-02-01 16:26:04.631131,,23.07,0.83,92400,5100000,372.813852813853,976553.1,35.2750915439212,106400,0
2,54,559,66873000,5209.559598,0.054425282156261,2022-02-01 16:42:48.072570,,23.07,1,181650,5100000,368.142031379026,1176570,56.8372472526072,195650,0.941273803994426
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,34448000,,,,,,,,,,,,,
