segment_id,dir,type_ID,POI_ID,traffic_flow,traffic_flow_0,traffic_flow_1,energy_demand,energy_demand_0,energy_demand_1,dist_along_segment,pois_type,pYi_dir,pYi_dir_0,pYi_dir_1,pE_charged,pE_charged_0,pE_charged_1,pE_input,pE_input_0,pE_input_1,pE_output,pE_output_0,pE_output_1,pXi
0.0,2.0,0.0,0.0,26540.636112053,13243.0239038645,13297.6122081885,4423.92123143818,0.0,4423.92123143818,0.0,link,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685.256,0.0,685.256,0
0.0,2.0,1.0,1.0,26594.7769799282,13269.4415749127,13325.3354050155,810.003976920776,31.774775427221,778.229201493555,239.715824101164,ra,9.0,9.0,0.0,2187.0,4.922,2182.078,2061.532,0.0,2061.532,0.0,0.0,0.0,1
0.0,2.0,0.0,2.0,45891.0713847726,24132.5354848012,21758.5358999714,10453.07839190074,5371.86342144895,5081.21497045179,24427.462160298,ra,4.0,0.0,4.0,972.0000000000007,164.81511904761896,807.1848809523817,2081.6468809523817,0.0,2081.6468809523817,2728.806880952381,667.2748809523811,2061.532,1
0.0,1.0,2.0,3.0,5594.60627343411,0.0,5594.60627343411,2065.98540498995,0.0,2065.98540498995,68504.6013106114,ra,4.0,0.0,4.0,972.0,0.0,972.0,2733.6298809523814,0.0,2733.6298809523814,2081.6468809523817,0.0,2081.6468809523817,1
0.0,0.0,3.0,4.0,4553.08388931748,4553.08388931748,0.0,7187.4483251383,7187.4483251383,0.0,79329.1374904099,ra,5.0,5.0,0.0,1215.0,1215.0,0.0,667.2748809523811,667.2748809523811,0.0,565.595880952381,565.595880952381,0.0,1
0.0,2.0,4.0,5.0,7895.539602766939,4645.32330643337,3250.21629633357,2342.9750495919798,1038.66179081139,1304.31325878059,104473.71241617,ra,3.0,0.0,3.0,728.9999999999999,526.9649999999999,202.035,3299.2257619047623,565.595880952381,2733.6298809523814,2933.1477619047623,199.517880952381,2733.6298809523814,1
0.0,2.0,5.0,6.0,19815.36822147166,9562.72950758806,10252.6387138836,7959.02626511719,2076.95503589247,5882.07122922472,133409.21035476,ra,0.0,0.0,0.0,0.0,0.0,0.0,2022.0267619047622,199.517880952381,1822.5088809523813,3254.863761904762,521.233880952381,2733.6298809523814,0
0.0,2.0,6.0,7.0,38420.413170467305,19234.6634945469,19185.7496759204,10291.73164091456,4957.10120865155,5334.63043226301,173065.413799776,ra,2.0,0.0,2.0,485.99999999999983,485.99999999999983,0.0,1517.4197619047627,521.233880952381,996.1858809523816,2625.5877619047624,803.0788809523813,1822.5088809523813,1
0.0,1.0,7.0,8.0,21229.4573799075,0.0,21229.4573799075,31.9071906889248,0.0,31.9071906889248,176940.22069629,ra,0.0,0.0,0.0,0.0,0.0,0.0,991.2438809523809,0.0,991.2438809523809,996.1858809523816,0.0,996.1858809523816,0
0.0,2.0,0.0,9.0,50605.7308716768,25638.9023938735,24966.8284778033,5210.17855174236,5210.17855174236,0.0,194059.964946131,link,0.0,0.0,0.0,0.0,0.0,0.0,1794.322761904762,803.0788809523813,991.2438809523809,2601.3687619047623,1610.1248809523813,991.2438809523809,0
1.0,2.0,0.0,10.0,41635.2696746832,21021.6267553003,20613.6429193829,39.7761865009555,0.0,39.7761865009555,0.0,link,0.0,0.0,0.0,0.0,0.0,0.0,1882.2899047619048,1466.5224523809525,415.76745238095236,1888.450904761905,1466.5224523809525,421.92845238095236,0
1.0,2.0,8.0,11.0,39859.9435983602,20128.7100274165,19731.2335709437,2276.328443367862,1715.72731424055,560.601129127312,8218.21591932416,ra,5.0,0.0,5.0,1214.9999999999998,1092.2954523809522,122.70454761904767,1918.1584523809524,1466.5224523809525,451.636,1055.7574523809526,639.9900000000002,415.76745238095236,1
1.0,0.0,9.0,12.0,15021.9786197919,15021.9786197919,0.0,1426.84265640488,1426.84265640488,0.0,16747.0640478161,ra,0.0,0.0,0.0,0.0,0.0,0.0,639.9900000000002,639.9900000000002,0.0,861.0050000000002,861.0050000000002,0.0,0
1.0,2.0,10.0,13.0,29629.2702066633,14994.1517039878,14635.1185026755,191.32891529796441,24.7111120586864,166.617803239278,16911.7407621753,ra,0.0,0.0,0.0,0.0,0.0,0.0,1286.8320000000003,861.0050000000002,425.827,1316.4690000000003,864.8330000000002,451.636,0
1.0,2.0,14.0,14.0,23126.816645439998,11846.3351177034,11280.4815277366,2715.58896866506,1386.75954291372,1328.82942575134,27721.2649615329,ra,0.0,0.0,0.0,0.0,0.0,0.0,1084.8270000000002,864.8330000000002,219.994,1505.4660000000001,1079.6390000000001,425.827,0
1.0,1.0,13.0,15.0,11337.2619320883,0.0,11337.2619320883,1420.24853693026,0.0,1420.24853693026,29194.6309655969,ra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.994,0.0,219.994,0
1.0,0.0,12.0,16.0,11885.5265358471,11885.5265358471,0.0,208.504810997731,208.504810997731,0.0,29478.4736802298,ra,0.0,0.0,0.0,0.0,0.0,0.0,1079.6390000000001,1079.6390000000001,0.0,1111.9360000000001,1111.9360000000001,0.0,0
1.0,0.0,15.0,17.0,11960.1701828351,11960.1701828351,0.0,465.471180470787,465.471180470787,0.0,33381.7233696118,ra,0.0,0.0,0.0,0.0,0.0,0.0,1111.9360000000001,1111.9360000000001,0.0,1184.037,1184.037,0.0,0
1.0,2.0,16.0,18.0,23460.935326572,11970.3853891252,11490.5499374468,1768.668281716874,86.3301716488441,1682.33811006803,34103.2604930604,ra,6.0,0.0,6.0,1458.0,1197.409,260.591,1184.037,1184.037,0.0,0.0,0.0,0.0,1
1.0,2.0,0.0,19.0,23472.9532848191,11974.8809399587,11498.0723448604,41.4313703808343,41.4313703808343,0.0,34449.3464575004,link,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.418,6.418,0.0,0
2.0,2.0,0.0,20.0,68929.1689525749,33758.8137930879,35170.355159487,2037.30449092795,0.0,2037.30449092795,0.0,link,0.0,0.0,0.0,0.0,0.0,0.0,2548.603,1219.2320000000002,1329.3709999999999,2864.177,1219.2320000000002,1644.945,0
2.0,1.0,11.0,21.0,34398.2821383792,0.0,34398.2821383792,0.177994253383828,0.0,0.177994253383828,2598.41164546074,ra,0.0,0.0,0.0,0.0,0.0,0.0,1329.3429999999998,0.0,1329.3429999999998,1329.3709999999999,0.0,1329.3709999999999,0
2.0,0.0,17.0,22.0,24285.974119979,24285.974119979,0.0,5629.75346622784,5629.75346622784,0.0,19826.0309188716,ra,0.0,0.0,0.0,0.0,0.0,0.0,1219.2320000000002,1219.2320000000002,0.0,2091.2690000000007,2091.2690000000007,0.0,0
2.0,1.0,18.0,23.0,24186.0911430872,0.0,24186.0911430872,4128.06929715106,0.0,4128.06929715106,19924.5544753991,ra,0.0,0.0,0.0,0.0,0.0,0.0,689.914,0.0,689.914,1329.3429999999998,0.0,1329.3429999999998,0
