,scenario,dist_range,nb_cs,nb_poles,costs,non_covered_energy,perc_not_charged,datetime_of_calculation
0,TC,200,55,549,71923000,7916.907155,0.054425297079881,2022-02-15 08:56:04.530235
1,TC,300,44,548,71356000,7916.907155,0.054425297079881,2022-02-15 09:05:04.183174
2,TC,400,43,549,71443000,7916.907155,0.054425297079881,2022-02-15 09:15:53.809104
3,TC,500,42,548,71276000,7916.907155,0.054425297079881,2022-02-15 09:30:46.076756
4,TC,600,40,548,71196000,7916.907155,0.054425297079881,2022-02-15 09:50:51.206868
5,TC,700,39,549,71283000,7916.907155,0.054425297079881,2022-02-15 10:14:25.542360
6,TC,800,39,549,71283000,7916.907155,0.054425297079881,2022-02-15 10:40:40.890664
7,TC,900,39,549,71283000,7916.907155,0.054425297079881,2022-02-15 11:14:19.346626
8,TC,1000,38,549,71243000,7916.907155,0.054425297079881,2022-02-15 11:41:37.040177
0,TC,1100,38,549,71243000,7916.907155,0.054425297079881,2022-02-15 12:30:29.149165
1,TC,1200,38,549,71243000,7916.907155,0.054425297079881,2022-02-15 12:55:14.178411
2,TC,1300,38,549,71243000,7916.907155,0.054425297079881,2022-02-15 13:22:02.138580
3,TC,1400,38,549,71243000,7916.907155,0.054425297079881,2022-02-15 13:57:23.941626
