,nb_cs,nb_poles,costs,non_covered_energy,perc_not_charged,datetime_of_calculation
0,93.0,507.0,30764100.0,3419.4121852418234,0.059719978686532456,2022-01-14 12:55:12.580717
1,74.0,508.0,30753800.0,3224.053955034469,0.056308050345580826,2022-01-14 13:02:58.760356
2,68.0,501.000000000098,30311600.00000588,3173.7284773041174,0.05542911668838161,2022-01-14 13:13:12.132497
3,49.0,500.0,30181300.0,3143.2763323510994,0.05489727046773512,2022-01-14 13:26:27.268372
4,51.0,499.0,30128699.999999996,3143.2763322899664,0.05489727046666743,2022-01-14 13:42:51.364138
5,59.0,509.0,30758300.000000007,3143.2763320809026,0.05489727046301614,2022-01-14 14:03:31.375132
6,54.0,500.0,30199800.0,3112.2170733211565,0.05435482100952319,2022-01-14 14:28:06.758998
7,53.0,495.0,29896100.0,3112.217073350988,0.0543548210100442,2022-01-14 14:58:59.452194
8,44.0,492.0,29682800.0,3112.2170711851013,0.05435482097221703,2022-01-14 15:31:03.468006
9,43.0,489.0,29499100.00000003,3112.2170713250935,0.05435482097466199,2022-01-14 16:02:55.084882
