,nb_cs,nb_poles,costs,non_covered_energy,perc_not_charged,datetime_of_calculation
0,86,742,44838200,5129.11827786274,0.059719978686533,2022-01-15 18:38:16.803793
1,70,746,45019000,4836.08093259183,0.056308050346048,2022-01-15 18:44:34.307178
2,61,743,44805700,4760.59271591498,0.055429116687902,2022-01-15 18:52:17.913259
3,75,755,45577500,4714.91449849019,0.054897270467311,2022-01-15 19:03:06.317049
4,55,741,44663500,4714.91449851796,0.054897270467634,2022-01-15 19:16:39.833474
5,56,742,44727200,4714.91449862879,0.054897270468925,2022-01-15 19:31:33.478937
6,48,735,44277600,4668.32561004843,0.0543548210103,2022-01-15 19:49:21.596249
7,56,742,44727200,4668.32560983596,0.054354821007826,2022-01-15 20:12:48.463834
8,55,740,44603500,4668.32560957138,0.054354821004745,2022-01-15 20:38:32.045115
9,57,741,44670900,4668.32560958285,0.054354821004879,2022-01-15 21:46:53.837399
10,42,747,44975400.0000002,4668.32560517476,0.054354820953554,2022-01-15 22:19:07.264505
11,52,756,45552400,4668.32560972618,0.054354821006548,2022-01-15 22:57:53.578102
12,53,742,44716100,4668.32560991538,0.054354821008751,2022-01-15 23:39:07.072989
13,40,733,44128000,4668.32560738923,0.054354820979338,2022-01-16 00:26:35.178134
