,epsilon,nb_cs,nb_poles,costs,non_covered_energy,perc_not_charged,datetime_of_calculation
0,10.0,42.0,209.0,28223000.0,1994.4026249999997,0.054425331853139435,2022-02-15 09:40:39.037860
1,20.0,43.0,413.0,54171000.0,3988.804139,0.054425310753220255,2022-02-15 09:54:23.792365
2,30.0,42.0,617.0,80039000.0,5983.205064000001,0.054425302817809634,2022-02-15 10:08:12.376760
3,40.0,43.0,823.0,106241000.0,7977.604415999998,0.054425287004779443,2022-02-15 10:21:46.307939
4,50.0,46.0,1028.0,132396000.0,9972.011652999998,0.05442531876951636,2022-02-15 10:35:26.912967
5,60.0,48.0,1232.0,158384000.0,11966.412035000001,0.05442531025349684,2022-02-15 10:51:58.483706
6,70.0,52.0,1438.0,184706000.0,13960.815159999998,0.05442531507620329,2022-02-15 11:13:50.461598
7,80.0,58.0,1643.0,210981000.0,16103.667195000002,0.05493169773870415,2022-02-15 13:44:36.379175
8,90.0,62.0,1846.0,236922000.0,18347.510858999998,0.055631765826519984,2022-02-15 19:50:44.653524
9,100.0,68.0,2051.0,263197000.0,20767.246343999996,0.056671817165105526,2022-02-15 21:48:54.820487
