,scenario,dist_range,nb_cs,nb_poles,costs,non_covered_energy,perc_not_charged,datetime_of_calculation
0,TC,200,54,565,73915000,8156.813212,0.054425295994283,2022-02-08 21:57:16.060070
1,TC,300,44,564,73388000,8156.813212,0.054425295994283,2022-02-08 22:06:37.664809
2,TC,400,44,564,73388000,8156.813212,0.054425295994283,2022-02-08 22:17:49.907431
3,TC,500,42,564,73308000,8156.813212,0.054425295994283,2022-02-08 22:32:21.101028
4,TC,600,39,564,73188000,8156.813212,0.054425295994283,2022-02-08 22:49:50.792312
5,TC,700,39,565,73315000,8156.813212,0.054425295994283,2022-02-08 23:08:33.510484
6,TC,800,40,564,73228000,8156.813212,0.054425295994283,2022-02-08 23:30:04.300553
0,TC,900,39,565,73315000,8156.813212,0.054425295994283,2022-02-08 23:59:09.849765
1,TC,1000,38,565,73275000,8156.813212,0.054425295994283,2022-02-09 00:30:07.724435
2,TC,1100,38,565,73275000,8156.813212,0.054425295994283,2022-02-09 00:59:38.031401
3,TC,1200,38,565,73275000,8156.813212,0.054425295994283,2022-02-09 01:35:07.949905
4,TC,1300,38,565,73275000,8156.813212,0.054425295994283,2022-02-09 02:33:09.102389
5,TC,1400,38,565,73275000,8156.813212,0.054425295994283,2022-02-09 03:06:18.677829
