Unnamed: 0,[km],Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Kfz/24h,Kfz/24h.1,Kfz/24h.2,Kfz/24h.3,Kfz/24h.4,Kfz/24h.5,Kfz/24h.6,Unnamed: 14,Unnamed: 15
A01,15.891,Pressbaum,955,Wien Auhof - Preßbaum,Staatsgrenze Walserberg,Kfz,14821.0,14675.0,12857.0,14403.0,16840.0,15107.0,15267.0,"100,0% Tage geschätzt",
A01,15.891,Pressbaum,955,Wien Auhof - Preßbaum,Staatsgrenze Walserberg,"Kfz > 3,5t hzG",200.0,262.0,276.0,273.0,224.0,54.0,42.0,Messung,
A01,15.891,Pressbaum,955,Wien Auhof - Preßbaum,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG",14621.0,14413.0,12581.0,14130.0,16616.0,15053.0,15225.0,"100,0% Tage geschätzt",
A01,15.891,Pressbaum,955,Preßbaum - Wien Auhof,Wien/Auhof,Kfz,17327.0,16587.0,16231.0,16003.0,18391.0,19621.0,18533.0,"100,0% Tage geschätzt",
A01,15.891,Pressbaum,955,Preßbaum - Wien Auhof,Wien/Auhof,"Kfz > 3,5t hzG",261.0,340.0,329.0,359.0,297.0,97.0,34.0,Messung,
A01,15.891,Pressbaum,955,Preßbaum - Wien Auhof,Wien/Auhof,"Kfz <= 3,5t hzG",17066.0,16247.0,15902.0,15644.0,18094.0,19524.0,18499.0,"100,0% Tage geschätzt",
A01,15.891,Pressbaum,955,gesamt,gesamt,Kfz,32148.0,31262.0,29088.0,30406.0,35231.0,34728.0,33800.0,"100,0% Tage geschätzt",
A01,15.891,Pressbaum,955,gesamt,gesamt,"Kfz > 3,5t hzG",461.0,602.0,605.0,632.0,521.0,151.0,76.0,Messung,
A01,15.891,Pressbaum,955,gesamt,gesamt,"Kfz <= 3,5t hzG",31687.0,30660.0,28483.0,29774.0,34710.0,34577.0,33724.0,"100,0% Tage geschätzt",
A01,26.833,Kn. Steinhäusl,751,Preßbaum - Kn. Steinhäusl,Staatsgrenze Walserberg,Kfz,13406.0,13312.0,11721.0,12869.0,15735.0,13858.0,13355.0,"100,0% Tage geschätzt",
A01,26.833,Kn. Steinhäusl,751,Preßbaum - Kn. Steinhäusl,Staatsgrenze Walserberg,"Kfz > 3,5t hzG",262.0,348.0,382.0,362.0,287.0,55.0,44.0,Messung,
A01,26.833,Kn. Steinhäusl,751,Preßbaum - Kn. Steinhäusl,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG",13144.0,12964.0,11339.0,12507.0,15448.0,13803.0,13311.0,"100,0% Tage geschätzt",
A01,26.833,Kn. Steinhäusl,751,Kn. Steinhäusl - Preßbaum,Wien/Auhof,Kfz,16662.0,15908.0,15798.0,15414.0,17283.0,18192.0,18893.0,"100,0% Tage geschätzt",
A01,26.833,Kn. Steinhäusl,751,Kn. Steinhäusl - Preßbaum,Wien/Auhof,"Kfz > 3,5t hzG",329.0,435.0,445.0,461.0,359.0,96.0,38.0,Messung,
A01,26.833,Kn. Steinhäusl,751,Kn. Steinhäusl - Preßbaum,Wien/Auhof,"Kfz <= 3,5t hzG",16333.0,15473.0,15353.0,14953.0,16924.0,18096.0,18855.0,"100,0% Tage geschätzt",
A01,26.833,Kn. Steinhäusl,751,gesamt,gesamt,Kfz,30068.0,29220.0,27519.0,28283.0,33018.0,32050.0,32248.0,"100,0% Tage geschätzt",
A01,26.833,Kn. Steinhäusl,751,gesamt,gesamt,"Kfz > 3,5t hzG",591.0,783.0,827.0,823.0,646.0,151.0,82.0,Messung,
A01,26.833,Kn. Steinhäusl,751,gesamt,gesamt,"Kfz <= 3,5t hzG",29477.0,28437.0,26692.0,27460.0,32372.0,31899.0,32166.0,"100,0% Tage geschätzt",
A01,33.195,Altlengbach,385,Kn. Steinhäusl - Altlengbach,Staatsgrenze Walserberg,Kfz,38322.0,38351.0,39544.0,37397.0,39877.0,36069.0,40978.0,"3,2% Tage geschätzt",
A01,33.195,Altlengbach,385,Kn. Steinhäusl - Altlengbach,Staatsgrenze Walserberg,"Kfz > 3,5t hzG",4717.0,6175.0,8124.0,6313.0,4256.0,1434.0,799.0,Messung,
A01,33.195,Altlengbach,385,Kn. Steinhäusl - Altlengbach,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG",33605.0,32176.0,31420.0,31084.0,35621.0,34635.0,40179.0,"3,2% Tage geschätzt",
A01,33.195,Altlengbach,385,Altlengbach - Kn. Steinhäusl,Wien/Auhof,Kfz,45758.0,44341.0,37155.0,42780.0,54149.0,54244.0,42941.0,Messung,
A01,33.195,Altlengbach,385,Altlengbach - Kn. Steinhäusl,Wien/Auhof,"Kfz > 3,5t hzG",4990.0,6352.0,5115.0,6641.0,6591.0,2517.0,591.0,Messung,
A01,33.195,Altlengbach,385,Altlengbach - Kn. Steinhäusl,Wien/Auhof,"Kfz <= 3,5t hzG",40768.0,37989.0,32040.0,36139.0,47558.0,51727.0,42350.0,Messung,
A01,33.195,Altlengbach,385,gesamt,gesamt,Kfz,84080.0,82692.0,76699.0,80177.0,94026.0,90313.0,83919.0,"3,2% Tage geschätzt",
A01,33.195,Altlengbach,385,gesamt,gesamt,"Kfz > 3,5t hzG",9707.0,12527.0,13239.0,12954.0,10847.0,3951.0,1390.0,Messung,
A01,33.195,Altlengbach,385,gesamt,gesamt,"Kfz <= 3,5t hzG",74373.0,70165.0,63460.0,67223.0,83179.0,86362.0,82529.0,"3,2% Tage geschätzt",
A01,37.81,HASt St. Christophen,754,Altlengbach - St. Christophen,Staatsgrenze Walserberg,Kfz,35814.0,35423.0,37144.0,34375.0,36771.0,34468.0,39652.0,"9,7% Tage geschätzt",
A01,37.81,HASt St. Christophen,754,Altlengbach - St. Christophen,Staatsgrenze Walserberg,"Kfz > 3,5t hzG",4588.0,5999.0,7939.0,6127.0,4114.0,1424.0,786.0,Messung,
A01,37.81,HASt St. Christophen,754,Altlengbach - St. Christophen,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG",31226.0,29424.0,29205.0,28248.0,32657.0,33044.0,38866.0,"9,7% Tage geschätzt",
A01,37.81,HASt St. Christophen,754,St. Christophen - Altlengbach,Wien/Auhof,Kfz,45159.0,43374.0,35536.0,41640.0,54150.0,54698.0,43058.0,"32,3% Tage geschätzt",
A01,37.81,HASt St. Christophen,754,St. Christophen - Altlengbach,Wien/Auhof,"Kfz > 3,5t hzG",4864.0,6177.0,4941.0,6455.0,6446.0,2504.0,589.0,Messung,
